hid	id	physical_dataset_id	name	bytes	backup_path	sha256	status	note
196	f9cad7b01a47213555b2bc4dae68b27f	f9cad7b01a4721358193c251c2c84966	Control_siRNA_M2_1.gz	3408881418	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H016_Control_siRNA_M2_1.gz.fastq.gz	87272fa237d08c92e9bc68b6088b5110748d624cc19154010d5d8d4ff734a1c9	awaiting_purge_confirmation	Old deleted reference to a physical file already included in the approved cleanup
197	f9cad7b01a4721357ad469bb31e4540b	f9cad7b01a472135df0b5aa5daccb3b5	Control_siRNA_M2_2.gz	3418012567	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H017_Control_siRNA_M2_2.gz.fastq.gz	bfb663cc1abef5f9ad62ac3da68e8453d32aae4e0b5534b42777dbf6da88d087	awaiting_purge_confirmation	Old deleted reference to a physical file already included in the approved cleanup
198	f9cad7b01a472135602f6b0f12e30705	f9cad7b01a472135e8ef3a6a5b8eefdf	Control_siRNA_M3_1.gz	2852031710	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H018_Control_siRNA_M3_1.gz.fastq.gz	92e4684d915b9175c2991114185e2659eed28772300d512531dab7174725780f	awaiting_purge_confirmation	Old deleted reference to a physical file already included in the approved cleanup
199	f9cad7b01a4721357cf35d39309424f3	f9cad7b01a472135855514a4eea2ba65	Control_siRNA_M3_2.gz	2877924540	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H019_Control_siRNA_M3_2.gz.fastq.gz	486e03b4bc7d3b9ce22311b40d09480148afdf765f37637ab1e2f92342518e29	awaiting_purge_confirmation	Old deleted reference to a physical file already included in the approved cleanup
200	f9cad7b01a472135baa1fb97cbc73798	f9cad7b01a4721351ac15bbba38b5efa	Control_siRNA_P2_1.fastq.gz	2721951088	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H031_Control_siRNA_P2_1.fastq.gz	03a955480cb40cfef280caa25dfc836d85e14b7484fddba871d206a02a5147f6	awaiting_purge_confirmation	Old deleted reference to a physical file already included in the approved cleanup
201	f9cad7b01a472135f320bf52475d4a85	f9cad7b01a47213523bf004357e5e592	Control_siRNA_P2_2.fastq.gz	2746718364	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H033_Control_siRNA_P2_2.fastq.gz	b8a7e2299eff589c605a78650e597c661d0f1d4f183b1aed8f8fb88fa1d48057	awaiting_purge_confirmation	Old deleted reference to a physical file already included in the approved cleanup
202	f9cad7b01a47213514ec92f5c3902ca1	f9cad7b01a472135a554b865c8ea5dc9	Control_siRNA_P3_1.fastq.gz	2747540365	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H231_Control_siRNA_P3_1.fastq.gz	7e7d44edae92687d3278f431d5a84717f02f9890a6560e73238b7432d9d9a33e	awaiting_purge_confirmation	Old deleted reference to a physical file already included in the approved cleanup
203	f9cad7b01a4721356dee25f04bccda1d	f9cad7b01a4721357af495d5591696d6	Control_siRNA_P3_2.fastq.gz	2747665323	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H232_Control_siRNA_P3_2.fastq.gz	5c3d72a58f13c9b61e190ec101316f326103f043705ccf92629c9251876e7b07	awaiting_purge_confirmation	Old deleted reference to a physical file already included in the approved cleanup
204	f9cad7b01a472135295a71c316952c5c	f9cad7b01a472135cca1f2878013c825	Control_siRNA_P4_1.fastq.gz	2659779425	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H233_Control_siRNA_P4_1.fastq.gz	2a7e62340c2c720ee3eaf0ea1cf861ffc276175813ad34ce279e902cc765abe2	awaiting_purge_confirmation	Old deleted reference to a physical file already included in the approved cleanup
205	f9cad7b01a472135306fe5cf13f3b4ce	f9cad7b01a4721356aa9662c2d1dd61f	Control_siRNA_P4_2.fastq.gz	2659888962	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H092_Control_siRNA_P4_2.fastq.gz	ff6b85fb7ad92e0bdd8c70453f86953fbe978caec1919925f8a61ee1602be6d2	awaiting_purge_confirmation	Old deleted reference to a physical file already included in the approved cleanup
206	f9cad7b01a472135188ff31713d5602f	f9cad7b01a4721353be6bec0680d18ed	Control_siRNA_P5_1.gz	3330133169	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H235_Control_siRNA_P5_1.gz.fastq.gz	7f8f7feb5d4dca3b40c4b00533260a5ac34ae04d203c17b334d603191fb0f103	awaiting_purge_confirmation	Old deleted reference to a physical file already included in the approved cleanup
207	f9cad7b01a4721356bb6fa2e04503f74	f9cad7b01a47213568a32547b0e6f44a	Control_siRNA_P5_2.gz	3392607581	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H236_Control_siRNA_P5_2.gz.fastq.gz	2d5d6259a3c98896b61164a627d0c840feac88364c902438979b60c5f3dbf2ef	awaiting_purge_confirmation	Old deleted reference to a physical file already included in the approved cleanup
210	f9cad7b01a472135c0bd10534561e06e	f9cad7b01a472135cc9cfe1f3aef50ee	KRAS_siRNA_M2_1	3283298979	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H239_KRAS_siRNA_M2_1.fastq.gz	d5bd006748c3180b4700530a09ed22b2d8038e4b6b5a9e9ec9c36931ef728efa	awaiting_purge_confirmation	Old deleted reference to a physical file already included in the approved cleanup
211	f9cad7b01a4721351a7aa904e0922e22	f9cad7b01a472135feb4309b080c546f	KRAS_siRNA_M2_2	3299851492	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H240_KRAS_siRNA_M2_2.fastq.gz	57599fad648514dd07a50a7b2a38c488b2d4e2602fab2f667bbccabaf7766ace	awaiting_purge_confirmation	Old deleted reference to a physical file already included in the approved cleanup
212	f9cad7b01a472135c67fd06d377c3dd9	f9cad7b01a47213523198f18525ae220	KRAS_siRNA_M3_1	3199608327	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H241_KRAS_siRNA_M3_1.fastq.gz	b9a8eca97f4a006be8beac2c1b7acfe693f3d95f41aefffb5af1ddfa1dce5b16	awaiting_purge_confirmation	Old deleted reference to a physical file already included in the approved cleanup
213	f9cad7b01a472135276765737915854d	f9cad7b01a47213592d3a89c2d264949	KRAS_siRNA_M3_2	3255261596	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H242_KRAS_siRNA_M3_2.fastq.gz	e967506914a7ca3e4aca0286fc2fa7fc3cb588bb54bf8c0f11b32c5b95f30e46	awaiting_purge_confirmation	Old deleted reference to a physical file already included in the approved cleanup
214	f9cad7b01a472135f870e3978491a1d9	f9cad7b01a472135a4a1552874c6ffaa	KRAS_siRNA_P2_1	3176074214	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H009_KRAS_siRNA_P2_1.fastq.gz	a96ea5faf25d7b707d7dd24ce676bfad4945e3d429d0a9501041ec3f3ac1ea89	awaiting_purge_confirmation	Old deleted reference to a physical file already included in the approved cleanup
215	f9cad7b01a472135639eeda2c7e03f6c	f9cad7b01a47213542d492ea88e97225	KRAS_siRNA_P2_2	3195275935	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H244_KRAS_siRNA_P2_2.fastq.gz	bbf1008b0e41976b30d990e95965559b3ce141245c3874de9fa812fa992c0357	awaiting_purge_confirmation	Old deleted reference to a physical file already included in the approved cleanup
216	f9cad7b01a472135a14e44ef39664699	f9cad7b01a472135b2f93ecb59840f13	KRAS_siRNA_P3_1.fastq.gz	2414940122	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H245_KRAS_siRNA_P3_1.fastq.gz	24441f0c908d2b9be0949af76bbfe0ad33e75125fa39607311e29c32d4b2f129	awaiting_purge_confirmation	Old deleted reference to a physical file already included in the approved cleanup
217	f9cad7b01a472135553c404437601588	f9cad7b01a472135e549357fd7105675	KRAS_siRNA_P3_2.fastq.gz	2415090102	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H110_KRAS_siRNA_P3_2.fastq.gz	8700056d6465c1d97afed109f58312e380dd846c8f4a1d9d6bd2b0e39d38239f	awaiting_purge_confirmation	Old deleted reference to a physical file already included in the approved cleanup
220	f9cad7b01a47213567cb6a6af5c26bba	f9cad7b01a472135d5a73274f42d4a61	KRAS_siRNA_P4_1.fastq.gz	2321734291	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H247_KRAS_siRNA_P4_1.fastq.gz	7e26b5b7498d135f253797c611b09cf6cefdab8fe69ae4a26548193eaaef3697	awaiting_purge_confirmation	Old deleted reference to a physical file already included in the approved cleanup
221	f9cad7b01a472135b2178754526552df	f9cad7b01a47213560600395fbe32a1b	KRAS_siRNA_P4_2.fastq.gz	2321928729	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H248_KRAS_siRNA_P4_2.fastq.gz	27d3f389af39ad70649d547cb4be5afd20189dec29961a4606c3c12e7d77dbdb	awaiting_purge_confirmation	Old deleted reference to a physical file already included in the approved cleanup
224	f9cad7b01a47213511c344ece0b51cc3	f9cad7b01a4721355e3ecf0d48089ba7	SRR24828472_1.fastq.gz	2930283917	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H129_SRR24828472_1.fastq.gz	1227647c02a290f6d0ac2f5fb035ca3bb3546b50ec0384e5da87a1c1db7cfc70	awaiting_purge_confirmation	Old deleted reference to a physical file already included in the approved cleanup
225	f9cad7b01a4721351d26efda9a147099	f9cad7b01a4721354cd00a1388c79df4	SRR24828472_2.fastq.gz	3001011805	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H130_SRR24828472_2.fastq.gz	0befc21810127c07445ffb28b2b9a6e36871959845298f7fead457e35f0c61cb	awaiting_purge_confirmation	Old deleted reference to a physical file already included in the approved cleanup
228	f9cad7b01a472135bae3a7ad12320940	f9cad7b01a4721359290f4e791a578dd	Control_siRNA_P1_1.gz	3421523547	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H251_Control_siRNA_P1_1.gz.fastq.gz	f3a804fb018a172e34127267f88e8d587f53a3667ec6c6827fb5aece03d801e1	awaiting_purge_confirmation	Old deleted reference to a physical file already included in the approved cleanup
229	f9cad7b01a47213536e44add48ad7983	f9cad7b01a472135dbb942d52d454c08	Control_siRNA_P1_2.fastq.gz	3177189282	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H252_Control_siRNA_P1_2.fastq.gz	3dd4c17cd4fa3dd55b5501df7dee6a305698110fe30577f006b9f0e541b8a577	awaiting_purge_confirmation	Old deleted reference to a physical file already included in the approved cleanup
