hid	dataset_id	physical_dataset_id	name	sample	category	extension	bytes	status	status_checked	backup_status	sha256	verification	local_backup_path	repository_backup_path	reason
206	f9cad7b01a472135188ff31713d5602f	f9cad7b01a4721353be6bec0680d18ed	Control_siRNA_P5_1.gz		01_raw	fastqsanger.gz	3330133169	already_deleted_before_cleanup	False	verified	7f8f7feb5d4dca3b40c4b00533260a5ac34ae04d203c17b334d603191fb0f103	Galaxy size and SHA-256	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H235_Control_siRNA_P5_1.gz.fastq.gz		Redundant QC, pilot, failed output, or raw input with retained full alignment
207	f9cad7b01a4721356bb6fa2e04503f74	f9cad7b01a47213568a32547b0e6f44a	Control_siRNA_P5_2.gz		01_raw	fastqsanger.gz	3392607581	already_deleted_before_cleanup	False	verified	2d5d6259a3c98896b61164a627d0c840feac88364c902438979b60c5f3dbf2ef	Galaxy size and SHA-256	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H236_Control_siRNA_P5_2.gz.fastq.gz		Redundant QC, pilot, failed output, or raw input with retained full alignment
208	f9cad7b01a4721359440cb45633d39e3	f9cad7b01a472135f2353d2098577db3	KRAS_siRNA_M1_1		01_raw	fastqsanger	20130176594	already_deleted_before_cleanup	False	not_downloaded					Keep both mates: abnormal alignment requires review
209	f9cad7b01a472135d719b0ba345a1296	f9cad7b01a4721351b6feee591106cc7	KRAS_siRNA_M1_2		01_raw	fastqsanger.gz	3382598475	already_deleted_before_cleanup	False	not_downloaded					Keep both mates: abnormal alignment requires review
210	f9cad7b01a472135c0bd10534561e06e	f9cad7b01a472135cc9cfe1f3aef50ee	KRAS_siRNA_M2_1		01_raw	fastqsanger.gz	3283298979	already_deleted_before_cleanup	False	verified	d5bd006748c3180b4700530a09ed22b2d8038e4b6b5a9e9ec9c36931ef728efa	Galaxy size and SHA-256	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H239_KRAS_siRNA_M2_1.fastq.gz		Redundant QC, pilot, failed output, or raw input with retained full alignment
211	f9cad7b01a4721351a7aa904e0922e22	f9cad7b01a472135feb4309b080c546f	KRAS_siRNA_M2_2		01_raw	fastqsanger.gz	3299851492	already_deleted_before_cleanup	False	verified	57599fad648514dd07a50a7b2a38c488b2d4e2602fab2f667bbccabaf7766ace	Galaxy size and SHA-256	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H240_KRAS_siRNA_M2_2.fastq.gz		Redundant QC, pilot, failed output, or raw input with retained full alignment
212	f9cad7b01a472135c67fd06d377c3dd9	f9cad7b01a47213523198f18525ae220	KRAS_siRNA_M3_1		01_raw	fastqsanger.gz	3199608327	already_deleted_before_cleanup	False	verified	b9a8eca97f4a006be8beac2c1b7acfe693f3d95f41aefffb5af1ddfa1dce5b16	Galaxy size and SHA-256	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H241_KRAS_siRNA_M3_1.fastq.gz		Redundant QC, pilot, failed output, or raw input with retained full alignment
213	f9cad7b01a472135276765737915854d	f9cad7b01a47213592d3a89c2d264949	KRAS_siRNA_M3_2		01_raw	fastqsanger.gz	3255261596	already_deleted_before_cleanup	False	verified	e967506914a7ca3e4aca0286fc2fa7fc3cb588bb54bf8c0f11b32c5b95f30e46	Galaxy size and SHA-256	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H242_KRAS_siRNA_M3_2.fastq.gz		Redundant QC, pilot, failed output, or raw input with retained full alignment
214	f9cad7b01a472135f870e3978491a1d9	f9cad7b01a472135a4a1552874c6ffaa	KRAS_siRNA_P2_1		01_raw	fastqsanger.gz	3176074214	already_deleted_before_cleanup	False	verified	a96ea5faf25d7b707d7dd24ce676bfad4945e3d429d0a9501041ec3f3ac1ea89	Galaxy size and SHA-256	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H009_KRAS_siRNA_P2_1.fastq.gz		Redundant QC, pilot, failed output, or raw input with retained full alignment
215	f9cad7b01a472135639eeda2c7e03f6c	f9cad7b01a47213542d492ea88e97225	KRAS_siRNA_P2_2		01_raw	fastqsanger.gz	3195275935	already_deleted_before_cleanup	False	verified	bbf1008b0e41976b30d990e95965559b3ce141245c3874de9fa812fa992c0357	Galaxy size and SHA-256	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H244_KRAS_siRNA_P2_2.fastq.gz		Redundant QC, pilot, failed output, or raw input with retained full alignment
216	f9cad7b01a472135a14e44ef39664699	f9cad7b01a472135b2f93ecb59840f13	KRAS_siRNA_P3_1.fastq.gz		01_raw	fastqsanger.gz	2414940122	already_deleted_before_cleanup	False	verified	24441f0c908d2b9be0949af76bbfe0ad33e75125fa39607311e29c32d4b2f129	Galaxy SHA-256 matches independently verified local backup	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H245_KRAS_siRNA_P3_1.fastq.gz		Redundant QC, pilot, failed output, or raw input with retained full alignment
217	f9cad7b01a472135553c404437601588	f9cad7b01a472135e549357fd7105675	KRAS_siRNA_P3_2.fastq.gz		01_raw	fastqsanger.gz	2415090102	already_deleted_before_cleanup	False	verified	8700056d6465c1d97afed109f58312e380dd846c8f4a1d9d6bd2b0e39d38239f	Galaxy SHA-256 matches independently verified local backup	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H110_KRAS_siRNA_P3_2.fastq.gz		Redundant QC, pilot, failed output, or raw input with retained full alignment
220	f9cad7b01a47213567cb6a6af5c26bba	f9cad7b01a472135d5a73274f42d4a61	KRAS_siRNA_P4_1.fastq.gz		01_raw	fastqsanger.gz	2321734291	already_deleted_before_cleanup	False	verified	7e26b5b7498d135f253797c611b09cf6cefdab8fe69ae4a26548193eaaef3697	Galaxy SHA-256 matches independently verified local backup	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H247_KRAS_siRNA_P4_1.fastq.gz		Redundant QC, pilot, failed output, or raw input with retained full alignment
221	f9cad7b01a472135b2178754526552df	f9cad7b01a47213560600395fbe32a1b	KRAS_siRNA_P4_2.fastq.gz		01_raw	fastqsanger.gz	2321928729	already_deleted_before_cleanup	False	verified	27d3f389af39ad70649d547cb4be5afd20189dec29961a4606c3c12e7d77dbdb	Galaxy SHA-256 matches independently verified local backup	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H248_KRAS_siRNA_P4_2.fastq.gz		Redundant QC, pilot, failed output, or raw input with retained full alignment
224	f9cad7b01a47213511c344ece0b51cc3	f9cad7b01a4721355e3ecf0d48089ba7	SRR24828472_1.fastq.gz		01_raw	fastqsanger.gz	2930283917	already_deleted_before_cleanup	False	verified	1227647c02a290f6d0ac2f5fb035ca3bb3546b50ec0384e5da87a1c1db7cfc70	Galaxy SHA-256 matches independently verified local backup	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H129_SRR24828472_1.fastq.gz		Redundant QC, pilot, failed output, or raw input with retained full alignment
225	f9cad7b01a4721351d26efda9a147099	f9cad7b01a4721354cd00a1388c79df4	SRR24828472_2.fastq.gz		01_raw	fastqsanger.gz	3001011805	already_deleted_before_cleanup	False	verified	0befc21810127c07445ffb28b2b9a6e36871959845298f7fead457e35f0c61cb	Galaxy SHA-256 matches independently verified local backup	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H130_SRR24828472_2.fastq.gz		Redundant QC, pilot, failed output, or raw input with retained full alignment
228	f9cad7b01a472135bae3a7ad12320940	f9cad7b01a4721359290f4e791a578dd	Control_siRNA_P1_1.gz		01_raw	fastqsanger.gz	3421523547	already_deleted_before_cleanup	False	verified	f3a804fb018a172e34127267f88e8d587f53a3667ec6c6827fb5aece03d801e1	Galaxy SHA-256 matches independently verified local backup	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H251_Control_siRNA_P1_1.gz.fastq.gz		Redundant QC, pilot, failed output, or raw input with retained full alignment
229	f9cad7b01a47213536e44add48ad7983	f9cad7b01a472135dbb942d52d454c08	Control_siRNA_P1_2.fastq.gz		01_raw	fastqsanger.gz	3177189282	already_deleted_before_cleanup	False	verified	3dd4c17cd4fa3dd55b5501df7dee6a305698110fe30577f006b9f0e541b8a577	Galaxy SHA-256 matches independently verified local backup	/home/ylin/Documents/TRNTLabArchives/galaxy_backup/2026-09-23/01_raw/galaxy_files/H252_Control_siRNA_P1_2.fastq.gz		Redundant QC, pilot, failed output, or raw input with retained full alignment
