Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Control_siRNA_P4_1_fastq_gz	(1.0, 22.434230937320883)	(2.0, 11.116388001611886)	(3.0, 6.968962974154208)	(4.0, 4.849867193641008)	(5.0, 3.688614631932917)	(6.0, 2.9081315144782)	(7.0, 2.3191525780457303)	(8.0, 2.0324014718165975)	(9.0, 1.712230392608665)	('>10', 20.001866837217353)	('>50', 5.969607926860829)	('>100', 10.189009598847758)	('>500', 2.663278535346624)	('>1k', 2.7600963856352667)	('>5k', 0.32193867183505703)	('>10k+', 0.06422234864693158)
Control_siRNA_P4_2_fastq_gz	(1.0, 22.921570048245187)	(2.0, 11.232953505168588)	(3.0, 6.944596980518473)	(4.0, 4.854546922302153)	(5.0, 3.557200366271249)	(6.0, 2.945909991605738)	(7.0, 2.3516345090317654)	(8.0, 1.9461057544042888)	(9.0, 1.7113900719742)	('>10', 19.941280839372777)	('>50', 5.8746408422915914)	('>100', 10.010592676990857)	('>500', 2.5788030513872577)	('>1k', 2.7450628316608445)	('>5k', 0.3186689237981819)	('>10k+', 0.06504268497690356)
Control_siRNA_P5_1_gz	(1.0, 25.009075641486756)	(2.0, 11.004101844592727)	(3.0, 7.07116699986448)	(4.0, 4.7832542676492995)	(5.0, 3.5289588368910376)	(6.0, 2.7891442126131225)	(7.0, 2.2456737650499683)	(8.0, 1.9058919531472498)	(9.0, 1.5623280968463509)	('>10', 17.964914442876665)	('>50', 5.409468362837386)	('>100', 10.36434268424445)	('>500', 3.0022210478374793)	('>1k', 3.067616413820633)	('>5k', 0.2548838036092569)	('>10k+', 0.0369576266335248)
Control_siRNA_P5_2_gz	(1.0, 32.032491014194)	(2.0, 10.223095134976539)	(3.0, 6.270559062771771)	(4.0, 4.29914806984967)	(5.0, 3.1664632005947393)	(6.0, 2.534710935433674)	(7.0, 2.000830990698116)	(8.0, 1.687441014128589)	(9.0, 1.4086561293470297)	('>10', 16.100865898712627)	('>50', 4.93633035116798)	('>100', 9.429263940890326)	('>500', 2.7197437079031195)	('>1k', 2.89857416409327)	('>5k', 0.2556993872060904)	('>10k+', 0.03612699803274064)
KRAS_siRNA_M1_1	(1.0, 23.199008283275635)	(2.0, 12.067916190010486)	(3.0, 7.590281464510729)	(4.0, 5.123330032687646)	(5.0, 3.722265676092566)	(6.0, 2.916162514166468)	(7.0, 2.3692471523932235)	(8.0, 2.0309806710756972)	(9.0, 1.6617351573874135)	('>10', 19.042465685371287)	('>50', 5.523546254090593)	('>100', 9.543561730575167)	('>500', 2.623097722374678)	('>1k', 2.3535601746317814)	('>5k', 0.20602044069253236)	('>10k+', 0.026820850664135164)
KRAS_siRNA_M1_2	(1.0, 23.199008283275635)	(2.0, 12.067916190010486)	(3.0, 7.590281464510729)	(4.0, 5.123330032687646)	(5.0, 3.722265676092566)	(6.0, 2.916162514166468)	(7.0, 2.3692471523932235)	(8.0, 2.0309806710756972)	(9.0, 1.6617351573874135)	('>10', 19.042465685371287)	('>50', 5.523546254090593)	('>100', 9.543561730575167)	('>500', 2.623097722374678)	('>1k', 2.3535601746317814)	('>5k', 0.20602044069253236)	('>10k+', 0.026820850664135164)
KRAS_siRNA_M2_1	(1.0, 23.63163136691877)	(2.0, 12.39116164535312)	(3.0, 7.809063825087366)	(4.0, 5.304649178051422)	(5.0, 3.7050002058109204)	(6.0, 3.06456497984695)	(7.0, 2.5134904772688853)	(8.0, 2.0211021309067445)	(9.0, 1.7167323932381369)	('>10', 18.669683552769502)	('>50', 5.393824936759688)	('>100', 8.880406544078793)	('>500', 2.3086020144986734)	('>1k', 2.268311214541275)	('>5k', 0.26822332207375205)	('>10k+', 0.053552212795996645)
KRAS_siRNA_M2_2	(1.0, 24.03615837349914)	(2.0, 12.509201859615166)	(3.0, 7.611044419622422)	(4.0, 5.3124740277007705)	(5.0, 3.7617357407276333)	(6.0, 2.986347870072909)	(7.0, 2.375098206609601)	(8.0, 2.007702609167773)	(9.0, 1.668490418540436)	('>10', 18.557584853597987)	('>50', 5.2563752886818635)	('>100', 9.024632080232497)	('>500', 2.342397526621205)	('>1k', 2.2534323436591026)	('>5k', 0.27064556199123574)	('>10k+', 0.026678819660148814)
KRAS_siRNA_M3_1	(1.0, 24.31591121623659)	(2.0, 12.353648002405745)	(3.0, 7.562648289719127)	(4.0, 5.12751035459305)	(5.0, 3.844379395280499)	(6.0, 2.9235943408146303)	(7.0, 2.3667208199003102)	(8.0, 1.9346648746860515)	(9.0, 1.613899718172469)	('>10', 17.943116173788646)	('>50', 5.397267283100788)	('>100', 9.342584510401123)	('>500', 2.5971742072837296)	('>1k', 2.523661905940911)	('>5k', 0.1532189076764308)	('>10k+', 0.0)
KRAS_siRNA_M3_2	(1.0, 25.427631418414364)	(2.0, 12.420986078877212)	(3.0, 7.3381035516133135)	(4.0, 5.065033906731518)	(5.0, 3.631452183095822)	(6.0, 2.936239859638893)	(7.0, 2.253080473844746)	(8.0, 1.9102535376743068)	(9.0, 1.6124597608021045)	('>10', 17.909654405162865)	('>50', 5.1398399257595555)	('>100', 9.123121725196444)	('>500', 2.603295862147954)	('>1k', 2.4613492362348617)	('>5k', 0.16749807480618253)	('>10k+', 0.0)
