Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
Control_siRNA_P3_1_fastq_gz	(1, 30.0)	(2, 30.0)	(3, 30.0)	(4, 30.0)	(5, 30.0)	(6, 30.0)	(7, 30.0)	(8, 30.0)	(9, 30.0)	(10, 30.0)	(15, 30.0)	(20, 30.0)	(25, 30.0)	(30, 30.0)	(35, 30.0)	(40, 30.0)	(45, 30.0)	(50, 30.0)	(55, 30.0)	(60, 30.0)	(65, 30.0)	(70, 30.0)	(75, 30.0)	(80, 30.0)	(85, 30.0)	(90, 30.0)	(95, 30.0)	(100, 30.0)	(105, 30.0)	(110, 30.0)	(115, 30.0)	(120, 30.0)	(125, 30.0)	(130, 30.0)	(135, 30.0)	(140, 30.0)	(145, 30.0)	(150, 30.0)
Control_siRNA_P3_2_fastq_gz	(1, 30.0)	(2, 30.0)	(3, 30.0)	(4, 30.0)	(5, 30.0)	(6, 30.0)	(7, 30.0)	(8, 30.0)	(9, 30.0)	(10, 30.0)	(15, 30.0)	(20, 30.0)	(25, 30.0)	(30, 30.0)	(35, 30.0)	(40, 30.0)	(45, 30.0)	(50, 30.0)	(55, 30.0)	(60, 30.0)	(65, 30.0)	(70, 30.0)	(75, 30.0)	(80, 30.0)	(85, 30.0)	(90, 30.0)	(95, 30.0)	(100, 30.0)	(105, 30.0)	(110, 30.0)	(115, 30.0)	(120, 30.0)	(125, 30.0)	(130, 30.0)	(135, 30.0)	(140, 30.0)	(145, 30.0)	(150, 30.0)
Control_siRNA_P4_1_fastq_gz	(1, 30.0)	(2, 30.0)	(3, 30.0)	(4, 30.0)	(5, 30.0)	(6, 30.0)	(7, 30.0)	(8, 30.0)	(9, 30.0)	(10, 30.0)	(15, 30.0)	(20, 30.0)	(25, 30.0)	(30, 30.0)	(35, 30.0)	(40, 30.0)	(45, 30.0)	(50, 30.0)	(55, 30.0)	(60, 30.0)	(65, 30.0)	(70, 30.0)	(75, 30.0)	(80, 30.0)	(85, 30.0)	(90, 30.0)	(95, 30.0)	(100, 30.0)	(105, 30.0)	(110, 30.0)	(115, 30.0)	(120, 30.0)	(125, 30.0)	(130, 30.0)	(135, 30.0)	(140, 30.0)	(145, 30.0)	(150, 30.0)
Control_siRNA_P4_2_fastq_gz	(1, 30.0)	(2, 30.0)	(3, 30.0)	(4, 30.0)	(5, 30.0)	(6, 30.0)	(7, 30.0)	(8, 30.0)	(9, 30.0)	(10, 30.0)	(15, 30.0)	(20, 30.0)	(25, 30.0)	(30, 30.0)	(35, 30.0)	(40, 30.0)	(45, 30.0)	(50, 30.0)	(55, 30.0)	(60, 30.0)	(65, 30.0)	(70, 30.0)	(75, 30.0)	(80, 30.0)	(85, 30.0)	(90, 30.0)	(95, 30.0)	(100, 30.0)	(105, 30.0)	(110, 30.0)	(115, 30.0)	(120, 30.0)	(125, 30.0)	(130, 30.0)	(135, 30.0)	(140, 30.0)	(145, 30.0)	(150, 30.0)
Control_siRNA_P5_1_gz	(1, 36.48186616372284)	(2, 36.4823346696064)	(3, 36.56297154176571)	(4, 36.571248042237755)	(5, 36.5873420877643)	(6, 36.56813372411471)	(7, 36.56056182593005)	(8, 36.61142205528205)	(9, 36.59035008476927)	(10, 36.59779156356698)	(15, 36.57883065915473)	(20, 36.560733463351454)	(25, 36.507249489999566)	(30, 36.47708409880504)	(35, 36.457323718220294)	(40, 36.424562696932554)	(45, 36.39753612635897)	(50, 36.368213965797466)	(55, 36.34139966432555)	(60, 36.32143567224764)	(65, 36.28659362218548)	(70, 36.25901051708422)	(75, 36.23944668508989)	(80, 36.22190638806462)	(85, 36.19701704298427)	(90, 36.16581675440917)	(95, 36.14313133261139)	(100, 36.11810164898568)	(105, 36.077057086533515)	(110, 36.068585134664126)	(115, 36.038078698549555)	(120, 36.005329768595985)	(125, 35.994611076261776)	(130, 35.94053759928514)	(135, 35.88295082125235)	(140, 35.855872025176986)	(145, 35.78842981921123)	(150, 35.756374564035106)
Control_siRNA_P5_2_gz	(1, 36.41781905069656)	(2, 36.30362124131138)	(3, 36.41838172861702)	(4, 36.406442624431634)	(5, 36.44813933712348)	(6, 36.422507218986254)	(7, 36.427094552123236)	(8, 36.50974539545937)	(9, 36.48823614686582)	(10, 36.48335656946905)	(15, 36.45333713160549)	(20, 36.430338254629234)	(25, 36.39352822221562)	(30, 36.36697715379722)	(35, 36.34849761952414)	(40, 36.319574561831836)	(45, 36.29171450210056)	(50, 36.26395576170842)	(55, 36.23074070238258)	(60, 36.21276907077586)	(65, 36.19802950343285)	(70, 36.16093489378471)	(75, 36.112723368464465)	(80, 36.080252783511085)	(85, 36.046773385054514)	(90, 36.022976693242654)	(95, 36.01184236018579)	(100, 35.98858934308807)	(105, 35.93807815439511)	(110, 35.914827718144245)	(115, 35.86329322145014)	(120, 35.78301428298844)	(125, 35.78311636636485)	(130, 35.744191860777484)	(135, 35.73353025801961)	(140, 35.67329614855692)	(145, 35.59566928122148)	(150, 35.58635428084425)
KRAS_siRNA_M1_1	(1, 36.61882333387308)	(2, 36.548209536208034)	(3, 36.60711883717717)	(4, 36.59900547280512)	(5, 36.6176253035866)	(6, 36.58168417420582)	(7, 36.57718097393137)	(8, 36.636152934034946)	(9, 36.6272867327474)	(10, 36.62583440087159)	(15, 36.59795992632628)	(20, 36.577570025777675)	(25, 36.54515802311358)	(30, 36.51843195935554)	(35, 36.49051286391147)	(40, 36.46919695938492)	(45, 36.44695169492959)	(50, 36.4299112982456)	(55, 36.40965569755006)	(60, 36.37127723381691)	(65, 36.34757461239099)	(70, 36.31473859858762)	(75, 36.29774936249078)	(80, 36.28073033791467)	(85, 36.27247431030683)	(90, 36.22595469846142)	(95, 36.193416944787415)	(100, 36.16952402328694)	(105, 36.12644563874099)	(110, 36.12524066693517)	(115, 36.0707628769489)	(120, 36.062471095217646)	(125, 36.025163131224)	(130, 35.99143120219122)	(135, 35.94060878449271)	(140, 35.86292622396935)	(145, 35.82463983251333)	(150, 35.767123617640806)
KRAS_siRNA_M1_2	(1, 36.61882333387308)	(2, 36.548209536208034)	(3, 36.60711883717717)	(4, 36.59900547280512)	(5, 36.6176253035866)	(6, 36.58168417420582)	(7, 36.57718097393137)	(8, 36.636152934034946)	(9, 36.6272867327474)	(10, 36.62583440087159)	(15, 36.59795992632628)	(20, 36.577570025777675)	(25, 36.54515802311358)	(30, 36.51843195935554)	(35, 36.49051286391147)	(40, 36.46919695938492)	(45, 36.44695169492959)	(50, 36.4299112982456)	(55, 36.40965569755006)	(60, 36.37127723381691)	(65, 36.34757461239099)	(70, 36.31473859858762)	(75, 36.29774936249078)	(80, 36.28073033791467)	(85, 36.27247431030683)	(90, 36.22595469846142)	(95, 36.193416944787415)	(100, 36.16952402328694)	(105, 36.12644563874099)	(110, 36.12524066693517)	(115, 36.0707628769489)	(120, 36.062471095217646)	(125, 36.025163131224)	(130, 35.99143120219122)	(135, 35.94060878449271)	(140, 35.86292622396935)	(145, 35.82463983251333)	(150, 35.767123617640806)
KRAS_siRNA_M2_1	(1, 36.46395976258111)	(2, 36.4781686630118)	(3, 36.572361258954814)	(4, 36.592954986037554)	(5, 36.60833328469452)	(6, 36.59044901589749)	(7, 36.574994568161024)	(8, 36.63535841813766)	(9, 36.62253762026836)	(10, 36.6228850217713)	(15, 36.605332297845145)	(20, 36.58050722100169)	(25, 36.539228047279835)	(30, 36.49750341166272)	(35, 36.47061656839999)	(40, 36.442880779861056)	(45, 36.41708401532711)	(50, 36.39373891049222)	(55, 36.367055691639514)	(60, 36.34518632099088)	(65, 36.30594456778516)	(70, 36.288095141790926)	(75, 36.258588197882865)	(80, 36.232321539249746)	(85, 36.20288408109285)	(90, 36.190529779797444)	(95, 36.165317198843056)	(100, 36.140631179802696)	(105, 36.12438423203971)	(110, 36.08571443495622)	(115, 36.042742417006295)	(120, 36.00902924140551)	(125, 35.99067895750206)	(130, 35.944399475936265)	(135, 35.91346816043015)	(140, 35.87700304839323)	(145, 35.8247774115622)	(150, 35.77140984286241)
KRAS_siRNA_M2_2	(1, 36.57946363113831)	(2, 36.499573503835805)	(3, 36.56921922938449)	(4, 36.563898695697766)	(5, 36.58588826970101)	(6, 36.54565639223376)	(7, 36.54174247035381)	(8, 36.6080444496235)	(9, 36.59392627856133)	(10, 36.59374273952139)	(15, 36.565062529795064)	(20, 36.544202660203254)	(25, 36.511275207746976)	(30, 36.48362550196108)	(35, 36.45386219024239)	(40, 36.43335648086693)	(45, 36.41015691093549)	(50, 36.39354854914883)	(55, 36.37115108134078)	(60, 36.33117552172055)	(65, 36.30633230354554)	(70, 36.272466153005965)	(75, 36.25518111591854)	(80, 36.23768183942564)	(85, 36.22966959816019)	(90, 36.18079568815887)	(95, 36.1468726881186)	(100, 36.12118298196843)	(105, 36.07624976525621)	(110, 36.07478802087997)	(115, 36.017585849797726)	(120, 36.00924993065846)	(125, 35.9693243119347)	(130, 35.93380148627651)	(135, 35.87990746921634)	(140, 35.796914447474386)	(145, 35.75640953252027)	(150, 35.695272890889086)
