Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
KRAS_siRNA_M3_1	(1, 36.46892882598502)	(2, 36.48474888424538)	(3, 36.57753095967828)	(4, 36.596988781736336)	(5, 36.61129014699119)	(6, 36.592841908375966)	(7, 36.57547792508897)	(8, 36.63665172662557)	(9, 36.62179607159311)	(10, 36.622064443466456)	(15, 36.60397113838523)	(20, 36.57895408291228)	(25, 36.53749692251974)	(30, 36.49681336099763)	(35, 36.46986663317294)	(40, 36.443104667055685)	(45, 36.417355417434806)	(50, 36.394776771447916)	(55, 36.367608811869054)	(60, 36.345942047401145)	(65, 36.30580725906161)	(70, 36.288617818979006)	(75, 36.25874233318404)	(80, 36.23190275299739)	(85, 36.201810048363775)	(90, 36.190316513592016)	(95, 36.164450251637035)	(100, 36.13967827264376)	(105, 36.12320855966988)	(110, 36.08510912022809)	(115, 36.04291338785203)	(120, 36.007695705922)	(125, 35.99141102466609)	(130, 35.94508807849151)	(135, 35.91544136612494)	(140, 35.879998327796685)	(145, 35.82969302383265)	(150, 35.77770177394376)
KRAS_siRNA_M3_2	(1, 36.49564616121916)	(2, 36.39119057501146)	(3, 36.48227835746898)	(4, 36.47940586411258)	(5, 36.50353358860349)	(6, 36.460257925723496)	(7, 36.46321267919303)	(8, 36.53446716197931)	(9, 36.5153859348195)	(10, 36.51933050975224)	(15, 36.489590829957294)	(20, 36.467500772730645)	(25, 36.43241141099068)	(30, 36.40390971563862)	(35, 36.371651484430764)	(40, 36.34892534750417)	(45, 36.32388900489774)	(50, 36.30658141657455)	(55, 36.282578939739764)	(60, 36.23863983764172)	(65, 36.210799328316156)	(70, 36.17318320311803)	(75, 36.15489806950133)	(80, 36.136014625075326)	(85, 36.12824748739463)	(90, 36.07420913383802)	(95, 36.036224234737126)	(100, 36.00823371126975)	(105, 35.957268422360656)	(110, 35.95848643067759)	(115, 35.8940839453049)	(120, 35.88595152058191)	(125, 35.84102842552444)	(130, 35.80295835671389)	(135, 35.74561231330078)	(140, 35.65356811620361)	(145, 35.611151207937624)	(150, 35.54336366071749)
KRAS_siRNA_P1_1	(1, 36.47666445413567)	(2, 36.48160158617603)	(3, 36.57458841843871)	(4, 36.59469072134766)	(5, 36.608970954888036)	(6, 36.590172648983135)	(7, 36.572068029848)	(8, 36.63497007077647)	(9, 36.618512513561825)	(10, 36.62050873599421)	(15, 36.60342494392727)	(20, 36.578080373879196)	(25, 36.53826529062353)	(30, 36.49667789547415)	(35, 36.47192993808667)	(40, 36.44474464334536)	(45, 36.42030047482086)	(50, 36.39931957540424)	(55, 36.37188252956802)	(60, 36.35204776224335)	(65, 36.31316996436879)	(70, 36.296759540420126)	(75, 36.26661685093832)	(80, 36.2426316036806)	(85, 36.21258511750862)	(90, 36.2010511148709)	(95, 36.17458952445397)	(100, 36.15061734919569)	(105, 36.13394268268557)	(110, 36.096526296313705)	(115, 36.055008455011276)	(120, 36.020853802748235)	(125, 36.004749970235174)	(130, 35.959011769854136)	(135, 35.928718637273086)	(140, 35.89191745562839)	(145, 35.84416706315562)	(150, 35.79175146325569)
KRAS_siRNA_P1_2	(1, 36.56600038505346)	(2, 36.48294989885966)	(3, 36.552994321137085)	(4, 36.54634456699527)	(5, 36.56917132081394)	(6, 36.528040514790554)	(7, 36.521575880579576)	(8, 36.594677083829104)	(9, 36.57603632254228)	(10, 36.57905714550672)	(15, 36.55249075889212)	(20, 36.53268675981117)	(25, 36.49917297583316)	(30, 36.472698783848635)	(35, 36.443487524373)	(40, 36.422523040024586)	(45, 36.39982899802874)	(50, 36.38326132473304)	(55, 36.36217262636237)	(60, 36.32138740256618)	(65, 36.29747616324404)	(70, 36.26246025539143)	(75, 36.24534772694595)	(80, 36.22809060577157)	(85, 36.22071979974017)	(90, 36.17110622195644)	(95, 36.136177058731064)	(100, 36.110435689441125)	(105, 36.06421815405451)	(110, 36.06433385526244)	(115, 36.00574892222316)	(120, 35.99787908310433)	(125, 35.9563522935879)	(130, 35.92034917452475)	(135, 35.864867259901224)	(140, 35.77956389567804)	(145, 35.73810223094289)	(150, 35.674756117377946)
KRAS_siRNA_P2_1	(1, 36.51798811105611)	(2, 36.51474082486075)	(3, 36.60084493852466)	(4, 36.61869212328499)	(5, 36.63020050987734)	(6, 36.61114597520082)	(7, 36.598125117311525)	(8, 36.65511174249595)	(9, 36.64064137039657)	(10, 36.64022956912348)	(15, 36.62263091473504)	(20, 36.59700343969938)	(25, 36.55549124425018)	(30, 36.5135276812037)	(35, 36.4844712029265)	(40, 36.455721487980895)	(45, 36.42942633005173)	(50, 36.403788787511715)	(55, 36.376852884065556)	(60, 36.35278688552277)	(65, 36.31437823050897)	(70, 36.29513373150172)	(75, 36.26633305040174)	(80, 36.238102585992834)	(85, 36.20786591097521)	(90, 36.19448383797286)	(95, 36.167985176655385)	(100, 36.142626944028756)	(105, 36.12533295127483)	(110, 36.08668820249402)	(115, 36.04492658063689)	(120, 36.00928742288637)	(125, 35.99013390672134)	(130, 35.94424306933719)	(135, 35.91194748647115)	(140, 35.87716147230824)	(145, 35.82552812762668)	(150, 35.771623824181404)
KRAS_siRNA_P2_2	(1, 36.6031742803693)	(2, 36.51412992531891)	(3, 36.585065556295056)	(4, 36.577960178188256)	(5, 36.59946462081467)	(6, 36.56245490792479)	(7, 36.56077706872085)	(8, 36.62347866803258)	(9, 36.61270944079986)	(10, 36.60967820249729)	(15, 36.5815384863662)	(20, 36.56082317470071)	(25, 36.52712957389453)	(30, 36.49871493420445)	(35, 36.4680736308933)	(40, 36.44467621128004)	(45, 36.4208175770557)	(50, 36.402509867303635)	(55, 36.381111794944545)	(60, 36.339568599463306)	(65, 36.31557105619708)	(70, 36.28085734416702)	(75, 36.26413489573871)	(80, 36.24602815138806)	(85, 36.238771451090955)	(90, 36.189327413303)	(95, 36.15407003258146)	(100, 36.12807577856501)	(105, 36.08133686887573)	(110, 36.08038603859513)	(115, 36.023296857160645)	(120, 36.01375354327129)	(125, 35.97167451354977)	(130, 35.93496824725078)	(135, 35.87873793277544)	(140, 35.79316857435553)	(145, 35.75031651886529)	(150, 35.68576433773765)
KRAS_siRNA_P3_1_fastq_gz	(1, 30.0)	(2, 30.0)	(3, 30.0)	(4, 30.0)	(5, 30.0)	(6, 30.0)	(7, 30.0)	(8, 30.0)	(9, 30.0)	(10, 30.0)	(15, 30.0)	(20, 30.0)	(25, 30.0)	(30, 30.0)	(35, 30.0)	(40, 30.0)	(45, 30.0)	(50, 30.0)	(55, 30.0)	(60, 30.0)	(65, 30.0)	(70, 30.0)	(75, 30.0)	(80, 30.0)	(85, 30.0)	(90, 30.0)	(95, 30.0)	(100, 30.0)	(105, 30.0)	(110, 30.0)	(115, 30.0)	(120, 30.0)	(125, 30.0)	(130, 30.0)	(135, 30.0)	(140, 30.0)	(145, 30.0)	(150, 30.0)
KRAS_siRNA_P3_2_fastq_gz	(1, 30.0)	(2, 30.0)	(3, 30.0)	(4, 30.0)	(5, 30.0)	(6, 30.0)	(7, 30.0)	(8, 30.0)	(9, 30.0)	(10, 30.0)	(15, 30.0)	(20, 30.0)	(25, 30.0)	(30, 30.0)	(35, 30.0)	(40, 30.0)	(45, 30.0)	(50, 30.0)	(55, 30.0)	(60, 30.0)	(65, 30.0)	(70, 30.0)	(75, 30.0)	(80, 30.0)	(85, 30.0)	(90, 30.0)	(95, 30.0)	(100, 30.0)	(105, 30.0)	(110, 30.0)	(115, 30.0)	(120, 30.0)	(125, 30.0)	(130, 30.0)	(135, 30.0)	(140, 30.0)	(145, 30.0)	(150, 30.0)
KRAS_siRNA_P4_1_fastq_gz	(1, 30.0)	(2, 30.0)	(3, 30.0)	(4, 30.0)	(5, 30.0)	(6, 30.0)	(7, 30.0)	(8, 30.0)	(9, 30.0)	(10, 30.0)	(15, 30.0)	(20, 30.0)	(25, 30.0)	(30, 30.0)	(35, 30.0)	(40, 30.0)	(45, 30.0)	(50, 30.0)	(55, 30.0)	(60, 30.0)	(65, 30.0)	(70, 30.0)	(75, 30.0)	(80, 30.0)	(85, 30.0)	(90, 30.0)	(95, 30.0)	(100, 30.0)	(105, 30.0)	(110, 30.0)	(115, 30.0)	(120, 30.0)	(125, 30.0)	(130, 30.0)	(135, 30.0)	(140, 30.0)	(145, 30.0)	(150, 30.0)
KRAS_siRNA_P4_2_fastq_gz	(1, 30.0)	(2, 30.0)	(3, 30.0)	(4, 30.0)	(5, 30.0)	(6, 30.0)	(7, 30.0)	(8, 30.0)	(9, 30.0)	(10, 30.0)	(15, 30.0)	(20, 30.0)	(25, 30.0)	(30, 30.0)	(35, 30.0)	(40, 30.0)	(45, 30.0)	(50, 30.0)	(55, 30.0)	(60, 30.0)	(65, 30.0)	(70, 30.0)	(75, 30.0)	(80, 30.0)	(85, 30.0)	(90, 30.0)	(95, 30.0)	(100, 30.0)	(105, 30.0)	(110, 30.0)	(115, 30.0)	(120, 30.0)	(125, 30.0)	(130, 30.0)	(135, 30.0)	(140, 30.0)	(145, 30.0)	(150, 30.0)
KRAS_siRNA_P5_1	(1, 36.492253162378546)	(2, 36.49378570576392)	(3, 36.58419475880826)	(4, 36.606470932301185)	(5, 36.62039334277217)	(6, 36.60475615820498)	(7, 36.58738522157502)	(8, 36.645983797726025)	(9, 36.63037973881673)	(10, 36.63085913439356)	(15, 36.615723860292604)	(20, 36.589963010121934)	(25, 36.54966861672532)	(30, 36.508951677187696)	(35, 36.48093219560556)	(40, 36.45355776428469)	(45, 36.42836317545988)	(50, 36.40558877095627)	(55, 36.37821913295768)	(60, 36.356241275150424)	(65, 36.31686018385664)	(70, 36.29969218213358)	(75, 36.270551569918624)	(80, 36.24485884510496)	(85, 36.214357752882066)	(90, 36.20053674651666)	(95, 36.17521242125068)	(100, 36.15040806587334)	(105, 36.13360467338366)	(110, 36.095499978356145)	(115, 36.054238035962584)	(120, 36.01960358485606)	(125, 36.00219813947301)	(130, 35.95743185088755)	(135, 35.926607119667295)	(140, 35.89092968280665)	(145, 35.841448612734396)	(150, 35.78784301552762)
KRAS_siRNA_P5_2	(1, 36.60319363016034)	(2, 36.52341796608989)	(3, 36.58579709043225)	(4, 36.57844198021224)	(5, 36.59926484794927)	(6, 36.55784104118562)	(7, 36.54849115927661)	(8, 36.61250069946608)	(9, 36.60023180042042)	(10, 36.601468129157865)	(15, 36.576262887332646)	(20, 36.55691323769916)	(25, 36.52427639309888)	(30, 36.498505386152786)	(35, 36.469524980705295)	(40, 36.44861499908674)	(45, 36.42652531644901)	(50, 36.410099582854265)	(55, 36.38881715798221)	(60, 36.34989859589443)	(65, 36.32565709691486)	(70, 36.29309297039226)	(75, 36.27730003452459)	(80, 36.25995363463693)	(85, 36.25268532683807)	(90, 36.2052765292968)	(95, 36.17228926538641)	(100, 36.14719889964747)	(105, 36.103070856706054)	(110, 36.10321334190641)	(115, 36.047766776364064)	(120, 36.039013969261504)	(125, 35.999979570311396)	(130, 35.96659347875893)	(135, 35.91512427268725)	(140, 35.833520103974976)	(145, 35.79405631731371)	(150, 35.73086345260682)
SRR24828472_1_fastq_gz	(1, 36.46563766065449)	(2, 36.52222587936175)	(3, 36.62494041125121)	(4, 36.63906493119952)	(5, 36.65901614081927)	(6, 36.642243538341795)	(7, 36.65477648445077)	(8, 36.701232009688205)	(9, 36.70163556144404)	(10, 36.69283722042631)	(15, 36.68023380797228)	(20, 36.66507691830829)	(25, 36.625474864818266)	(30, 36.60262121459997)	(35, 36.5794332882384)	(40, 36.5683572751648)	(45, 36.54226678310825)	(50, 36.51962728867939)	(55, 36.50365377891007)	(60, 36.484890540408614)	(65, 36.459715054468134)	(70, 36.43572058984533)	(75, 36.419416246400644)	(80, 36.390379349306855)	(85, 36.3598566450727)	(90, 36.33294954681045)	(95, 36.323626384649316)	(100, 36.29346047854567)	(105, 36.27790917843025)	(110, 36.247890960222904)	(115, 36.20792583524904)	(120, 36.154813452756855)	(125, 36.13237081374706)	(130, 36.102288972431666)	(135, 36.06867072043904)	(140, 36.02904564920938)	(145, 35.9820469136561)	(150, 35.926935425649575)
SRR24828472_2_fastq_gz	(1, 36.56348531666975)	(2, 36.59323261774943)	(3, 36.636025343235595)	(4, 36.590912195153365)	(5, 36.62667100426889)	(6, 36.589746250269826)	(7, 36.60850332198153)	(8, 36.658838295421475)	(9, 36.657188945573004)	(10, 36.643547895454425)	(15, 36.62751187917837)	(20, 36.60758847339429)	(25, 36.57833273171226)	(30, 36.550686966941605)	(35, 36.52421078411682)	(40, 36.503631507115685)	(45, 36.47787684795777)	(50, 36.45046684822326)	(55, 36.42966014131353)	(60, 36.403954334620764)	(65, 36.36297596114931)	(70, 36.33457674996096)	(75, 36.320837031206416)	(80, 36.28981728186533)	(85, 36.26092359699626)	(90, 36.21216765995534)	(95, 36.19513270713776)	(100, 36.14865745836617)	(105, 36.135113353333004)	(110, 36.08427475564154)	(115, 36.051799954344446)	(120, 35.9946927152607)	(125, 35.96893808853518)	(130, 35.92963569191497)	(135, 35.842474975968756)	(140, 35.759731970282836)	(145, 35.7253861343972)	(150, 35.693520904745434)
