Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
KRAS_siRNA_M3_1	(1, 0.004629750000715761)	(2, 9.543476622893223e-05)	(3, 6.051960785249361e-05)	(4, 6.983031675287723e-06)	(5, 3.258748115134271e-05)	(6, 0.0)	(7, 2.094909502586317e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 1.6759276020690536e-05)	(90, 1.0707315235441176e-05)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.00019552488690805625)	(125, 2.141463047088235e-05)	(130, 2.6069984921074166e-05)	(135, 0.0)	(140, 0.0)	(145, 2.6069984921074166e-05)	(150, 0.0007402013575804987)
KRAS_siRNA_M3_2	(1, 0.06692072022150734)	(2, 0.010786456261094438)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 1.6293740575671356e-05)	(35, 1.489713424061381e-05)	(40, 7.448567120306905e-05)	(45, 1.7224811465709717e-05)	(50, 0.0)	(55, 0.0)	(60, 0.0001010211915691624)	(65, 1.3500527905556266e-05)	(70, 0.00033239230774369564)	(75, 0.00014524705884598466)	(80, 4.422586727682225e-05)	(85, 0.0)	(90, 1.3966063350575446e-06)	(95, 2.327677225095908e-06)	(100, 1.536266968563299e-05)	(105, 0.00032866802418354216)	(110, 0.00013686742083563938)	(115, 3.491515837643862e-05)	(120, 1.8621417800767262e-06)	(125, 1.3966063350575446e-06)	(130, 0.0)	(135, 1.489713424061381e-05)	(140, 0.000156419909526445)	(145, 0.00010986636502452686)	(150, 4.655354450191816e-06)
KRAS_siRNA_P1_1	(1, 0.004819423990251852)	(2, 0.00012511484917580095)	(3, 0.00010259417632415676)	(4, 2.5022969835160183e-06)	(5, 1.0009187934064073e-05)	(6, 0.0)	(7, 1.0009187934064073e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 5.004593967032037e-07)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 1.3512403710986501e-05)	(90, 1.1010106727470482e-05)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0001921764083340302)	(125, 2.302113224834737e-05)	(130, 2.0518835264831353e-05)	(135, 0.0)	(140, 0.0)	(145, 2.4022051041753775e-05)	(150, 0.0007081500463350332)
KRAS_siRNA_P1_2	(1, 0.06646851477313599)	(2, 0.010722342574366139)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 1.6014700694502518e-05)	(35, 1.4513322504392906e-05)	(40, 7.356753131537094e-05)	(45, 2.151975405823776e-05)	(50, 0.0)	(55, 0.0)	(60, 8.758039442306064e-05)	(65, 9.50872853736087e-06)	(70, 0.00030327839440214146)	(75, 0.0001221120927955817)	(80, 3.6033076562630664e-05)	(85, 0.0)	(90, 1.501378190109611e-06)	(95, 3.5032157769224263e-06)	(100, 1.1510566124173685e-05)	(105, 0.00031578987931972155)	(110, 0.00012011025520876889)	(115, 3.0528023198895424e-05)	(120, 0.0)	(125, 1.0009187934064074e-06)	(130, 0.0)	(135, 1.0509647330767278e-05)	(140, 0.00014663460323403868)	(145, 0.00010009187934064074)	(150, 7.506890950548055e-06)
KRAS_siRNA_P2_1	(1, 0.004620918819745088)	(2, 0.0001243191357596394)	(3, 7.036932212809777e-05)	(4, 2.3456440709365927e-06)	(5, 3.9875949205922074e-05)	(6, 0.0)	(7, 9.382576283746371e-06)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 1.3135606797244918e-05)	(90, 7.975189841184415e-06)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0001768615629486191)	(125, 2.1110796638429332e-05)	(130, 2.1110796638429332e-05)	(135, 0.0)	(140, 0.0)	(145, 2.486382715192788e-05)	(150, 0.0006943106449972315)
KRAS_siRNA_P2_2	(1, 0.0652159421042501)	(2, 0.0102434276577801)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 2.392556952355325e-05)	(35, 1.7826894939118104e-05)	(40, 6.990019331391047e-05)	(45, 2.1110796638429332e-05)	(50, 0.0)	(55, 0.0)	(60, 9.476402046583835e-05)	(65, 1.2197349168870284e-05)	(70, 0.00031994585127575125)	(75, 0.00011775133236101695)	(80, 3.7530305134985484e-05)	(85, 0.0)	(90, 3.753030513498548e-06)	(95, 2.3456440709365927e-06)	(100, 1.2197349168870284e-05)	(105, 0.0003208841089041259)	(110, 0.00012291174931707745)	(115, 3.5184661064048886e-05)	(120, 0.0)	(125, 4.691288141873185e-07)	(130, 0.0)	(135, 5.629545770247822e-06)	(140, 0.00014636819002644338)	(145, 9.5702278094213e-05)	(150, 1.4073864425619556e-05)
KRAS_siRNA_P3_1_fastq_gz	(1, 0.00458961519582374)	(2, 0.00012834760257611702)	(3, 6.892741619828506e-05)	(4, 0.0)	(5, 5.9420186377831954e-05)	(6, 0.0)	(7, 4.7536149102265565e-06)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 1.4736206221702323e-05)	(90, 5.7043378922718675e-06)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0001872924274629263)	(125, 2.3292713060110127e-05)	(130, 2.4718797533178095e-05)	(135, 0.0)	(140, 0.0)	(145, 3.0423135425449964e-05)	(150, 0.0007534479632709092)
KRAS_siRNA_P3_2_fastq_gz	(1, 0.06602058068068152)	(2, 0.010662358243638165)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 2.0915905604996848e-05)	(35, 1.8539098149883572e-05)	(40, 8.604042987510067e-05)	(45, 2.0440544113974194e-05)	(50, 0.0)	(55, 0.0)	(60, 9.554765969555378e-05)	(65, 1.2834760257611701e-05)	(70, 0.00034986605739267454)	(75, 0.00013737947090554747)	(80, 4.1831811209993696e-05)	(85, 0.0)	(90, 2.8521689461359337e-06)	(95, 4.7536149102265565e-06)	(100, 1.7588375167838258e-05)	(105, 0.00034558780397347065)	(110, 0.00013737947090554747)	(115, 3.565211182669917e-05)	(120, 9.507229820453114e-07)	(125, 1.4260844730679669e-06)	(130, 0.0)	(135, 1.188403727556639e-05)	(140, 0.00015782001501952165)	(145, 0.00010362880504293893)	(150, 1.188403727556639e-05)
KRAS_siRNA_P4_1_fastq_gz	(1, 0.004518876146603021)	(2, 0.00011865757934187364)	(3, 7.663301999162673e-05)	(4, 4.9440658059114025e-06)	(5, 4.696862515615832e-05)	(6, 0.0)	(7, 4.9440658059114025e-06)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 2.0765076384827888e-05)	(90, 1.5326603998325346e-05)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.00020863957700946117)	(125, 3.065320799665069e-05)	(130, 2.8675581674286133e-05)	(135, 0.0)	(140, 0.0)	(145, 2.472032902955701e-05)	(150, 0.0007539700354014888)
KRAS_siRNA_P4_2_fastq_gz	(1, 0.06602305477214086)	(2, 0.010441866982084881)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 1.829304348187219e-05)	(35, 1.7798636901281048e-05)	(40, 6.921692128275962e-05)	(45, 1.977626322364561e-05)	(50, 0.0)	(55, 0.0)	(60, 0.00010135334902118374)	(65, 1.0382538192413944e-05)	(70, 0.0003134537720947829)	(75, 0.00014486112811320408)	(80, 4.2024559350246916e-05)	(85, 0.0)	(90, 1.4832197417734207e-06)	(95, 9.888131611822804e-07)	(100, 1.3843384256551926e-05)	(105, 0.0003001047944188221)	(110, 0.00012014079908364707)	(115, 3.905811986670007e-05)	(120, 9.888131611822804e-07)	(125, 9.888131611822804e-07)	(130, 0.0)	(135, 9.393725031231663e-06)	(140, 0.0001522772268220712)	(145, 0.00010382538192413944)	(150, 7.4160987088671025e-06)
KRAS_siRNA_P5_1	(1, 0.00463231311586009)	(2, 9.238231285191062e-05)	(3, 6.862686097570504e-05)	(4, 5.278989305823464e-06)	(5, 5.542938771114638e-05)	(6, 0.0)	(7, 1.5836967917470392e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 5.278989305823465e-07)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 1.900436150096447e-05)	(90, 8.446382889317544e-06)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.00020852007758002686)	(125, 3.3785531557270174e-05)	(130, 3.0090239043193746e-05)	(135, 0.0)	(140, 0.0)	(145, 3.0090239043193746e-05)	(150, 0.0007443374921211085)
KRAS_siRNA_P5_2	(1, 0.06716985992729775)	(2, 0.010795533130408983)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 2.058805829271151e-05)	(35, 2.058805829271151e-05)	(40, 7.443374921211085e-05)	(45, 3.272973369610548e-05)	(50, 0.0)	(55, 0.0)	(60, 9.977289788006346e-05)	(65, 1.2141675403393967e-05)	(70, 0.0003209625497940666)	(75, 0.00013672582302082773)	(80, 4.3815611238334754e-05)	(85, 0.0)	(90, 2.111595722329386e-06)	(95, 3.167393583494078e-06)	(100, 1.0030079681064581e-05)	(105, 0.000307765076529508)	(110, 0.00013091893478442193)	(115, 2.8506542251446708e-05)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 7.39058502815285e-06)	(140, 0.00015731388131353923)	(145, 0.00010294029146355754)	(150, 1.0557978611646927e-05)
SRR24828472_1_fastq_gz	(1, 0.0019922761769220936)	(2, 0.15280526616971885)	(3, 0.016450178060841612)	(4, 1.3899601234340187e-05)	(5, 0.0)	(6, 1.3899601234340187e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 1.389960123434019e-06)	(15, 0.0)	(20, 0.0001098068497512875)	(25, 0.00026223914328788486)	(30, 0.00025575266271185944)	(35, 0.0008580687161999342)	(40, 0.0009196902816721758)	(45, 0.001253744031337485)	(50, 0.00024092642139522994)	(55, 0.0007389954656257533)	(60, 0.0028137426098715987)	(65, 0.0036681047657423755)	(70, 0.004328799144414679)	(75, 0.003331734415871343)	(80, 0.0020437047014891523)	(85, 0.000417914677112495)	(90, 0.002157218111569597)	(95, 0.0013774504823231126)	(100, 0.0014951337727738595)	(105, 0.0018120446809168158)	(110, 0.002703472440079167)	(115, 0.0008409258746775814)	(120, 0.0002288801003254684)	(125, 0.0007552116670658169)	(130, 0.0011212344995701084)	(135, 0.0004466405196634647)	(140, 0.0006064859338583769)	(145, 0.00044200731925201795)	(150, 2.5482602262957012e-05)
SRR24828472_2_fastq_gz	(1, 0.3561147334244128)	(2, 0.0029559818625030133)	(3, 0.0005073354450534169)	(4, 0.0004841694429961832)	(5, 0.0007204626639799664)	(6, 0.002735904842959294)	(7, 0.0)	(8, 0.00017374501542925236)	(9, 0.0005467176485507141)	(10, 0.000219613699502575)	(15, 0.0006393816567796486)	(20, 0.0010030878890782168)	(25, 0.001705481071453541)	(30, 0.0036611549651252057)	(35, 0.006017600694387012)	(40, 0.002116445947948866)	(45, 0.003554128035620786)	(50, 0.003898374826191278)	(55, 0.004864397111977921)	(60, 0.004627640570952993)	(65, 0.007956595066577468)	(70, 0.006758449440177344)	(75, 0.0033984525017961764)	(80, 0.004963547600782881)	(85, 0.00530640443122994)	(90, 0.0047606134227615145)	(95, 0.0063813069266855805)	(100, 0.008591806842986814)	(105, 0.006021307254716169)	(110, 0.0052920415099544545)	(115, 0.006259917075905676)	(120, 0.006032426935703642)	(125, 0.006888642371738997)	(130, 0.008143776363199916)	(135, 0.00871134341360214)	(140, 0.006124627623891431)	(145, 0.006523546179316995)	(150, 0.005071037850328445)
