Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
Control_siRNA_P3_1_fastq_gz	(1, 0.004498243135058078)	(2, 0.00011078386903256417)	(3, 5.4346803676352245e-05)	(4, 4.1805233597194035e-06)	(5, 4.3895495277053736e-05)	(6, 0.0)	(7, 1.463183175901791e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 1.254157007915821e-05)	(90, 7.524942047494926e-06)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0001918860222111206)	(125, 2.0066512126653135e-05)	(130, 2.215677380651284e-05)	(135, 0.0)	(140, 0.0)	(145, 2.466508782234448e-05)	(150, 0.0006856058309939822)
Control_siRNA_P3_2_fastq_gz	(1, 0.06610870614892278)	(2, 0.01030499008170833)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 1.463183175901791e-05)	(35, 1.5049884094989852e-05)	(40, 6.897863543537016e-05)	(45, 2.0484564462625074e-05)	(50, 0.0)	(55, 0.0)	(60, 9.866035128937792e-05)	(65, 1.170546540721433e-05)	(70, 0.0003281710837379732)	(75, 0.00012165322976783464)	(80, 4.013302425330627e-05)	(85, 0.0)	(90, 2.0902616798597017e-06)	(95, 2.508314015831642e-06)	(100, 1.3795727087074031e-05)	(105, 0.0003336057641056084)	(110, 0.00012625180546352598)	(115, 3.553444855761493e-05)	(120, 0.0)	(125, 8.361046719438807e-07)	(130, 4.1805233597194036e-07)	(135, 9.197151391382688e-06)	(140, 0.00016136820168516895)	(145, 9.991450829729373e-05)	(150, 6.270785039579105e-06)
Control_siRNA_P4_1_fastq_gz	(1, 0.004601716569906393)	(2, 0.0001080215157255022)	(3, 7.561506100785155e-05)	(4, 4.320860629020088e-06)	(5, 3.672731534667075e-05)	(6, 0.0)	(7, 4.320860629020088e-06)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 9.937979446746203e-06)	(90, 5.617118817726115e-06)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.00019400664224300198)	(125, 2.0308044956394414e-05)	(130, 2.3764733459610485e-05)	(135, 0.0)	(140, 0.0)	(145, 2.5060991648316512e-05)	(150, 0.0007129420037883145)
Control_siRNA_P4_2_fastq_gz	(1, 0.06699926491358549)	(2, 0.010653081880849027)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 2.0308044956394414e-05)	(35, 1.512301220157031e-05)	(40, 7.043002825302744e-05)	(45, 1.857970070478638e-05)	(50, 0.0)	(55, 0.0)	(60, 9.8083536278756e-05)	(65, 9.073807320942185e-06)	(70, 0.0003275212356797227)	(75, 0.00013394667949962274)	(80, 4.40727784160049e-05)	(85, 0.0)	(90, 4.320860629020088e-07)	(95, 1.2962581887060265e-06)	(100, 1.7715528578982364e-05)	(105, 0.00033529878481195884)	(110, 0.00013092207705930867)	(115, 3.0678110466042624e-05)	(120, 8.641721258040176e-07)	(125, 4.320860629020088e-07)	(130, 0.0)	(135, 1.080215157255022e-05)	(140, 0.00014518091713507496)	(145, 0.0001024043969077761)	(150, 0.0)
Control_siRNA_P5_1_gz	(1, 0.002305438073101532)	(2, 0.007680351499792965)	(3, 0.0006463222343666145)	(4, 0.0008795312880040528)	(5, 0.0)	(6, 1.9989347454637562e-05)	(7, 8.439946703069194e-05)	(8, 8.884154424283362e-06)	(9, 0.0)	(10, 4.44207721214168e-07)	(15, 8.88415442428336e-07)	(20, 1.643568568492422e-05)	(25, 1.5103062521281715e-05)	(30, 2.043355517585173e-05)	(35, 1.9989347454637562e-05)	(40, 0.0005370471349479292)	(45, 0.0011433906744052686)	(50, 0.0008191190379189259)	(55, 0.0009483834847922488)	(60, 0.0004775233003052307)	(65, 0.00030828015852263265)	(70, 0.0008271147769007809)	(75, 0.0023267600437198123)	(80, 0.002677684143479005)	(85, 0.0037237933269383705)	(90, 0.003241383741699784)	(95, 0.000983031687046954)	(100, 6.663115818212522e-06)	(105, 2.798508643649259e-05)	(110, 8.884154424283362e-06)	(115, 1.2437816193996705e-05)	(120, 2.6652463272850086e-05)	(125, 1.0216777587925866e-05)	(130, 6.263328869119769e-05)	(135, 4.886284933355848e-06)	(140, 4.44207721214168e-07)	(145, 8.88415442428336e-07)	(150, 0.0)
Control_siRNA_P5_2_gz	(1, 0.006409917417120445)	(2, 0.03160093728717592)	(3, 7.995738981855025e-05)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 1.776830884856672e-06)	(15, 3.686924086077595e-05)	(20, 8.528788247312027e-05)	(25, 1.9100932012209227e-05)	(30, 9.328362145497529e-06)	(35, 1.9545139733423393e-05)	(40, 6.2189080969983524e-06)	(45, 1.599147796371005e-05)	(50, 0.00012659920054603792)	(55, 0.00023187643047379574)	(60, 1.776830884856672e-06)	(65, 3.553661769713344e-06)	(70, 5.774700375784185e-06)	(75, 2.6208255551635914e-05)	(80, 2.6652463272850086e-05)	(85, 0.0004117805575655338)	(90, 0.0001154940075156837)	(95, 3.553661769713344e-06)	(100, 1.7324101127352554e-05)	(105, 3.9534487188060955e-05)	(110, 4.930705705477265e-05)	(115, 0.00013681597813396376)	(120, 0.0004091153112382488)	(125, 7.729214349126525e-05)	(130, 3.686924086077595e-05)	(135, 7.196165083669523e-05)	(140, 9.372782917618947e-05)	(145, 0.0001821251656978089)	(150, 0.00019545139733423395)
KRAS_siRNA_M1_1	(1, 0.06551610836524173)	(2, 0.010818525678698001)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 1.8104471543943593e-05)	(35, 1.4130319253809633e-05)	(40, 7.771675589595298e-05)	(45, 1.7662899067262043e-05)	(50, 0.0)	(55, 0.0)	(60, 8.434034304617625e-05)	(65, 1.1039311917038777e-05)	(70, 0.0003400108070447943)	(75, 0.0001333548879578284)	(80, 3.9741522901339596e-05)	(85, 0.0)	(90, 1.3247174300446532e-06)	(95, 1.3247174300446532e-06)	(100, 1.4571891730491186e-05)	(105, 0.0003488422565784253)	(110, 0.00012982230814437601)	(115, 3.488422565784253e-05)	(120, 8.83144953363102e-07)	(125, 8.83144953363102e-07)	(130, 4.41572476681551e-07)	(135, 9.714594486994123e-06)	(140, 0.00015101778702509048)	(145, 9.714594486994122e-05)	(150, 2.2078623834077554e-06)
KRAS_siRNA_M1_2	(1, 0.06551610836524173)	(2, 0.010818525678698001)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 1.8104471543943593e-05)	(35, 1.4130319253809633e-05)	(40, 7.771675589595298e-05)	(45, 1.7662899067262043e-05)	(50, 0.0)	(55, 0.0)	(60, 8.434034304617625e-05)	(65, 1.1039311917038777e-05)	(70, 0.0003400108070447943)	(75, 0.0001333548879578284)	(80, 3.9741522901339596e-05)	(85, 0.0)	(90, 1.3247174300446532e-06)	(95, 1.3247174300446532e-06)	(100, 1.4571891730491186e-05)	(105, 0.0003488422565784253)	(110, 0.00012982230814437601)	(115, 3.488422565784253e-05)	(120, 8.83144953363102e-07)	(125, 8.83144953363102e-07)	(130, 4.41572476681551e-07)	(135, 9.714594486994123e-06)	(140, 0.00015101778702509048)	(145, 9.714594486994122e-05)	(150, 2.2078623834077554e-06)
KRAS_siRNA_M2_1	(1, 0.00454668825427588)	(2, 0.00010219828743377352)	(3, 6.813219162251568e-05)	(4, 0.0)	(5, 4.542146108167712e-05)	(6, 2.2710730540838563e-06)	(7, 4.542146108167713e-06)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 4.542146108167712e-07)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 1.090115065960251e-05)	(90, 8.175862994701883e-06)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.00020394236025673027)	(125, 2.4527588984105646e-05)	(130, 2.5436018205739188e-05)	(135, 0.0)	(140, 0.0)	(145, 2.0439657486754706e-05)	(150, 0.0007131169389823308)
KRAS_siRNA_M2_2	(1, 0.06600192509778502)	(2, 0.010674043354194123)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 1.9985442875937935e-05)	(35, 1.5443296767770224e-05)	(40, 7.358276695231694e-05)	(45, 2.225651593002179e-05)	(50, 0.0)	(55, 0.0)	(60, 0.00010219828743377352)	(65, 1.5443296767770224e-05)	(70, 0.000299781643139069)	(75, 0.00014171495857483263)	(80, 4.678410491412743e-05)	(85, 0.0)	(90, 1.8168584432670848e-06)	(95, 1.8168584432670848e-06)	(100, 1.6351725989403766e-05)	(105, 0.00030069007236070255)	(110, 0.00013081380791523013)	(115, 3.270345197880753e-05)	(120, 9.084292216335424e-07)	(125, 0.0)	(130, 0.0)	(135, 6.359004551434797e-06)	(140, 0.00013535595402339783)	(145, 0.00010174407282295675)	(150, 4.542146108167713e-06)
