Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
Control_siRNA_P2_1_fastq_gz - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00010252703637949328)	(4, 0.00018254813794397584)	(5, 0.00028757583374735917)	(6, 0.0005601477109513778)	(7, 0.00094024794338267)	(8, 0.0014828910383668174)	(9, 0.0023956317280866965)	(10, 0.0032095963705629175)	(12, 0.0041836032161681035)	(14, 0.005218876217658597)	(16, 0.006396686806310824)	(18, 0.00735318903594878)	(20, 0.00851224467892183)	(22, 0.009731316148068245)	(24, 0.010719076620504827)	(26, 0.011804362810473121)	(28, 0.012957166804886448)	(30, 0.014248757397325675)	(32, 0.015596612826802428)	(34, 0.01702073836870783)	(36, 0.018546140617280778)	(38, 0.020244088366102142)	(40, 0.02201455523821632)	(42, 0.02377376914292299)	(44, 0.025669268986231668)	(46, 0.027632286633985384)	(48, 0.02952653614758212)	(50, 0.03146704786052082)	(52, 0.03337255034152506)	(54, 0.03541308843141937)	(56, 0.037761207630452154)	(58, 0.04002805539820851)	(60, 0.0424349400937027)	(62, 0.044800563908702726)	(64, 0.047475019162553166)	(66, 0.050040695731464385)	(68, 0.05289019714498713)	(70, 0.05675496628460926)	(72, 0.0602708934345987)	(74, 0.06431320939331703)	(76, 0.06799167940585932)	(78, 0.07144884105938737)	(80, 0.07553116756888792)	(82, 0.07925965076990803)	(84, 0.08292436715561893)	(86, 0.08667535629145406)	(88, 0.09085895950762216)	(90, 0.09563396867754027)	(92, 0.10023518201749801)	(94, 0.10517648503910482)	(96, 0.11065668016655993)	(98, 0.1163331770587904)	(100, 0.12189464361752195)	(102, 0.12774368601000086)	(104, 0.13357397345680055)	(106, 0.1394442714543825)	(108, 0.1456121479234074)	(110, 0.1520300903348213)	(112, 0.15865808813784193)	(114, 0.16509103450579918)	(116, 0.171715281319684)	(118, 0.1791384888195017)	(120, 0.18686052512047427)	(122, 0.1949839172589812)	(124, 0.20183072276159225)	(126, 0.20912139531194376)	(128, 0.21685718523974773)	(130, 0.2253544259621262)	(132, 0.23415174581537151)	(134, 0.24286154258878068)	(136, 0.25141754880762057)	(138, 0.2601623548129642)
Control_siRNA_P2_2_fastq_gz - illumina_universal_adapter	(1, 0.0001125296740750536)	(2, 0.0002375626452695576)	(3, 0.0006351674936680802)	(4, 0.0013378527917811927)	(5, 0.0015153996108773883)	(6, 0.0019330097346670317)	(7, 0.0020805486406765463)	(8, 0.0023356159019133345)	(9, 0.002608187779117353)	(10, 0.0033383803308932565)	(12, 0.0039347876034910405)	(14, 0.004608715318229417)	(16, 0.005333906551157541)	(18, 0.006257900208284924)	(20, 0.00737569497076379)	(22, 0.008691041827729971)	(24, 0.010280210891612119)	(26, 0.01218321271319247)	(28, 0.014390044654775464)	(30, 0.016711906929857405)	(32, 0.019093785031112705)	(34, 0.02153442862882942)	(36, 0.023871294860454702)	(38, 0.026310688128459474)	(40, 0.02883510381687651)	(42, 0.03137827445097272)	(44, 0.03377390617905941)	(46, 0.036275815932661444)	(48, 0.03883023953416516)	(50, 0.04128213609928938)	(52, 0.0438365597007931)	(54, 0.046348472092090684)	(56, 0.048991669103142496)	(58, 0.051613610509091246)	(60, 0.054533130386482914)	(62, 0.05742764366963568)	(64, 0.06051720838785188)	(66, 0.0637518113526537)	(68, 0.06733025498824041)	(70, 0.07140758017889318)	(72, 0.07642015199408084)	(74, 0.08194285833174209)	(76, 0.0881895055726195)	(78, 0.09537139943803181)	(80, 0.1038323805987639)	(82, 0.11392754269300814)	(84, 0.12642583849361078)	(86, 0.14090215589851043)	(88, 0.15785787712219712)	(90, 0.17758933030640178)	(92, 0.200447858100181)	(94, 0.2270861326131701)	(96, 0.2575104054939288)	(98, 0.2920482631269866)	(100, 0.33144490202066285)	(102, 0.3760904250450844)	(104, 0.4270038509154864)	(106, 0.4834349818047019)	(108, 0.5458251841010474)	(110, 0.6146795910081488)	(112, 0.6904833304542408)	(114, 0.7740653710383427)	(116, 0.8667198040123181)	(118, 0.9660534983075038)	(120, 1.0748821964352)	(122, 1.1948325773506474)	(124, 1.3251556935563908)	(126, 1.4672081527898908)	(128, 1.6202047479920454)	(130, 1.7855020869003155)	(132, 1.967765149669968)	(134, 2.163185431998418)	(136, 2.3747712271726056)	(138, 2.6018761147314544)
Control_siRNA_P2_2_fastq_gz - polya	(1, 0.003503423852870002)	(2, 0.011335489168493732)	(3, 0.014333779817737938)	(4, 0.017584637068795043)	(5, 0.02041538353663861)	(6, 0.022771004713943065)	(7, 0.025719282174709472)	(8, 0.03457661785412813)	(9, 0.04706991233588297)	(10, 0.057989041710299005)	(12, 0.06674009936420233)	(14, 0.08102261566375052)	(16, 0.09726189796249271)	(18, 0.11006402388309797)	(20, 0.12322249377160757)	(22, 0.13725994544761455)	(24, 0.14913932804080438)	(26, 0.1616851363704609)	(28, 0.1735695202824985)	(30, 0.18413980766728186)	(32, 0.1942987365768353)	(34, 0.2042813689970045)	(36, 0.21385014228251992)	(38, 0.22339265864408445)	(40, 0.23380540448516274)	(42, 0.2433866810677976)	(44, 0.25281166643643926)	(46, 0.26321190898039815)	(48, 0.27245059522196)	(50, 0.28168428014467417)	(52, 0.292152040493078)	(54, 0.30524424290685453)	(56, 0.3161558703029989)	(58, 0.3261547570094234)	(60, 0.3366175160389795)	(62, 0.3475741553047539)	(64, 0.35766181542072645)	(66, 0.36812832543941837)	(68, 0.3791099712994317)	(70, 0.390021598695576)	(72, 0.4003818306887526)	(74, 0.4104169769568235)	(76, 0.42196627250605984)	(78, 0.4331704770547994)	(80, 0.44276550726426556)	(82, 0.45351459179785714)	(84, 0.46714818697690585)	(86, 0.4818695690053467)	(88, 0.49439537205961215)	(90, 0.5072812700709177)	(92, 0.5191393970590044)	(94, 0.5320890618856193)	(96, 0.5431407262095015)	(98, 0.5529808210425089)	(100, 0.5634685866663038)	(102, 0.573907589431333)	(104, 0.58325880534697)	(106, 0.5928713401724035)	(108, 0.6039080005397424)	(110, 0.6130391584260769)	(112, 0.6221515613667324)	(114, 0.6330106749149751)	(116, 0.6438597858255222)	(118, 0.6549214527870999)	(120, 0.6664232358072824)	(122, 0.6769285060470447)	(124, 0.6869361450614526)	(126, 0.69837041027719)	(128, 0.7092357754739925)	(130, 0.7206587877223223)	(132, 0.7325194153698331)	(134, 0.7433185130919023)	(136, 0.7529985657217808)	(138, 0.7622422532821904)
Control_siRNA_P2_2_fastq_gz - polyg	(1, 0.02980786033276975)	(2, 0.030605570688990686)	(3, 0.03075811091384798)	(4, 0.030948161030063627)	(5, 0.031085697298377582)	(6, 0.03131075664652769)	(7, 0.031530814675830014)	(8, 0.03198093337213023)	(9, 0.03255608503962495)	(10, 0.033198754511564704)	(12, 0.0339927138786498)	(14, 0.034702901155034584)	(16, 0.0354530989822016)	(18, 0.03600574471488131)	(20, 0.03675719287176028)	(22, 0.03751364234748703)	(24, 0.03814880984115511)	(26, 0.03877647535655152)	(28, 0.0394641566981213)	(30, 0.04015308836940301)	(32, 0.04087577894290725)	(34, 0.041614723802666766)	(36, 0.042411183829175754)	(38, 0.04322639880136392)	(40, 0.04404661509239986)	(42, 0.04479931357899078)	(44, 0.045695799982455376)	(46, 0.04659853803447969)	(48, 0.04748127081111289)	(50, 0.048420268424783613)	(52, 0.04938802362182908)	(54, 0.050407042337064285)	(56, 0.05148482654876091)	(58, 0.05248759097774083)	(60, 0.053519112990095485)	(62, 0.05464065874171019)	(64, 0.05573719789908599)	(66, 0.05680998079193483)	(68, 0.05799904434799456)	(70, 0.05956945846619754)	(72, 0.06143870138555537)	(74, 0.06386059003759292)	(76, 0.0663249898998366)	(78, 0.06855307744652264)	(80, 0.07098997005510353)	(82, 0.07348312750072195)	(84, 0.07593502406584615)	(86, 0.07828814458372674)	(88, 0.08104887258770138)	(90, 0.08412218301966229)	(92, 0.08733052906051325)	(94, 0.09059263927897787)	(96, 0.09425985632411267)	(98, 0.09820214590587538)	(100, 0.10258830253537858)	(102, 0.10737956599155198)	(104, 0.11241964506040242)	(106, 0.1173546964334495)	(108, 0.12262983748814563)	(110, 0.1281400405286874)	(112, 0.1337890301672551)	(114, 0.13974810157438516)	(116, 0.14638860267452525)	(118, 0.15283655299902585)	(120, 0.15942203959184037)	(122, 0.1663376132286084)	(124, 0.17320942532545833)	(126, 0.18036631259663172)	(128, 0.18782077833924804)	(130, 0.19565534431429568)	(132, 0.20410257184819636)	(134, 0.2131287020387276)	(136, 0.22241615113905538)	(138, 0.2327001130198033)
Control_siRNA_P3_1_fastq_gz - illumina_universal_adapter	(1, 9.824229895340597e-05)	(2, 0.00022992878478456718)	(3, 0.0006751545225946836)	(4, 0.0015008078861392658)	(5, 0.0017265561475641135)	(6, 0.0021111642966582986)	(7, 0.002226128689050582)	(8, 0.002460237997194869)	(9, 0.002723610968857191)	(10, 0.0035523997249215632)	(12, 0.004231734770875966)	(14, 0.00497482279806609)	(16, 0.005659383498220143)	(18, 0.006492352777644234)	(20, 0.007493588122297031)	(22, 0.008656818747138955)	(24, 0.010062519726844604)	(26, 0.01162812572505952)	(28, 0.01324076261107128)	(30, 0.014902520646559742)	(32, 0.016686558990319997)	(34, 0.018603328950751345)	(36, 0.020756298481006838)	(38, 0.022816251366508573)	(40, 0.024921144878127292)	(42, 0.027108603726100473)	(44, 0.02928979178903407)	(46, 0.03160371146863876)	(48, 0.033908224970684075)	(50, 0.03619915177181031)	(52, 0.03861340401204827)	(54, 0.04109872514940145)	(56, 0.04359867811851366)	(58, 0.04612580448946403)	(60, 0.04872609001920951)	(62, 0.05132428528727512)	(64, 0.05413568724668641)	(66, 0.05696172103785673)	(68, 0.06003545083809042)	(70, 0.06338614031090552)	(72, 0.06707858756837769)	(74, 0.07119535794686137)	(76, 0.0756047649605254)	(78, 0.08056391079599255)	(80, 0.08617730853725578)	(82, 0.09265816487566078)	(84, 0.10038586230610211)	(86, 0.10894652901596752)	(88, 0.11842795599581112)	(90, 0.1294666279271502)	(92, 0.1423750389311238)	(94, 0.1571228802133739)	(96, 0.17331822770892688)	(98, 0.19126834988472208)	(100, 0.21094816360060115)	(102, 0.2326314931366258)	(104, 0.2568294074735216)	(106, 0.2826514551356685)	(108, 0.31021051025377866)	(110, 0.3405130338267047)	(112, 0.3732507122566674)	(114, 0.40840786858106765)	(116, 0.4459291108653892)	(118, 0.48586669565162866)	(120, 0.5280920718464746)	(122, 0.5741290402145445)	(124, 0.623195842887571)	(126, 0.6759153778461526)	(128, 0.7320378588195456)	(130, 0.7910793902288628)	(132, 0.8537642477461753)	(134, 0.920977657192904)	(136, 0.9925722551206186)	(138, 1.067955452343079)
Control_siRNA_P3_1_fastq_gz - polya	(1, 0.0022825657544067943)	(2, 0.007727697430441317)	(3, 0.009801237016862141)	(4, 0.012290738677575045)	(5, 0.01463392202069777)	(6, 0.016552782242808976)	(7, 0.018935680557849038)	(8, 0.02725701230537051)	(9, 0.03868656317084336)	(10, 0.04996038954116666)	(12, 0.05727630542067561)	(14, 0.07059127232138192)	(16, 0.0863110852847668)	(18, 0.09734453156190623)	(20, 0.10967603034223855)	(22, 0.1222270065989561)	(24, 0.13279745991400665)	(26, 0.14387271142474328)	(28, 0.15529285611265675)	(30, 0.16526026893306772)	(32, 0.17589656549103383)	(34, 0.1855243107884676)	(36, 0.19388535750790642)	(38, 0.20297172503025654)	(40, 0.21297153690670534)	(42, 0.2219178568965049)	(44, 0.23086731227882418)	(46, 0.24147225491159238)	(48, 0.2504227554247516)	(50, 0.25918513238672347)	(52, 0.2705592913176801)	(54, 0.28336527949934054)	(56, 0.2938740700948352)	(58, 0.3037327893078935)	(60, 0.3141767817913125)	(62, 0.32490609499403234)	(64, 0.33362039593736736)	(66, 0.34292833119778265)	(68, 0.3527055302053264)	(70, 0.36209289540957634)	(72, 0.37113536743664943)	(74, 0.38007228124888953)	(76, 0.39073575120869386)	(78, 0.40160093142060455)	(80, 0.4101678689155095)	(82, 0.41993043609129427)	(84, 0.43254307506756773)	(86, 0.44623010854728906)	(88, 0.457821654692951)	(90, 0.46970270208127357)	(92, 0.48010488933109535)	(94, 0.4917277894019552)	(96, 0.5019397628389097)	(98, 0.5117911661360885)	(100, 0.5221222844887952)	(102, 0.5322579633744349)	(104, 0.5413955423079415)	(106, 0.5515103185767827)	(108, 0.5613146909861646)	(110, 0.5700969254340951)	(112, 0.5790693736948929)	(114, 0.5885926059083337)	(116, 0.5982088547665282)	(118, 0.6089747475486456)	(120, 0.6187738943038279)	(122, 0.6279083378448147)	(124, 0.6379844442725785)	(126, 0.6493711447736141)	(128, 0.6601631658267298)	(130, 0.6721194626355274)	(132, 0.683149773520147)	(134, 0.6938675902836275)	(136, 0.7029361905816989)	(138, 0.7112167622264631)
Control_siRNA_P3_1_fastq_gz - polyg	(1, 0.0)	(2, 0.0)	(3, 9.406177559368657e-05)	(4, 0.00018603328950751345)	(5, 0.0002780048034213403)	(6, 0.00044731599948997613)	(7, 0.0007315915879508956)	(8, 0.0011935394191998896)	(9, 0.0017704516428411674)	(10, 0.0024414256420761315)	(12, 0.0032179578561440107)	(14, 0.004041520958008733)	(16, 0.00490270877011093)	(18, 0.0056154880029430886)	(20, 0.0064808563384050055)	(22, 0.00728769734683085)	(24, 0.008014063280582096)	(26, 0.008833445859087099)	(28, 0.00980437240938193)	(30, 0.01078470513723613)	(32, 0.01197510916391623)	(34, 0.013219859994272682)	(36, 0.01458480087122107)	(38, 0.015913162168771908)	(40, 0.01730527644755847)	(42, 0.018754872922541174)	(44, 0.020342426668394614)	(46, 0.02200418470388308)	(48, 0.023765230169164875)	(50, 0.025459387260691163)	(52, 0.027235064557731982)	(54, 0.029070314312648803)	(56, 0.03109368761875299)	(58, 0.033257108457407786)	(60, 0.03567763148268532)	(62, 0.03796542289129176)	(64, 0.04011316676734761)	(66, 0.042322573362959304)	(68, 0.04453407022025087)	(70, 0.04741549594593747)	(72, 0.050473548783572214)	(74, 0.054001910499175396)	(76, 0.05700352627145393)	(78, 0.0599016740905794)	(80, 0.06322309989987647)	(82, 0.06646091524197914)	(84, 0.06983773298579249)	(86, 0.07339431323407378)	(88, 0.07715991965034102)	(90, 0.08114918406635327)	(92, 0.08510918481884747)	(94, 0.08914025446845691)	(96, 0.09392172806113597)	(98, 0.09892267913020031)	(100, 0.10396020977866219)	(102, 0.10899565016544421)	(104, 0.11434672006588505)	(106, 0.12022871643301025)	(108, 0.1261713303888514)	(110, 0.13220173533524662)	(112, 0.1384714752439858)	(114, 0.14501294917110674)	(116, 0.15201010014443708)	(118, 0.15944202554717826)	(120, 0.16718958046357824)	(122, 0.17495699286593688)	(124, 0.18198863315698494)	(126, 0.18950312389608054)	(128, 0.19724754341996076)	(130, 0.2053473074294171)	(132, 0.21385885298980578)	(134, 0.22247491163418748)	(136, 0.23093211039089984)	(138, 0.2392983827645383)
Control_siRNA_P3_2_fastq_gz - illumina_universal_adapter	(1, 9.615203727354628e-05)	(2, 0.00022783852310470748)	(3, 0.0006730642609148239)	(4, 0.0014987176244594062)	(5, 0.0017286464092439733)	(6, 0.0021153448200180182)	(7, 0.002230309212410302)	(8, 0.002466508782234448)	(9, 0.0027340622772564897)	(10, 0.0035858439117993184)	(12, 0.004283991312872458)	(14, 0.005053207611060829)	(16, 0.005773302759772496)	(18, 0.006652257796153501)	(20, 0.007739193869680546)	(22, 0.009013208363555033)	(24, 0.010624800118726864)	(26, 0.012512306415640174)	(28, 0.014540905375944015)	(30, 0.01668864925199986)	(32, 0.01892522924944974)	(34, 0.0213677000223658)	(36, 0.024003520000668882)	(38, 0.026629933801412597)	(40, 0.02921767776107891)	(42, 0.03194024359909617)	(44, 0.034705659801550555)	(46, 0.03761634919075519)	(48, 0.040532264234159475)	(50, 0.04337188472624888)	(52, 0.04634110144248958)	(54, 0.04940019941096426)	(56, 0.05234746837956644)	(58, 0.05541806278728034)	(60, 0.05851478546599249)	(62, 0.061620914322264006)	(64, 0.06491934725308261)	(66, 0.06818433599702346)	(68, 0.07167089247902945)	(70, 0.07544485994201613)	(72, 0.07956372058217968)	(74, 0.08411422025923426)	(76, 0.08895004065558967)	(78, 0.0942728920233524)	(80, 0.1002280475492727)	(82, 0.10708619612089237)	(84, 0.11512325227995293)	(86, 0.12406539174639274)	(88, 0.13399308959488637)	(90, 0.14538919627348146)	(92, 0.15866862872563015)	(94, 0.17385228956813104)	(96, 0.19044165139033756)	(98, 0.20885372139738173)	(100, 0.22884602923439984)	(102, 0.2508272210598045)	(104, 0.27544841338687187)	(106, 0.3015672782075588)	(108, 0.3295663334092795)	(110, 0.3602889995798574)	(112, 0.39343218877571284)	(114, 0.42910982025839817)	(116, 0.4671661695327638)	(118, 0.5076534931408063)	(120, 0.550238394344588)	(122, 0.5968167404877416)	(124, 0.6463883413564544)	(126, 0.6996262612116411)	(128, 0.7562357731564414)	(130, 0.815821817733362)	(132, 0.8790470078949184)	(134, 0.946752673967254)	(136, 1.018875062969133)	(138, 1.094742155770481)
Control_siRNA_P3_2_fastq_gz - polya	(1, 0.0028281240528501765)	(2, 0.008990215485076577)	(3, 0.011368933276756917)	(4, 0.014261855441682745)	(5, 0.016985466410539937)	(6, 0.019155158034234305)	(7, 0.021908032666609532)	(8, 0.03110936458135194)	(9, 0.04335829802532979)	(10, 0.05526129316129086)	(12, 0.06373730427312195)	(14, 0.07827298399486632)	(16, 0.09451745263989599)	(18, 0.10641208672913763)	(20, 0.11973959519992308)	(22, 0.13345171181980273)	(24, 0.14490843608711373)	(26, 0.15680934096139496)	(28, 0.1684552339107333)	(30, 0.17902150670242406)	(32, 0.19007167507300238)	(34, 0.20042892169670723)	(36, 0.2099124389382307)	(38, 0.2192684502172827)	(40, 0.22958807213075005)	(42, 0.23902351335363675)	(44, 0.2483000946888541)	(46, 0.2589677451720181)	(48, 0.2681596709092011)	(50, 0.27729829497354774)	(52, 0.2882878457554101)	(54, 0.3007384894514944)	(56, 0.3114709380467341)	(58, 0.3216170682407731)	(60, 0.3324258113873276)	(62, 0.3430621079452937)	(64, 0.3521693780844424)	(66, 0.361502396485016)	(68, 0.37174363358548856)	(70, 0.3818667709010491)	(72, 0.39142135703968783)	(74, 0.4010647792997205)	(76, 0.4119613134368292)	(78, 0.42276901145254375)	(80, 0.4313526710408876)	(82, 0.44174649724398996)	(84, 0.4542473072203909)	(86, 0.4682698276997297)	(88, 0.48017804848989043)	(90, 0.4918626112803062)	(92, 0.5026577677259416)	(94, 0.5144248958527118)	(96, 0.5245354915981932)	(98, 0.5343147808674168)	(100, 0.5445330250894109)	(102, 0.5549247610308334)	(104, 0.5644417224592346)	(106, 0.5746003942233529)	(108, 0.5847841491276293)	(110, 0.593846478640661)	(112, 0.603054081340443)	(114, 0.6124957933483692)	(116, 0.6222479092157547)	(118, 0.6330953222033866)	(120, 0.6432832576310228)	(122, 0.6524312878729288)	(124, 0.6622482018523899)	(126, 0.6734091540920009)	(128, 0.6840161869864488)	(130, 0.6956965692535049)	(132, 0.7066286378391711)	(134, 0.7169796136778364)	(136, 0.7257785702192057)	(138, 0.7338856501445417)
Control_siRNA_P3_2_fastq_gz - polyg	(1, 0.026634114324772317)	(2, 0.02725074152033093)	(3, 0.027336442249205176)	(4, 0.027476489781755778)	(5, 0.0275998152208675)	(6, 0.02774404327677782)	(7, 0.02795724996812351)	(8, 0.028308413930339938)	(9, 0.028759910453189635)	(10, 0.029240670639557365)	(12, 0.029814447470678854)	(14, 0.030346419068203147)	(16, 0.03090869946008541)	(18, 0.0313601959829351)	(20, 0.03190470915053856)	(22, 0.03243459048638299)	(24, 0.03292580198115002)	(26, 0.033451502793634735)	(28, 0.03405349815743433)	(30, 0.03462727498855582)	(32, 0.035328557782148745)	(34, 0.0360235697907021)	(36, 0.03681786922904878)	(38, 0.037543190031960105)	(40, 0.038259104657312054)	(42, 0.03889558933882933)	(44, 0.03955506689882506)	(46, 0.04032323806617351)	(48, 0.04113844012131879)	(50, 0.04198708636334182)	(52, 0.042868131661402686)	(54, 0.04380979454817949)	(56, 0.04477549544427467)	(58, 0.0457150680693716)	(60, 0.04672466446074384)	(62, 0.047675733525080005)	(64, 0.048706232533250834)	(66, 0.04972000944798279)	(68, 0.050915639128862544)	(70, 0.052202195192816186)	(72, 0.05369986768643567)	(74, 0.05574309847849852)	(76, 0.058067469466502514)	(78, 0.060056353454889015)	(80, 0.062260534396301075)	(82, 0.06471032108509664)	(84, 0.06705873008241903)	(86, 0.06946044075257782)	(88, 0.07194053623573135)	(90, 0.07471744887742496)	(92, 0.07763127365914939)	(94, 0.0805795877585915)	(96, 0.08406614424059747)	(98, 0.08772932783455162)	(100, 0.09159631194229206)	(102, 0.09582909184400795)	(104, 0.10039108796030174)	(106, 0.10509731213250587)	(108, 0.11025503282755969)	(110, 0.1153887155132951)	(112, 0.12096344341348093)	(114, 0.12667821884621736)	(116, 0.13305456210062938)	(118, 0.13970681989678288)	(120, 0.14650957653388627)	(122, 0.15318169181599844)	(124, 0.15993114678026543)	(126, 0.16678406969768544)	(128, 0.1741073014930739)	(130, 0.18175243358716078)	(132, 0.18949894337272083)	(134, 0.1976551444475334)	(136, 0.20601096551277254)	(138, 0.21478379378314372)
Control_siRNA_P4_1_fastq_gz - illumina_universal_adapter	(1, 7.561506100785155e-05)	(2, 0.0002246847527090446)	(3, 0.0006459686640385032)	(4, 0.0014518091713507496)	(5, 0.001670012633116264)	(6, 0.001998398040921791)	(7, 0.0021258634294778833)	(8, 0.0023678316247030084)	(9, 0.002698377462823045)	(10, 0.0035549880825262777)	(12, 0.004214999543609096)	(14, 0.004858807777333089)	(16, 0.005509097302000613)	(18, 0.006327900391199919)	(20, 0.007263366717382768)	(22, 0.008272287674258959)	(24, 0.00953289876277557)	(26, 0.010925296100477292)	(28, 0.01244947968736413)	(30, 0.014028754247270972)	(32, 0.015629633110322914)	(34, 0.017321250046584278)	(36, 0.01893509149152328)	(38, 0.020663435743131318)	(40, 0.022325886870146798)	(42, 0.024020744451879926)	(44, 0.025592457505685985)	(46, 0.02732188197245127)	(48, 0.029116119348651867)	(50, 0.030969768558501483)	(52, 0.032694872164637755)	(54, 0.03461873535970894)	(56, 0.03651775360616327)	(58, 0.03845133873764976)	(60, 0.04049834646064804)	(62, 0.04275059506352476)	(64, 0.045133549700429335)	(66, 0.04769041897765197)	(68, 0.05046441150148287)	(70, 0.053666169227586755)	(72, 0.057384269798858537)	(74, 0.061588467190895085)	(76, 0.06638246205879286)	(78, 0.07182566623620093)	(80, 0.07825294642186831)	(82, 0.08582741510454053)	(84, 0.09467869810308818)	(86, 0.10489105219977715)	(88, 0.1164299105095753)	(90, 0.1295620861763246)	(92, 0.14498971905224084)	(94, 0.16208844477643058)	(96, 0.18134760081513035)	(98, 0.2027499037258241)	(100, 0.22662589934663185)	(102, 0.25331261480661715)	(104, 0.2826382958957765)	(106, 0.31408984041441373)	(108, 0.3485735488794658)	(110, 0.38602352816634017)	(112, 0.4256263762616238)	(114, 0.46825274658206417)	(116, 0.5144924366035226)	(118, 0.5635774133491909)	(120, 0.6147839326637079)	(122, 0.6698684243927706)	(124, 0.7283869201067468)	(126, 0.7901104141922988)	(128, 0.8565339244270673)	(130, 0.9271497496871427)	(132, 1.0020529489063632)	(134, 1.0814757683435388)	(136, 1.1662780592638442)	(138, 1.2543728459834629)
Control_siRNA_P4_1_fastq_gz - polya	(1, 0.0028150406998065877)	(2, 0.009421636601578302)	(3, 0.011700890583386398)	(4, 0.014965300788611075)	(5, 0.01768960341520824)	(6, 0.019739851783678274)	(7, 0.022245950948509924)	(8, 0.031064827492339925)	(9, 0.04315891639296715)	(10, 0.05577582942970581)	(12, 0.06440134746038716)	(14, 0.07933748243975236)	(16, 0.09718695769823434)	(18, 0.11025324024039108)	(20, 0.12505542854025664)	(22, 0.1398457344733924)	(24, 0.1519095773496165)	(26, 0.16431800886100492)	(28, 0.1761906536543949)	(30, 0.1869355538236106)	(32, 0.19787813336660395)	(34, 0.2085020494382071)	(36, 0.21860962266464234)	(38, 0.2289235169861133)	(40, 0.2408166858674911)	(42, 0.2510571255582687)	(44, 0.2612683994398004)	(46, 0.27325230639438763)	(48, 0.2831751628289323)	(50, 0.2929143826867435)	(52, 0.3042620429137075)	(54, 0.31805423004153965)	(56, 0.32970219008222057)	(58, 0.34025481195344487)	(60, 0.35133025796078066)	(62, 0.36222098717622575)	(64, 0.37254892429474107)	(66, 0.38289954593155867)	(68, 0.3932901355291947)	(70, 0.40369800856934684)	(72, 0.41368351748301224)	(74, 0.423462705301642)	(76, 0.4346515739004895)	(78, 0.44546884848524126)	(80, 0.4550492767149361)	(82, 0.465951888297111)	(84, 0.4800735410479059)	(86, 0.4946143172797157)	(88, 0.5062590366749249)	(90, 0.5182472644901412)	(92, 0.5291250311236992)	(94, 0.5411316225965888)	(96, 0.552107688809457)	(98, 0.5624075403338837)	(100, 0.573586686996316)	(102, 0.5848176839862964)	(104, 0.5943138554337253)	(106, 0.6042043054135522)	(108, 0.614907077191635)	(110, 0.6240770236615729)	(112, 0.6327003812619397)	(114, 0.6420388412964094)	(116, 0.6515911839320155)	(118, 0.6617430459798983)	(120, 0.6718398170547609)	(122, 0.6812582130108675)	(124, 0.69237038633355)	(126, 0.7047248070870756)	(128, 0.7157538038426494)	(130, 0.7278403312371757)	(132, 0.738951424344701)	(134, 0.7497200892473763)	(136, 0.7593221217802162)	(138, 0.7682555011307153)
Control_siRNA_P4_1_fastq_gz - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00010586108541099216)	(4, 0.00017283442516080353)	(5, 0.0002311660436525747)	(6, 0.00035647100189415727)	(7, 0.00049041768139378)	(8, 0.0008252843801428368)	(9, 0.0012076805458111147)	(10, 0.0016235633813542981)	(12, 0.002292216563695157)	(14, 0.0028776931789273787)	(16, 0.0035981966888164784)	(18, 0.004198796316250271)	(20, 0.00489337466236525)	(22, 0.005590113438794739)	(24, 0.006238242533147752)	(26, 0.007017077661528624)	(28, 0.007899613445005976)	(30, 0.008943101286914328)	(32, 0.010206953020902703)	(34, 0.0114967299186652)	(36, 0.013209951158071664)	(38, 0.014807589375651842)	(40, 0.015937494430140593)	(42, 0.01704363475116974)	(44, 0.018202705614904377)	(46, 0.019570258003989236)	(48, 0.02075849467696976)	(50, 0.021968335653095382)	(52, 0.023292679435890043)	(54, 0.02482442452887766)	(56, 0.026339966394506458)	(58, 0.0280056581669937)	(60, 0.029796654897722527)	(62, 0.031615737222539984)	(64, 0.03346614578691784)	(66, 0.035508832649287086)	(68, 0.03767682446989791)	(70, 0.0405015871061198)	(72, 0.0432755796299507)	(74, 0.04668473866624755)	(76, 0.04955919119970316)	(78, 0.05286140893543176)	(80, 0.056362386260095286)	(82, 0.059416154509655233)	(84, 0.06264383739953323)	(86, 0.06639866528615171)	(88, 0.07042246674692665)	(90, 0.07456833252047143)	(92, 0.07840741718935577)	(94, 0.08214172098798639)	(96, 0.08612123362731389)	(98, 0.0902638587553869)	(100, 0.09450370324761286)	(102, 0.09874354773983882)	(104, 0.10322860107276167)	(106, 0.10795022152512337)	(108, 0.11283927532685961)	(110, 0.11767647880104759)	(112, 0.12274484831888816)	(114, 0.12773976320603536)	(116, 0.1328859082151983)	(118, 0.1383809627201546)	(120, 0.14432862737600077)	(122, 0.15053230302411635)	(124, 0.15603707946548795)	(126, 0.16204739660045486)	(128, 0.16790756382856337)	(130, 0.174598416512601)	(132, 0.18154311975859352)	(134, 0.188750315287799)	(136, 0.19583868714970648)	(138, 0.20310637472771825)
