Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
Control_siRNA_P3_1_fastq_gz	(30.0, 47840900.0)																																		
Control_siRNA_P3_2_fastq_gz	(30.0, 47840900.0)																																		
Control_siRNA_P4_1_fastq_gz	(30.0, 46287075.0)																																		
Control_siRNA_P4_2_fastq_gz	(30.0, 46287075.0)																																		
Control_siRNA_P5_1_gz	(13.0, 7.0)	(14.0, 89.0)	(15.0, 588.0)	(16.0, 1803.0)	(17.0, 3409.0)	(18.0, 5539.0)	(19.0, 8050.0)	(20.0, 11688.0)	(21.0, 15890.0)	(22.0, 21418.0)	(23.0, 29486.0)	(24.0, 40996.0)	(25.0, 56915.0)	(26.0, 81932.0)	(27.0, 119258.0)	(28.0, 170931.0)	(29.0, 238952.0)	(30.0, 315959.0)	(31.0, 412011.0)	(32.0, 537408.0)	(33.0, 740836.0)	(34.0, 1201568.0)	(35.0, 2974633.0)	(36.0, 31375759.0)	(37.0, 6658856.0)										
Control_siRNA_P5_2_gz	(11.0, 22.0)	(12.0, 634.0)	(13.0, 1623.0)	(14.0, 1943.0)	(15.0, 2119.0)	(16.0, 2685.0)	(17.0, 3777.0)	(18.0, 5416.0)	(19.0, 7914.0)	(20.0, 12051.0)	(21.0, 19226.0)	(22.0, 30367.0)	(23.0, 45334.0)	(24.0, 63349.0)	(25.0, 85135.0)	(26.0, 109188.0)	(27.0, 137662.0)	(28.0, 173201.0)	(29.0, 220708.0)	(30.0, 280766.0)	(31.0, 370204.0)	(32.0, 515471.0)	(33.0, 786093.0)	(34.0, 1472626.0)	(35.0, 4494235.0)	(36.0, 32224734.0)	(37.0, 3957498.0)								
KRAS_siRNA_M1_1	(11.0, 21.0)	(12.0, 523.0)	(13.0, 1596.0)	(14.0, 2415.0)	(15.0, 3348.0)	(16.0, 4540.0)	(17.0, 6256.0)	(18.0, 8476.0)	(19.0, 11283.0)	(20.0, 15453.0)	(21.0, 22118.0)	(22.0, 31372.0)	(23.0, 43270.0)	(24.0, 57100.0)	(25.0, 73514.0)	(26.0, 91096.0)	(27.0, 113510.0)	(28.0, 141834.0)	(29.0, 181319.0)	(30.0, 232567.0)	(31.0, 304427.0)	(32.0, 415657.0)	(33.0, 590396.0)	(34.0, 1004292.0)	(35.0, 2811998.0)	(36.0, 32090119.0)	(37.0, 7034178.0)								
KRAS_siRNA_M1_2	(11.0, 21.0)	(12.0, 523.0)	(13.0, 1596.0)	(14.0, 2415.0)	(15.0, 3348.0)	(16.0, 4540.0)	(17.0, 6256.0)	(18.0, 8476.0)	(19.0, 11283.0)	(20.0, 15453.0)	(21.0, 22118.0)	(22.0, 31372.0)	(23.0, 43270.0)	(24.0, 57100.0)	(25.0, 73514.0)	(26.0, 91096.0)	(27.0, 113510.0)	(28.0, 141834.0)	(29.0, 181319.0)	(30.0, 232567.0)	(31.0, 304427.0)	(32.0, 415657.0)	(33.0, 590396.0)	(34.0, 1004292.0)	(35.0, 2811998.0)	(36.0, 32090119.0)	(37.0, 7034178.0)								
KRAS_siRNA_M2_1	(13.0, 25.0)	(14.0, 277.0)	(15.0, 1333.0)	(16.0, 3324.0)	(17.0, 5634.0)	(18.0, 8235.0)	(19.0, 11575.0)	(20.0, 15046.0)	(21.0, 20122.0)	(22.0, 27662.0)	(23.0, 37002.0)	(24.0, 48502.0)	(25.0, 65196.0)	(26.0, 88727.0)	(27.0, 123311.0)	(28.0, 172966.0)	(29.0, 235499.0)	(30.0, 309040.0)	(31.0, 400681.0)	(32.0, 520503.0)	(33.0, 708870.0)	(34.0, 1099733.0)	(35.0, 2479253.0)	(36.0, 29353169.0)	(37.0, 8296364.0)										
KRAS_siRNA_M2_2	(11.0, 23.0)	(12.0, 642.0)	(13.0, 1886.0)	(14.0, 2533.0)	(15.0, 3086.0)	(16.0, 4258.0)	(17.0, 5857.0)	(18.0, 8063.0)	(19.0, 11159.0)	(20.0, 15344.0)	(21.0, 22597.0)	(22.0, 32175.0)	(23.0, 44694.0)	(24.0, 59580.0)	(25.0, 76391.0)	(26.0, 96733.0)	(27.0, 121711.0)	(28.0, 153896.0)	(29.0, 194656.0)	(30.0, 248251.0)	(31.0, 319779.0)	(32.0, 435960.0)	(33.0, 617962.0)	(34.0, 1037545.0)	(35.0, 2920479.0)	(36.0, 31309774.0)	(37.0, 6287015.0)								
