##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	KRAS_siRNA_M1_2.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	45292678
Total Bases	6.7 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	52
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.61882333387308	37.0	37.0	37.0	37.0	37.0
2	36.548209536208034	37.0	37.0	37.0	37.0	37.0
3	36.60711883717717	37.0	37.0	37.0	37.0	37.0
4	36.59900547280512	37.0	37.0	37.0	37.0	37.0
5	36.6176253035866	37.0	37.0	37.0	37.0	37.0
6	36.58168417420582	37.0	37.0	37.0	37.0	37.0
7	36.57718097393137	37.0	37.0	37.0	37.0	37.0
8	36.636152934034946	37.0	37.0	37.0	37.0	37.0
9	36.6272867327474	37.0	37.0	37.0	37.0	37.0
10-14	36.62583440087159	37.0	37.0	37.0	37.0	37.0
15-19	36.59795992632628	37.0	37.0	37.0	37.0	37.0
20-24	36.577570025777675	37.0	37.0	37.0	37.0	37.0
25-29	36.54515802311358	37.0	37.0	37.0	37.0	37.0
30-34	36.51843195935554	37.0	37.0	37.0	37.0	37.0
35-39	36.49051286391147	37.0	37.0	37.0	37.0	37.0
40-44	36.46919695938492	37.0	37.0	37.0	37.0	37.0
45-49	36.44695169492959	37.0	37.0	37.0	37.0	37.0
50-54	36.4299112982456	37.0	37.0	37.0	37.0	37.0
55-59	36.40965569755006	37.0	37.0	37.0	37.0	37.0
60-64	36.37127723381691	37.0	37.0	37.0	37.0	37.0
65-69	36.34757461239099	37.0	37.0	37.0	37.0	37.0
70-74	36.31473859858762	37.0	37.0	37.0	37.0	37.0
75-79	36.29774936249078	37.0	37.0	37.0	37.0	37.0
80-84	36.28073033791467	37.0	37.0	37.0	37.0	37.0
85-89	36.27247431030683	37.0	37.0	37.0	37.0	37.0
90-94	36.22595469846142	37.0	37.0	37.0	37.0	37.0
95-99	36.193416944787415	37.0	37.0	37.0	37.0	37.0
100-104	36.16952402328694	37.0	37.0	37.0	37.0	37.0
105-109	36.12644563874099	37.0	37.0	37.0	37.0	37.0
110-114	36.12524066693517	37.0	37.0	37.0	37.0	37.0
115-119	36.0707628769489	37.0	37.0	37.0	37.0	37.0
120-124	36.062471095217646	37.0	37.0	37.0	37.0	37.0
125-129	36.025163131224	37.0	37.0	37.0	37.0	37.0
130-134	35.99143120219122	37.0	37.0	37.0	37.0	37.0
135-139	35.94060878449271	37.0	37.0	37.0	37.0	37.0
140-144	35.86292622396935	37.0	37.0	37.0	37.0	37.0
145-149	35.82463983251333	37.0	37.0	37.0	37.0	37.0
150	35.767123617640806	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.1037362182306154
1101	2	-0.0822723835782071
1101	3	-0.06905406283767945
1101	4	-0.021579951577905376
1101	5	-0.059624963396423425
1101	6	-0.04553073727220891
1101	7	-0.03232573206069134
1101	8	-0.051698364616839854
1101	9	-0.04236781955047775
1101	10-14	-0.029307034807303012
1101	15-19	-0.06457832499809513
1101	20-24	-0.06866080463964863
1101	25-29	-0.08970125188015743
1101	30-34	-0.04399138758557797
1101	35-39	-0.07307270378620956
1101	40-44	-0.0540011756098977
1101	45-49	-0.09302150120088015
1101	50-54	-0.06989330972387364
1101	55-59	-0.10262932713168738
1101	60-64	-0.07467904761944766
1101	65-69	-0.06284990565802673
1101	70-74	-0.0544054056315062
1101	75-79	-0.08393927614882557
1101	80-84	-0.08186990314522546
1101	85-89	-0.09178758357725769
1101	90-94	-0.055294529110383905
1101	95-99	-0.05251977578382849
1101	100-104	-0.07525180203389681
1101	105-109	-0.08595957028755663
1101	110-114	-0.039214133235809356
1101	115-119	-0.06444097841634999
1101	120-124	-0.054825458890015
1101	125-129	-0.03337277733216837
1101	130-134	-0.0386990465004331
1101	135-139	-0.11841322383921238
1101	140-144	-0.046621321741803
1101	145-149	-0.042145417882899494
1101	150	-0.05940494047185041
1102	1	-0.11898007684431633
1102	2	-0.14493296968906577
1102	3	-0.09261816369944853
1102	4	-0.09517527640118573
1102	5	-0.09589610680141902
1102	6	-0.10816279013441488
1102	7	-0.11592887768628657
1102	8	-0.10422581551310373
1102	9	-0.023106108123279512
1102	10-14	-0.09343476833600306
1102	15-19	-0.10661182085075183
1102	20-24	-0.08903802067160882
1102	25-29	-0.06181459179978077
1102	30-34	-0.05560169615704069
1102	35-39	-0.08196904057789567
1102	40-44	-0.09562052668619714
1102	45-49	-0.1160536495551483
1102	50-54	-0.1379319219299262
1102	55-59	-0.1210875721464788
1102	60-64	-0.09628984324088208
1102	65-69	-0.1190191737712496
1102	70-74	-0.12336603871905538
1102	75-79	-0.06304583626792493
1102	80-84	-0.13328449053081926
1102	85-89	-0.10192781280201757
1102	90-94	-0.10948300416772128
1102	95-99	-0.08330396761341774
1102	100-104	-0.07213777917333175
1102	105-109	-0.11700879119280216
1102	110-114	-0.07323269063582671
1102	115-119	-0.04912198421296665
1102	120-124	-0.08000365340017623
1102	125-129	-0.026568387499722235
1102	130-134	-0.0880947257549991
1102	135-139	-0.08430953438698907
1102	140-144	-0.08288387766079808
1102	145-149	-0.049195476628085544
1102	150	-0.137447089562734
1103	1	-0.06463266689102198
1103	2	-0.07941264269415882
1103	3	-0.037340154425159255
1103	4	-0.03319414062177373
1103	5	-0.04671547104051399
1103	6	-0.01416308910102515
1103	7	-0.08635873865564037
1103	8	-0.05808809477300514
1103	9	-0.014733600102253774
1103	10-14	-0.053705229087391615
1103	15-19	-0.09538704196932457
1103	20-24	-0.07109953997542107
