column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	45946458	2	37	1680754143	36.58	37	37	37	0	37	37	6932791	17759856	13667370	7555842	30599	45946458
2	45946458	2	37	1676984013	36.50	37	37	37	0	37	37	11928835	8065447	12098151	13849044	4981	45946458
3	45946458	11	37	1680001042	36.56	37	37	37	0	37	37	12479548	10856399	12698230	9912281	0	45946458
4	45946458	11	37	1679663586	36.56	37	37	37	0	37	37	15057667	10484618	12892966	7511207	0	45946458
5	45946458	11	37	1680587626	36.58	37	37	37	0	37	37	14444063	9587878	12912561	9001956	0	45946458
6	45946458	11	37	1678697236	36.54	37	37	37	0	37	37	14461347	11260038	10406808	9818265	0	45946458
7	45946458	11	37	1678446600	36.53	37	37	37	0	37	37	6503596	12034260	9560988	17847614	0	45946458
8	45946458	11	37	1681562668	36.60	37	37	37	0	37	37	8535787	15037717	10568160	11804794	0	45946458
9	45946458	11	37	1680554138	36.58	37	37	37	0	37	37	9131407	13285688	10731758	12797605	0	45946458
10	45946458	11	37	1681027714	36.59	37	37	37	0	37	37	15371346	9463825	11812730	9298557	0	45946458
11	45946458	11	37	1682837138	36.63	37	37	37	0	37	37	9905613	13937618	13881972	8221255	0	45946458
12	45946458	11	37	1680658368	36.58	37	37	37	0	37	37	9259628	13043905	11578016	12064909	0	45946458
13	45946458	11	37	1679440970	36.55	37	37	37	0	37	37	10951029	11177192	10929429	12888808	0	45946458
14	45946458	11	37	1679449656	36.55	37	37	37	0	37	37	10779724	11500417	11550085	12116232	0	45946458
15	45946458	11	37	1679383894	36.55	37	37	37	0	37	37	10844709	11665098	11851475	11585176	0	45946458
16	45946458	11	37	1679639472	36.56	37	37	37	0	37	37	10875883	11724192	11850702	11495681	0	45946458
17	45946458	11	37	1679509170	36.55	37	37	37	0	37	37	11046618	11584759	11951768	11363313	0	45946458
18	45946458	11	37	1679608904	36.56	37	37	37	0	37	37	11071304	11697036	11763632	11414486	0	45946458
19	45946458	11	37	1679647128	36.56	37	37	37	0	37	37	11019985	11644753	11980561	11301159	0	45946458
20	45946458	11	37	1679383236	36.55	37	37	37	0	37	37	11211103	11550562	11992123	11192670	0	45946458
