##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	KRAS_siRNA_M3_1.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	42961283
Total Bases	6.4 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.46892882598502	37.0	37.0	37.0	37.0	37.0
2	36.48474888424538	37.0	37.0	37.0	37.0	37.0
3	36.57753095967828	37.0	37.0	37.0	37.0	37.0
4	36.596988781736336	37.0	37.0	37.0	37.0	37.0
5	36.61129014699119	37.0	37.0	37.0	37.0	37.0
6	36.592841908375966	37.0	37.0	37.0	37.0	37.0
7	36.57547792508897	37.0	37.0	37.0	37.0	37.0
8	36.63665172662557	37.0	37.0	37.0	37.0	37.0
9	36.62179607159311	37.0	37.0	37.0	37.0	37.0
10-14	36.622064443466456	37.0	37.0	37.0	37.0	37.0
15-19	36.60397113838523	37.0	37.0	37.0	37.0	37.0
20-24	36.57895408291228	37.0	37.0	37.0	37.0	37.0
25-29	36.53749692251974	37.0	37.0	37.0	37.0	37.0
30-34	36.49681336099763	37.0	37.0	37.0	37.0	37.0
35-39	36.46986663317294	37.0	37.0	37.0	37.0	37.0
40-44	36.443104667055685	37.0	37.0	37.0	37.0	37.0
45-49	36.417355417434806	37.0	37.0	37.0	37.0	37.0
50-54	36.394776771447916	37.0	37.0	37.0	37.0	37.0
55-59	36.367608811869054	37.0	37.0	37.0	37.0	37.0
60-64	36.345942047401145	37.0	37.0	37.0	37.0	37.0
65-69	36.30580725906161	37.0	37.0	37.0	37.0	37.0
70-74	36.288617818979006	37.0	37.0	37.0	37.0	37.0
75-79	36.25874233318404	37.0	37.0	37.0	37.0	37.0
80-84	36.23190275299739	37.0	37.0	37.0	37.0	37.0
85-89	36.201810048363775	37.0	37.0	37.0	37.0	37.0
90-94	36.190316513592016	37.0	37.0	37.0	37.0	37.0
95-99	36.164450251637035	37.0	37.0	37.0	37.0	37.0
100-104	36.13967827264376	37.0	37.0	37.0	37.0	37.0
105-109	36.12320855966988	37.0	37.0	37.0	37.0	37.0
110-114	36.08510912022809	37.0	37.0	37.0	37.0	37.0
115-119	36.04291338785203	37.0	37.0	37.0	37.0	37.0
120-124	36.007695705922	37.0	37.0	37.0	37.0	37.0
125-129	35.99141102466609	37.0	37.0	37.0	37.0	37.0
130-134	35.94508807849151	37.0	37.0	37.0	37.0	37.0
135-139	35.91544136612494	37.0	37.0	37.0	37.0	37.0
140-144	35.879998327796685	37.0	37.0	37.0	37.0	37.0
145-149	35.82969302383265	37.0	37.0	37.0	37.0	37.0
150	35.77770177394376	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.01642182650619617
1101	2	-0.028146296316286623
1101	3	-0.10501065575004276
1101	4	-0.11491380418300423
1101	5	-0.06478547428212522
1101	6	-0.08045705181175578
1101	7	-0.04012367144407136
1101	8	-0.054197544577050394
1101	9	-0.07279426930355015
1101	10-14	-0.0835159617186676
1101	15-19	-0.07157473840284467
1101	20-24	-0.06778027800925912
1101	25-29	-0.10673485342950073
1101	30-34	-0.08385634496104899
1101	35-39	-0.07891659911176419
1101	40-44	-0.10334404961217558
1101	45-49	-0.11153602515209826
1101	50-54	-0.12898083571315055
1101	55-59	-0.13755602779583853
1101	60-64	-0.13556225819984746
1101	65-69	-0.16250059482695178
1101	70-74	-0.13782183039686657
1101	75-79	-0.15846819858118266
1101	80-84	-0.1517825551015477
1101	85-89	-0.21891035078338206
1101	90-94	-0.199102406584295
1101	95-99	-0.21513608034884157
1101	100-104	-0.17968889648061293
1101	105-109	-0.20896555465686362
1101	110-114	-0.2075942973729923
1101	115-119	-0.25613406615244827
1101	120-124	-0.23036359782983595
1101	125-129	-0.22719042177460835
1101	130-134	-0.29976624145005815
1101	135-139	-0.2030208510469933
1101	140-144	-0.2533923760838377
1101	145-149	-0.2891411826992609
1101	150	-0.3215824420570357
1102	1	0.011224877559833146
1102	2	-0.10587417212318684
1102	3	-0.07186416194452505
1102	4	-0.01144430932085072
1102	5	-0.045183286659138844
1102	6	0.00954170546121702
1102	7	-0.10546996357637539
1102	8	-0.1385926826563022
1102	9	-0.033305675822852265
1102	10-14	-0.08939237113943221
1102	15-19	-0.09507838602897323
1102	20-24	-0.09880388495354708
1102	25-29	-0.12842048667937433
1102	30-34	-0.08667311809222866
1102	35-39	-0.10368711696902722
1102	40-44	-0.0949636955387021
1102	45-49	-0.14497068343286656
1102	50-54	-0.15869030222334857
1102	55-59	-0.14820154086320514
1102	60-64	-0.14995067031015452
1102	65-69	-0.25094429622272685
1102	70-74	-0.22578562321670148
1102	75-79	-0.215412936182652
1102	80-84	-0.23573844527835064
1102	85-89	-0.2843273830877209
1102	90-94	-0.2886032558516689
1102	95-99	-0.27531712048384094
1102	100-104	-0.21874018130581163
1102	105-109	-0.2354846084991138
1102	110-114	-0.20614583656558239
1102	115-119	-0.25650366206292574
1102	120-124	-0.24563552322896243
1102	125-129	-0.27245779333072306
1102	130-134	-0.30657842644151856
1102	135-139	-0.2273096269354653
1102	140-144	-0.21961613511927425
1102	145-149	-0.3060908319305611
1102	150	-0.35164256929788706
1103	1	-0.04344847442308719
1103	2	-0.00440564457428394
1103	3	0.005476080907740766
1103	4	-0.00217149032884123
1103	5	-0.01865603329482468
1103	6	-0.014066836660859394
1103	7	-0.04274671630630422
1103	8	-0.04209890682840722
1103	9	-0.053699457255810046
1103	10-14	-0.05483499308785866
1103	15-19	-0.08338723541063331
1103	20-24	-0.07686055727623398
