##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Control_siRNA_P1_2_fastq_gz.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	45946458
Total Bases	6.8 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.580711901666064	37.0	37.0	37.0	37.0	37.0
2	36.49865704555507	37.0	37.0	37.0	37.0	37.0
3	36.56432106257244	37.0	37.0	37.0	37.0	37.0
4	36.55697651383704	37.0	37.0	37.0	37.0	37.0
5	36.57708774852677	37.0	37.0	37.0	37.0	37.0
6	36.53594442470408	37.0	37.0	37.0	37.0	37.0
7	36.53048946667445	37.0	37.0	37.0	37.0	37.0
8	36.59830901437495	37.0	37.0	37.0	37.0	37.0
9	36.57635890017899	37.0	37.0	37.0	37.0	37.0
10-14	36.57915848921368	37.0	37.0	37.0	37.0	37.0
15-19	36.55467225787023	37.0	37.0	37.0	37.0	37.0
20-24	36.53534235000225	37.0	37.0	37.0	37.0	37.0
25-29	36.50292410352937	37.0	37.0	37.0	37.0	37.0
30-34	36.47675426906683	37.0	37.0	37.0	37.0	37.0
35-39	36.447523315072516	37.0	37.0	37.0	37.0	37.0
40-44	36.42681293953062	37.0	37.0	37.0	37.0	37.0
45-49	36.404787824994045	37.0	37.0	37.0	37.0	37.0
50-54	36.389723569116036	37.0	37.0	37.0	37.0	37.0
55-59	36.36940352616517	37.0	37.0	37.0	37.0	37.0
60-64	36.32956398075342	37.0	37.0	37.0	37.0	37.0
65-69	36.3059555885679	37.0	37.0	37.0	37.0	37.0
70-74	36.27217998828114	37.0	37.0	37.0	37.0	37.0
75-79	36.256165996517076	37.0	37.0	37.0	37.0	37.0
80-84	36.23865968079628	37.0	37.0	37.0	37.0	37.0
85-89	36.23322565582748	37.0	37.0	37.0	37.0	37.0
90-94	36.183008971007084	37.0	37.0	37.0	37.0	37.0
95-99	36.14987234054038	37.0	37.0	37.0	37.0	37.0
100-104	36.123856402598	37.0	37.0	37.0	37.0	37.0
105-109	36.078390046954226	37.0	37.0	37.0	37.0	37.0
110-114	36.0782135110393	37.0	37.0	37.0	37.0	37.0
115-119	36.02023737281337	37.0	37.0	37.0	37.0	37.0
120-124	36.012289870091834	37.0	37.0	37.0	37.0	37.0
125-129	35.97240118922768	37.0	37.0	37.0	37.0	37.0
130-134	35.93569063800304	37.0	37.0	37.0	37.0	37.0
135-139	35.88127452610166	37.0	37.0	37.0	37.0	37.0
140-144	35.796255001854554	37.0	37.0	37.0	37.0	37.0
145-149	35.7555978395549	37.0	37.0	37.0	37.0	37.0
150	35.69115020792245	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.09069956790393263
1101	2	-0.11200532440345512
1101	3	-0.07797002405349218
1101	4	-0.11181294771578365
1101	5	-0.1146261917134268
1101	6	-0.07044909805643584
1101	7	-0.06622159252527382
1101	8	-0.08396455080788456
1101	9	-0.11492107835098864
1101	10-14	-0.06955731817248534
1101	15-19	-0.09557041334395677
1101	20-24	-0.09998357085689236
1101	25-29	-0.08076482553851605
1101	30-34	-0.06777793688822698
1101	35-39	-0.0973008033084426
1101	40-44	-0.08554469300415235
1101	45-49	-0.09144336136626663
1101	50-54	-0.11251692954575532
1101	55-59	-0.10699559006833681
1101	60-64	-0.0706741462184226
1101	65-69	-0.07045363223192425
1101	70-74	-0.11897498305793164
1101	75-79	-0.10097751743249006
1101	80-84	-0.11980128345958718
1101	85-89	-0.11738556389729382
1101	90-94	-0.08747729150434935
1101	95-99	-0.060843982581971545
1101	100-104	-0.06740903832046286
1101	105-109	-0.10754061956087924
1101	110-114	-0.08726801685187269
1101	115-119	-0.12101210294521536
1101	120-124	-0.10250357530306076
1101	125-129	-0.08128453413316805
1101	130-134	-0.08087926792169498
1101	135-139	-0.1569834977136324
1101	140-144	-0.05244291623777286
1101	145-149	-0.08308561923708169
1101	150	-0.06740401684283626
1102	1	-0.10483156890631307
1102	2	-0.16149021212289938
1102	3	-0.07098537996823495
1102	4	-0.15808151612129961
1102	5	-0.1452021081260213
1102	6	-0.1387388904801128
1102	7	-0.2606460241615167
1102	8	-0.07089305461553863
1102	9	-0.15343877315392263
1102	10-14	-0.14667275901113186
1102	15-19	-0.12147116373725453
1102	20-24	-0.17841157347422154
1102	25-29	-0.14181356629782016
1102	30-34	-0.14985143784188892
1102	35-39	-0.17323601053671212
1102	40-44	-0.1929146271533071
1102	45-49	-0.17931171885418706
1102	50-54	-0.19541193017224145
1102	55-59	-0.23117596985922972
1102	60-64	-0.18941100737477257
1102	65-69	-0.2007554949893091
1102	70-74	-0.19891397009659073
1102	75-79	-0.17492696681922837
1102	80-84	-0.19592784793911733
1102	85-89	-0.20133135877124175
1102	90-94	-0.17320165074644223
1102	95-99	-0.1235836490119624
1102	100-104	-0.20183009388298245
1102	105-109	-0.20798854101320785
1102	110-114	-0.1620336929715478
1102	115-119	-0.14241554027554315
1102	120-124	-0.17193159184234474
1102	125-129	-0.16063222100058994
1102	130-134	-0.15652984081008725
1102	135-139	-0.19241845434674332
1102	140-144	-0.13625218895491997
1102	145-149	-0.1439109822520237
1102	150	-0.17236145046992135
1103	1	-0.05487552331737078
1103	2	-0.08984587787630716
1103	3	-0.05081244742537905
1103	4	-0.08472266157162522
1103	5	-0.04008259876679432
1103	6	-0.061160710740466584
1103	7	-0.09696356644560922
1103	8	-0.0875481429148266
1103	9	-0.13895212054399053
1103	10-14	-0.09848825786252746
1103	15-19	-0.07001435023411773
1103	20-24	-0.08600606054440618
