column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	45764716	2	37	1675527627	36.61	37	37	37	0	37	37	6907668	17695684	13801938	7329373	30053	45764716
2	45764716	2	37	1672476572	36.55	37	37	37	0	37	37	11928381	7899922	12041791	13889752	4870	45764716
3	45764716	11	37	1675093070	36.60	37	37	37	0	37	37	12423813	10901035	12595815	9844053	0	45764716
4	45764716	11	37	1674673076	36.59	37	37	37	0	37	37	15057536	10410766	12794952	7501462	0	45764716
5	45764716	11	37	1675571766	36.61	37	37	37	0	37	37	14431071	9502015	12833115	8998515	0	45764716
6	45764716	11	37	1673807038	36.57	37	37	37	0	37	37	14450684	11101562	10395081	9817389	0	45764716
7	45764716	11	37	1673692936	36.57	37	37	37	0	37	37	6516846	11988817	9539052	17720001	0	45764716
8	45764716	11	37	1676268098	36.63	37	37	37	0	37	37	8546905	14910952	10548927	11757932	0	45764716
9	45764716	11	37	1675522068	36.61	37	37	37	0	37	37	9120117	13163761	10745253	12735585	0	45764716
10	45764716	11	37	1676170340	36.63	37	37	37	0	37	37	15338695	9426060	11792903	9207058	0	45764716
11	45764716	11	37	1677762312	36.66	37	37	37	0	37	37	9932034	13848322	13822539	8161821	0	45764716
12	45764716	11	37	1675594714	36.61	37	37	37	0	37	37	9255070	12927607	11585633	11996406	0	45764716
13	45764716	11	37	1674409732	36.59	37	37	37	0	37	37	10941831	11127656	10911492	12783737	0	45764716
14	45764716	11	37	1674390686	36.59	37	37	37	0	37	37	10762271	11412621	11539539	12050285	0	45764716
15	45764716	11	37	1674262152	36.58	37	37	37	0	37	37	10823103	11595866	11821293	11524454	0	45764716
16	45764716	11	37	1674470054	36.59	37	37	37	0	37	37	10855663	11647551	11831418	11430084	0	45764716
17	45764716	11	37	1674317406	36.59	37	37	37	0	37	37	11051069	11493337	11909931	11310379	0	45764716
