##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Control_siRNA_M1_2_gz.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	40237116
Total Bases	6 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	52
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.59161849472512	37.0	37.0	37.0	37.0	37.0
2	36.51378520766747	37.0	37.0	37.0	37.0	37.0
3	36.577328355242955	37.0	37.0	37.0	37.0	37.0
4	36.569036210249266	37.0	37.0	37.0	37.0	37.0
5	36.58975235700292	37.0	37.0	37.0	37.0	37.0
6	36.55054611766907	37.0	37.0	37.0	37.0	37.0
7	36.547475967213956	37.0	37.0	37.0	37.0	37.0
8	36.61152051752417	37.0	37.0	37.0	37.0	37.0
9	36.59417399596929	37.0	37.0	37.0	37.0	37.0
10-14	36.59657778653918	37.0	37.0	37.0	37.0	37.0
15-19	36.56781523805036	37.0	37.0	37.0	37.0	37.0
20-24	36.5459534028234	37.0	37.0	37.0	37.0	37.0
25-29	36.51308631562957	37.0	37.0	37.0	37.0	37.0
30-34	36.48615003122987	37.0	37.0	37.0	37.0	37.0
35-39	36.456140425173615	37.0	37.0	37.0	37.0	37.0
40-44	36.43449605583064	37.0	37.0	37.0	37.0	37.0
45-49	36.411501709019106	37.0	37.0	37.0	37.0	37.0
50-54	36.395351058460555	37.0	37.0	37.0	37.0	37.0
55-59	36.37461157007375	37.0	37.0	37.0	37.0	37.0
60-64	36.334102717500926	37.0	37.0	37.0	37.0	37.0
65-69	36.31042778513252	37.0	37.0	37.0	37.0	37.0
70-74	36.27684004489785	37.0	37.0	37.0	37.0	37.0
75-79	36.26093524197908	37.0	37.0	37.0	37.0	37.0
80-84	36.24301418123505	37.0	37.0	37.0	37.0	37.0
85-89	36.23677959424329	37.0	37.0	37.0	37.0	37.0
90-94	36.18704549799245	37.0	37.0	37.0	37.0	37.0
95-99	36.15294908810065	37.0	37.0	37.0	37.0	37.0
100-104	36.127346219346336	37.0	37.0	37.0	37.0	37.0
105-109	36.081749904739695	37.0	37.0	37.0	37.0	37.0
110-114	36.08126328437655	37.0	37.0	37.0	37.0	37.0
115-119	36.02239775335787	37.0	37.0	37.0	37.0	37.0
120-124	36.01320754698225	37.0	37.0	37.0	37.0	37.0
125-129	35.97196084828744	37.0	37.0	37.0	37.0	37.0
130-134	35.935128839750845	37.0	37.0	37.0	37.0	37.0
135-139	35.87849051109926	37.0	37.0	37.0	37.0	37.0
140-144	35.79450474532022	37.0	37.0	37.0	37.0	37.0
145-149	35.75095423837037	37.0	37.0	37.0	37.0	37.0
150	35.68939896189379	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.09429497383532492
1101	2	-0.0751674800786688
1101	3	-0.08709021650000892
1101	4	-0.12187801846816626
1101	5	-0.08061204247352549
1101	6	-0.062162584256086006
1101	7	-0.0985388652919994
1101	8	-0.07967583088833408
1101	9	-0.07103454420539634
1101	10-14	-0.08512783481150876
1101	15-19	-0.10679887962813694
1101	20-24	-0.1259947566807469
1101	25-29	-0.0928137554404529
1101	30-34	-0.08622122012727829
1101	35-39	-0.08320188297887654
1101	40-44	-0.07661065065716599
1101	45-49	-0.10538160904187066
1101	50-54	-0.12008040685771704
1101	55-59	-0.13193592861984627
1101	60-64	-0.11229985227714678
1101	65-69	-0.12112749069287787
1101	70-74	-0.10197704334203195
1101	75-79	-0.10538807111583282
1101	80-84	-0.11216746282192958
1101	85-89	-0.12610993339390575
1101	90-94	-0.06844270293125021
1101	95-99	-0.06129349100574899
1101	100-104	-0.12043428121003785
1101	105-109	-0.09787395425608736
1101	110-114	-0.06864860840763498
1101	115-119	-0.10681329948265983
1101	120-124	-0.12363867978944398
1101	125-129	-0.09162470352632823
1101	130-134	-0.06717010373548504
1101	135-139	-0.13076142420396764
1101	140-144	-0.0926428286034664
1101	145-149	-0.10375398996549734
1101	150	-0.047660768758056804
1102	1	-0.12682116206821092
1102	2	-0.09104871555242511
1102	3	-0.16575726715704775
1102	4	-0.12864484110849617
1102	5	-0.08756778502072393
1102	6	-0.1058429681644526
1102	7	-0.1809736205068191
1102	8	-0.15095895315918284
1102	9	-0.15692171811047473
1102	10-14	-0.147287889205721
1102	15-19	-0.13741580959391086
1102	20-24	-0.15092116930174626
1102	25-29	-0.15132610168486593
1102	30-34	-0.10958954790874742
1102	35-39	-0.14850456376027665
1102	40-44	-0.15928373058272172
1102	45-49	-0.16281997042762697
1102	50-54	-0.16917269726090467
1102	55-59	-0.189031107640794
1102	60-64	-0.14840851549431022
1102	65-69	-0.16703752556081497
1102	70-74	-0.19935195475743228
1102	75-79	-0.19398791029511386
1102	80-84	-0.14866298200820438
1102	85-89	-0.1430210025220333
1102	90-94	-0.15094188055654456
1102	95-99	-0.14297497556069771
1102	100-104	-0.15762453360916595
1102	105-109	-0.15950170601961844
1102	110-114	-0.18037684778558116
1102	115-119	-0.12371379617847111
1102	120-124	-0.1444655653776863
1102	125-129	-0.12494425751832239
1102	130-134	-0.13306076831385383
1102	135-139	-0.19052491926558446
1102	140-144	-0.11332682560212959
1102	145-149	-0.13027986855052376
1102	150	-0.173726563651023
1103	1	-0.15187972883670398
1103	2	-0.1749506326157899
1103	3	-0.029907143415734083
1103	4	-0.11320979983128154
1103	5	-0.0719295189583633
1103	6	-0.03618618749224822
1103	7	-0.08533455105290955
1103	8	-0.06916008579865007
1103	9	-0.22368028754110014
1103	10-14	-0.12436922000242134
1103	15-19	-0.08741790126421023
1103	20-24	-0.1483439224912999
1103	25-29	-0.13497941303663907
1103	30-34	-0.07399609350572689
1103	35-39	-0.10546845915393988
1103	40-44	-0.08728278172500836
1103	45-49	-0.11894598548194324
1103	50-54	-0.1108641430899695
1103	55-59	-0.15827900242217652
1103	60-64	-0.06800126253244798
1103	65-69	-0.13511439396907576
1103	70-74	-0.10217688623145449
1103	75-79	-0.09387484125382883
1103	80-84	-0.06649009785156323
1103	85-89	-0.04979410430745901
1103	90-94	-0.09002243458296277
1103	95-99	-0.04422561613472453
1103	100-104	-0.036212473133268475
1103	105-109	-0.058208756659908545
1103	110-114	-0.03674651866126055
1103	115-119	-0.07194377960674103
1103	120-124	-0.07705130484494305
1103	125-129	-0.04917345324257383
1103	130-134	-0.04086734538097403
1103	135-139	-0.1266736883651518
1103	140-144	-0.04294259527500799
1103	145-149	-0.048144575036886295
1103	150	0.007151457742956779
1104	1	-0.1401851440019115
1104	2	-0.1385001073869887
1104	3	-0.15165001718259674
1104	4	-0.14344744656606423
1104	5	-0.11912607089940508
1104	6	-0.15548453384590033
1104	7	-0.1159201821232756
1104	8	-0.1398378963827085
1104	9	-0.12032673593267162
1104	10-14	-0.1259844105610739
1104	15-19	-0.1426541779819317
1104	20-24	-0.08600025930869037
1104	25-29	-0.1432064727560487
1104	30-34	-0.10150367744370214
1104	35-39	-0.08262192346249009
1104	40-44	-0.09575892246078865
1104	45-49	-0.0925980435573237
1104	50-54	-0.08885779717090969
1104	55-59	-0.14118034356166476
1104	60-64	-0.06543580430820839
1104	65-69	-0.06740175302411444
1104	70-74	-0.09097528119093568
1104	75-79	-0.09874473966765862
1104	80-84	-0.12746476849946475
1104	85-89	-0.11850757250448396
1104	90-94	-0.08247964478026404
1104	95-99	-0.08568410771496104
1104	100-104	-0.06751384877335909
1104	105-109	-0.06364411472757325
1104	110-114	-0.05586329605708329
1104	115-119	-0.100362996728947
1104	120-124	-0.04183818498964342
1104	125-129	-0.041687918240171484
1104	130-134	-0.09166203867346923
1104	135-139	-0.06356298240846314
1104	140-144	-0.06897978158874452
1104	145-149	-0.04384871377506272
1104	150	-0.17215554235330188
1105	1	-0.14917325458818453
1105	2	-0.1722195956373298
1105	3	-0.13596639763066065
1105	4	-0.12191581739716639
1105	5	-0.08911743031725905
1105	6	-0.10393168173120415
1105	7	-0.07547399607658889
1105	8	-0.11740039638085875
1105	9	-0.16051320300110916
1105	10-14	-0.13698330749730303
