##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Control_siRNA_M3_1_gz.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	38181985
Total Bases	5.7 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.48171293346849	37.0	37.0	37.0	37.0	37.0
2	36.487627005248676	37.0	37.0	37.0	37.0	37.0
3	36.57982621909259	37.0	37.0	37.0	37.0	37.0
4	36.60150557913634	37.0	37.0	37.0	37.0	37.0
5	36.61553908210901	37.0	37.0	37.0	37.0	37.0
6	36.59978136286	37.0	37.0	37.0	37.0	37.0
7	36.58332127048921	37.0	37.0	37.0	37.0	37.0
8	36.643514028932756	37.0	37.0	37.0	37.0	37.0
9	36.62769080758897	37.0	37.0	37.0	37.0	37.0
10-14	36.6274074069224	37.0	37.0	37.0	37.0	37.0
15-19	36.612817982092864	37.0	37.0	37.0	37.0	37.0
20-24	36.58700893628239	37.0	37.0	37.0	37.0	37.0
25-29	36.54767597336807	37.0	37.0	37.0	37.0	37.0
30-34	36.50665681734462	37.0	37.0	37.0	37.0	37.0
35-39	36.47972364454074	37.0	37.0	37.0	37.0	37.0
40-44	36.45297550140466	37.0	37.0	37.0	37.0	37.0
45-49	36.427163558940165	37.0	37.0	37.0	37.0	37.0
50-54	36.405233258564216	37.0	37.0	37.0	37.0	37.0
55-59	36.37847788688828	37.0	37.0	37.0	37.0	37.0
60-64	36.35769786720098	37.0	37.0	37.0	37.0	37.0
65-69	36.31797255695322	37.0	37.0	37.0	37.0	37.0
70-74	36.30163197120317	37.0	37.0	37.0	37.0	37.0
75-79	36.27213487722024	37.0	37.0	37.0	37.0	37.0
80-84	36.246073654892484	37.0	37.0	37.0	37.0	37.0
85-89	36.216074826911175	37.0	37.0	37.0	37.0	37.0
90-94	36.20343756879062	37.0	37.0	37.0	37.0	37.0
95-99	36.17807878244151	37.0	37.0	37.0	37.0	37.0
100-104	36.15290337052932	37.0	37.0	37.0	37.0	37.0
105-109	36.136470280421506	37.0	37.0	37.0	37.0	37.0
110-114	36.097106648593574	37.0	37.0	37.0	37.0	37.0
115-119	36.05431750601756	37.0	37.0	37.0	37.0	37.0
120-124	36.0192044075236	37.0	37.0	37.0	37.0	37.0
125-129	36.001366660219475	37.0	37.0	37.0	37.0	37.0
130-134	35.9546068911818	37.0	37.0	37.0	37.0	37.0
135-139	35.92419894879745	37.0	37.0	37.0	37.0	37.0
140-144	35.885948512105905	37.0	37.0	37.0	37.0	37.0
145-149	35.83518147629046	37.0	37.0	37.0	37.0	37.0
150	35.78026097909787	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.013823377147879512
1101	2	-0.028210707417329672
1101	3	-0.04149688643123994
1101	4	-0.10384006083227604
1101	5	-0.08947262067196249
1101	6	-0.03815363481535172
1101	7	-0.02610767283901083
1101	8	-0.022523797410222812
1101	9	-0.04919853560257792
1101	10-14	-0.043317065405474864
1101	15-19	-0.053830803739089106
1101	20-24	-0.06418639948343241
1101	25-29	-0.10901334388841377
1101	30-34	-0.06175086672378427
1101	35-39	-0.07674955833052621
1101	40-44	-0.09612396643605337
1101	45-49	-0.10038595952156726
1101	50-54	-0.11734915479735264
1101	55-59	-0.10063561441355517
1101	60-64	-0.12076440321648363
1101	65-69	-0.11896838336703297
1101	70-74	-0.13481011662941
1101	75-79	-0.13648318226348977
1101	80-84	-0.12523834583963378
1101	85-89	-0.18407367128631336
1101	90-94	-0.1598960410111303
1101	95-99	-0.1481650495798661
1101	100-104	-0.14445660541795036
1101	105-109	-0.18535553104067048
1101	110-114	-0.15949078730290722
1101	115-119	-0.22105248196448457
1101	120-124	-0.17658090442105845
1101	125-129	-0.18669923728461413
1101	130-134	-0.2097578176569641
1101	135-139	-0.13704101084046272
1101	140-144	-0.13359612838519297
1101	145-149	-0.2667674514180334
1101	150	-0.21613391196506626
1102	1	-0.06363295252766932
1102	2	-0.0040878823529340025
1102	3	-0.07351463215151455
1102	4	-0.08820281400815588
1102	5	-0.045355803043300114
1102	6	-0.04608016827202732
1102	7	-0.10675644378349602
1102	8	-0.12245065642857611
1102	9	-0.04310303563961071
1102	10-14	-0.053086033035775415
1102	15-19	-0.05037301565966601
1102	20-24	-0.12840788458657215
1102	25-29	-0.13762433362198578
1102	30-34	-0.11965542175705224
1102	35-39	-0.129291157263836
1102	40-44	-0.12272584726723323
1102	45-49	-0.1489588974787921
1102	50-54	-0.12730971607209085
1102	55-59	-0.13186178563771733
1102	60-64	-0.18781939885190724
1102	65-69	-0.20003201461605613
1102	70-74	-0.1860532724580395
1102	75-79	-0.20171640745763142
1102	80-84	-0.22350422816094095
1102	85-89	-0.25992835597220676
1102	90-94	-0.23394127923014452
1102	95-99	-0.23465502310339303
1102	100-104	-0.18839681286616639
1102	105-109	-0.23410622326064612
1102	110-114	-0.2007319138907988
1102	115-119	-0.25103675183624574
1102	120-124	-0.2701573137648836
1102	125-129	-0.26936669129401025
1102	130-134	-0.3473459295578465
1102	135-139	-0.18526279581360683
1102	140-144	-0.22411118420738063
1102	145-149	-0.3150141854142916
1102	150	-0.22390433840067203
1103	1	-0.09488701570123226
1103	2	-0.12468630919784118
1103	3	-0.062204342584003314
1103	4	-0.05792285540363906
1103	5	-0.13323293161770522
1103	6	-0.05352813058057393
1103	7	-0.05476262139293908
1103	8	-0.13839996705006996
1103	9	-0.13565486191389908
1103	10-14	-0.11704981939028158
1103	15-19	-0.11962519087798995
1103	20-24	-0.09832718665624895
1103	25-29	-0.14086430161342633
1103	30-34	-0.14948807450331003
1103	35-39	-0.21504882879979448
1103	40-44	-0.16842535794221902
1103	45-49	-0.1805675600855423
1103	50-54	-0.20437264544712974
1103	55-59	-0.19592229534335814
1103	60-64	-0.20023259889376988
1103	65-69	-0.2360104585223297
1103	70-74	-0.2524831342863436
1103	75-79	-0.23991071462773306
1103	80-84	-0.2195550084488218
1103	85-89	-0.22286121939566073
1103	90-94	-0.24810617615899844
1103	95-99	-0.2392237479513497
1103	100-104	-0.23039906023059586
1103	105-109	-0.2138416769671565
1103	110-114	-0.22324821151119068
1103	115-119	-0.24388218369279002
1103	120-124	-0.2738343338822773
1103	125-129	-0.2493600739368702
1103	130-134	-0.30529553193503034
1103	135-139	-0.2430905690517946
1103	140-144	-0.24763176619654104
1103	145-149	-0.27728436174676574
1103	150	-0.3045536427853577
1104	1	-0.11363356157186644
1104	2	-0.041308493256046575
1104	3	-0.037995571583657295
1104	4	-0.15480358474034972
1104	5	-0.05947053478978148
1104	6	-0.14930978402604467
1104	7	-0.19181343840457998
1104	8	-0.2021569329468207
1104	9	-0.1301048010733865
1104	10-14	-0.127006508810517
1104	15-19	-0.10553376493232491
1104	20-24	-0.10445879697450522
1104	25-29	-0.1043969210191591
1104	30-34	-0.11545426134249226
1104	35-39	-0.11165217801131888
1104	40-44	-0.11023572768537804
1104	45-49	-0.1252245244275656
1104	50-54	-0.11781617339703132
1104	55-59	-0.13472285020991137
1104	60-64	-0.1349984914766793
1104	65-69	-0.1870544743125535
1104	70-74	-0.14944149391391903
1104	75-79	-0.18806431098185072
1104	80-84	-0.15954543820995326
1104	85-89	-0.1597061872399479
1104	90-94	-0.15912283398229476
1104	95-99	-0.13363180236643757
1104	100-104	-0.16607393946976856
1104	105-109	-0.1790717447388488
1104	110-114	-0.14581351124955688
1104	115-119	-0.23838505017998557
1104	120-124	-0.1723541759162046
1104	125-129	-0.14844928007080682
1104	130-134	-0.21342543789499757
1104	135-139	-0.13991426497386072
1104	140-144	-0.14345095910993422
1104	145-149	-0.16399449978171532
1104	150	-0.25324848518138054
1105	1	0.003906526058486293
1105	2	-0.14229871010883244
1105	3	-0.06212895219361769
1105	4	-0.05823680536853004
1105	5	-0.019608284869377712
1105	6	-0.08440619278520245
1105	7	-0.0961756625525112
1105	8	-0.11575522445657782
1105	9	-0.0547859485782638
1105	10-14	-0.06275800611094695
1105	15-19	-0.09500639927332344
1105	20-24	-0.10826919170408189
1105	25-29	-0.12155109879511627
1105	30-34	-0.06776906495549184
1105	35-39	-0.0946787958042421
1105	40-44	-0.0939894973436779
1105	45-49	-0.12094290353249448
1105	50-54	-0.09056643902930972
1105	55-59	-0.10647798346880677
1105	60-64	-0.10952759804645495
1105	65-69	-0.13315830358274638
1105	70-74	-0.1401417936279188
1105	75-79	-0.1637179266924278
1105	80-84	-0.1802503012927943
1105	85-89	-0.16402522052399604
1105	90-94	-0.2000037151861065
1105	95-99	-0.1721879642801767
1105	100-104	-0.17993897347996324
1105	105-109	-0.17990035348024236
1105	110-114	-0.15025795171113288
1105	115-119	-0.15562658880497082
1105	120-124	-0.1087503000962542
1105	125-129	-0.14380597510444204
1105	130-134	-0.20131980843571284
1105	135-139	-0.10101549691749767
1105	140-144	-0.1247262973988228
1105	145-149	-0.1850871081564165
1105	150	-0.2151167242039307
1106	1	-0.023009163867726556
1106	2	0.00627699228664369
1106	3	-0.13407258685612078
1106	4	-0.11916184652019268
1106	5	-0.054845627917949
1106	6	0.027247375981389155
1106	7	-0.09311442712752438
1106	8	-0.0956069673561899
1106	9	-0.08482257071582211
1106	10-14	-0.08341887977866946
1106	15-19	-0.08853596453410262
1106	20-24	-0.08853139603159121
1106	25-29	-0.12602814738600898
1106	30-34	-0.0962609472773508
1106	35-39	-0.09064293802224199
1106	40-44	-0.10871791739920411
1106	45-49	-0.10439181172889533
1106	50-54	-0.0901083122158397
1106	55-59	-0.10581871530275322
1106	60-64	-0.12258076059875833
1106	65-69	-0.14340878091049802
1106	70-74	-0.13108469976609172
1106	75-79	-0.10991672395996233
1106	80-84	-0.1334677312554149
1106	85-89	-0.13522470318691404
1106	90-94	-0.16775895625823267
1106	95-99	-0.1398952506871396
1106	100-104	-0.15848283079569825
1106	105-109	-0.15277304239114642
1106	110-114	-0.18478224688965383
1106	115-119	-0.21137324931875412
1106	120-124	-0.18250035425398892
1106	125-129	-0.1536717105888954
1106	130-134	-0.2610710582385565
1106	135-139	-0.14852460577268545
1106	140-144	-0.17101170102832697
1106	145-149	-0.15062195750322616
1106	150	-0.19791616029283432
1107	1	-0.0083652656077291
1107	2	-0.042409136647286516
1107	3	-0.03391503591736722
1107	4	0.003953360876018053
1107	5	-0.0025507826458621707
1107	6	0.020301207883427708
1107	7	0.005009458311441506
1107	8	-0.03899979482203264
1107	9	-0.06049044592153763
1107	10-14	-0.05313637223013501
1107	15-19	-0.02916887634940224
1107	20-24	0.005197190951157893
1107	25-29	-0.03428040104045493
1107	30-34	-0.03028434468244967
1107	35-39	-0.06685771825370779
1107	40-44	-0.06904713997037959
1107	45-49	-0.13540104107873674
