column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	40237116	2	37	1468298522	36.49	37	37	37	0	37	37	5896464	15723127	12348690	6266983	1852	40237116
2	40237116	2	37	1468583636	36.50	37	37	37	0	37	37	10334031	7211529	10542471	12149041	44	40237116
3	40237116	2	37	1472245296	36.59	37	37	37	0	37	37	10729908	9747277	11179931	8579966	34	40237116
4	40237116	11	37	1473076654	36.61	37	37	37	0	37	37	13083552	9226032	11373803	6553729	0	40237116
5	40237116	2	37	1473620132	36.62	37	37	37	0	37	37	12464184	8498960	11424211	7849747	14	40237116
6	40237116	11	37	1472927044	36.61	37	37	37	0	37	37	12586460	9898543	9214263	8537850	0	40237116
7	40237116	2	37	1472281025	36.59	37	37	37	0	37	37	5652049	10715468	8480034	15389564	1	40237116
8	40237116	11	37	1474624190	36.65	37	37	37	0	37	37	7491929	13244316	9364731	10136140	0	40237116
9	40237116	11	37	1474018528	36.63	37	37	37	0	37	37	7917904	11709839	9475715	11133658	0	40237116
10	40237116	11	37	1474408624	36.64	37	37	37	0	37	37	13327671	8400410	10466925	8042110	0	40237116
11	40237116	11	37	1475408328	36.67	37	37	37	0	37	37	8567364	12347517	12264189	7058046	0	40237116
12	40237116	11	37	1473865494	36.63	37	37	37	0	37	37	8027276	11518342	10267493	10424005	0	40237116
13	40237116	11	37	1473308180	36.62	37	37	37	0	37	37	9489034	9952537	9726112	11069433	0	40237116
14	40237116	11	37	1473307894	36.62	37	37	37	0	37	37	9353267	10208341	10254174	10421334	0	40237116
15	40237116	11	37	1473641424	36.62	37	37	37	0	37	37	9392078	10357546	10496280	9991212	0	40237116
16	40237116	11	37	1473690474	36.63	37	37	37	0	37	37	9394087	10417664	10536384	9888981	0	40237116
17	40237116	11	37	1473510376	36.62	37	37	37	0	37	37	9595798	10272499	10594689	9774130	0	40237116
18	40237116	11	37	1473033464	36.61	37	37	37	0	37	37	9613527	10361389	10412270	9849930	0	40237116
19	40237116	11	37	1473215028	36.61	37	37	37	0	37	37	9537145	10351673	10612406	9735892	0	40237116
20	40237116	11	37	1473285594	36.62	37	37	37	0	37	37	9712904	10243142	10632046	9649024	0	40237116
21	40237116	11	37	1472915100	36.61	37	37	37	0	37	37	9699933	10223550	10485952	9827681	0	40237116
22	40237116	11	37	1471685016	36.58	37	37	37	0	37	37	9749191	10269210	10658669	9560046	0	40237116
23	40237116	11	37	1472256248	36.59	37	37	37	0	37	37	9854771	10204756	10612878	9564711	0	40237116
24	40237116	11	37	1471895502	36.58	37	37	37	0	37	37	9851050	10207713	10469654	9708699	0	40237116
25	40237116	11	37	1471856100	36.58	37	37	37	0	37	37	9788021	10295558	10604922	9548615	0	40237116
26	40237116	11	37	1470991420	36.56	37	37	37	0	37	37	9824686	10226518	10611779	9574133	0	40237116
27	40237116	11	37	1470658774	36.55	37	37	37	0	37	37	9786257	10251920	10489214	9709725	0	40237116
28	40237116	11	37	1470420440	36.54	37	37	37	0	37	37	9659436	10355354	10595288	9627038	0	40237116
29	40237116	11	37	1470216110	36.54	37	37	37	0	37	37	9727292	10300693	10616385	9592746	0	40237116
30	40237116	11	37	1469453762	36.52	37	37	37	0	37	37	9775524	10278193	10442734	9740665	0	40237116
31	40237116	11	37	1469454460	36.52	37	37	37	0	37	37	9691587	10376380	10496050	9673099	0	40237116
32	40237116	11	37	1469264374	36.52	37	37	37	0	37	37	9790368	10306507	10527245	9612996	0	40237116
33	40237116	11	37	1468937718	36.51	37	37	37	0	37	37	9778707	10291158	10421338	9745913	0	40237116
34	40237116	11	37	1468811244	36.50	37	37	37	0	37	37	9718696	10328227	10624874	9565319	0	40237116
35	40237116	11	37	1468657136	36.50	37	37	37	0	37	37	9833320	10253263	10576089	9574444	0	40237116
36	40237116	11	37	1468300914	36.49	37	37	37	0	37	37	9756856	10352170	10471271	9656819	0	40237116
37	40237116	11	37	1468167948	36.49	37	37	37	0	37	37	9695941	10372512	10540839	9627824	0	40237116
38	40237116	11	37	1467573754	36.47	37	37	37	0	37	37	9710573	10326086	10568270	9632187	0	40237116
39	40237116	11	37	1467638904	36.47	37	37	37	0	37	37	9753656	10373765	10409474	9700221	0	40237116
40	40237116	11	37	1467398364	36.47	37	37	37	0	37	37	9636139	10417125	10561446	9622406	0	40237116
41	40237116	11	37	1467276924	36.47	37	37	37	0	37	37	9727535	10316526	10600677	9592378	0	40237116
42	40237116	11	37	1466896060	36.46	37	37	37	0	37	37	9714670	10357364	10425058	9740024	0	40237116
43	40237116	11	37	1466756490	36.45	37	37	37	0	37	37	9642880	10419412	10533361	9641463	0	40237116
44	40237116	11	37	1466597232	36.45	37	37	37	0	37	37	9709568	10341132	10583440	9602976	0	40237116
45	40237116	11	37	1466098332	36.44	37	37	37	0	37	37	9736740	10369942	10439377	9691057	0	40237116
46	40237116	11	37	1465943436	36.43	37	37	37	0	37	37	9661584	10446912	10548275	9580345	0	40237116
47	40237116	11	37	1465784018	36.43	37	37	37	0	37	37	9738110	10342315	10559407	9597284	0	40237116
48	40237116	11	37	1465902658	36.43	37	37	37	0	37	37	9727274	10371115	10418718	9720009	0	40237116
49	40237116	11	37	1465810586	36.43	37	37	37	0	37	37	9621414	10487905	10539591	9588206	0	40237116
50	40237116	11	37	1465442180	36.42	37	37	37	0	37	37	9683774	10389980	10595234	9568128	0	40237116
51	40237116	11	37	1465256944	36.42	37	37	37	0	37	37	9700097	10418375	10440195	9678449	0	40237116
52	40237116	11	37	1465041612	36.41	37	37	37	0	37	37	9683930	10468276	10550943	9533967	0	40237116
53	40237116	11	37	1464916892	36.41	37	37	37	0	37	37	9739079	10399904	10551062	9547071	0	40237116
54	40237116	11	37	1464528774	36.40	37	37	37	0	37	37	9678504	10438092	10467376	9653144	0	40237116
55	40237116	11	37	1464684272	36.40	37	37	37	0	37	37	9576731	10536374	10546266	9577745	0	40237116
56	40237116	11	37	1463169726	36.36	37	37	37	0	37	37	9691555	10430663	10543687	9571211	0	40237116
57	40237116	11	37	1464087312	36.39	37	37	37	0	37	37	9660067	10441518	10443005	9692526	0	40237116
58	40237116	11	37	1464120120	36.39	37	37	37	0	37	37	9635572	10478437	10543674	9579433	0	40237116
59	40237116	11	37	1463481722	36.37	37	37	37	0	37	37	9717527	10408138	10567509	9543942	0	40237116
60	40237116	11	37	1463696014	36.38	37	37	37	0	37	37	9703353	10422580	10435882	9675301	0	40237116
61	40237116	11	37	1463429916	36.37	37	37	37	0	37	37	9590787	10505434	10562661	9578234	0	40237116
62	40237116	11	37	1463312824	36.37	37	37	37	0	37	37	9682792	10441847	10541004	9571473	0	40237116
63	40237116	11	37	1462746628	36.35	37	37	37	0	37	37	9709108	10381644	10420758	9725606	0	40237116
64	40237116	11	37	1462089588	36.34	37	37	37	0	37	37	9622743	10488754	10544777	9580842	0	40237116
65	40237116	11	37	1462113942	36.34	37	37	37	0	37	37	9716079	10382847	10600810	9537380	0	40237116
66	40237116	11	37	1461649538	36.33	37	37	37	0	37	37	9689294	10427827	10462316	9657679	0	40237116
67	40237116	11	37	1461611246	36.32	37	37	37	0	37	37	9647617	10520129	10545574	9523796	0	40237116
68	40237116	11	37	1461311856	36.32	37	37	37	0	37	37	9689417	10417047	10568752	9561900	0	40237116
69	40237116	11	37	1460763036	36.30	37	37	37	0	37	37	9726539	10395732	10442373	9672472	0	40237116
70	40237116	11	37	1461009496	36.31	37	37	37	0	37	37	9618866	10513452	10519455	9585343	0	40237116
71	40237116	11	37	1461367556	36.32	37	37	37	0	37	37	9710187	10396832	10536349	9593748	0	40237116
72	40237116	11	37	1460875898	36.31	37	37	37	0	37	37	9717160	10393671	10446132	9680153	0	40237116
73	40237116	11	37	1460632440	36.30	37	37	37	0	37	37	9629098	10479693	10584121	9544204	0	40237116
74	40237116	11	37	1460271504	36.29	37	37	37	0	37	37	9710547	10405956	10551181	9569432	0	40237116
75	40237116	11	37	1460298508	36.29	37	37	37	0	37	37	9704614	10421424	10462353	9648725	0	40237116
76	40237116	11	37	1460144616	36.29	37	37	37	0	37	37	9597422	10467954	10556736	9615004	0	40237116
77	40237116	11	37	1459694256	36.28	37	37	37	0	37	37	9659904	10409563	10579527	9588122	0	40237116
78	40237116	11	37	1459299038	36.27	37	37	37	0	37	37	9672857	10472020	10416749	9675490	0	40237116
79	40237116	11	37	1458844890	36.26	37	37	37	0	37	37	9570330	10499346	10529593	9637847	0	40237116
80	40237116	11	37	1459020950	36.26	37	37	37	0	37	37	9641970	10469287	10560269	9565590	0	40237116
81	40237116	11	37	1458958096	36.26	37	37	37	0	37	37	9704444	10431858	10424672	9676142	0	40237116
82	40237116	11	37	1458534246	36.25	37	37	37	0	37	37	9604525	10507561	10549817	9575213	0	40237116
83	40237116	11	37	1458614894	36.25	37	37	37	0	37	37	9676827	10413107	10560601	9586581	0	40237116
84	40237116	11	37	1457979926	36.23	37	37	37	0	37	37	9711683	10429588	10457123	9638722	0	40237116
85	40237116	11	37	1456621898	36.20	37	37	37	0	37	37	9600235	10481649	10586813	9568419	0	40237116
86	40237116	2	37	1457612640	36.23	37	37	37	0	37	37	9718510	10392444	10577751	9548391	20	40237116
87	40237116	2	37	1458309742	36.24	37	37	37	0	37	37	9676170	10427071	10460444	9673425	6	40237116
88	40237116	11	37	1457728430	36.23	37	37	37	0	37	37	9655388	10494522	10532257	9554949	0	40237116
89	40237116	2	37	1457042908	36.21	37	37	37	0	37	37	9673825	10450084	10561119	9552086	2	40237116
90	40237116	2	37	1456283313	36.19	37	37	37	0	37	37	9731481	10431424	10437921	9636279	11	40237116
91	40237116	2	37	1456987153	36.21	37	37	37	0	37	37	9621091	10530195	10545063	9540762	5	40237116
