##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Control_siRNA_P1_1_gz.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	45946458
Total Bases	6.8 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.498790505244166	37.0	37.0	37.0	37.0	37.0
2	36.51479552569646	37.0	37.0	37.0	37.0	37.0
3	36.598385538227994	37.0	37.0	37.0	37.0	37.0
4	36.61858864071742	37.0	37.0	37.0	37.0	37.0
5	36.632323148826835	37.0	37.0	37.0	37.0	37.0
6	36.61435495201828	37.0	37.0	37.0	37.0	37.0
7	36.59696632110358	37.0	37.0	37.0	37.0	37.0
8	36.655045662061696	37.0	37.0	37.0	37.0	37.0
9	36.64167427225838	37.0	37.0	37.0	37.0	37.0
10-14	36.64127317061089	37.0	37.0	37.0	37.0	37.0
15-19	36.62602652853023	37.0	37.0	37.0	37.0	37.0
20-24	36.60242723389037	37.0	37.0	37.0	37.0	37.0
25-29	36.563603227043096	37.0	37.0	37.0	37.0	37.0
30-34	36.52320081778665	37.0	37.0	37.0	37.0	37.0
35-39	36.49669210192438	37.0	37.0	37.0	37.0	37.0
40-44	36.47075169102263	37.0	37.0	37.0	37.0	37.0
45-49	36.445719458940665	37.0	37.0	37.0	37.0	37.0
50-54	36.42468432278283	37.0	37.0	37.0	37.0	37.0
55-59	36.39750655861219	37.0	37.0	37.0	37.0	37.0
60-64	36.37722704109204	37.0	37.0	37.0	37.0	37.0
65-69	36.33888122562136	37.0	37.0	37.0	37.0	37.0
70-74	36.32176835045696	37.0	37.0	37.0	37.0	37.0
75-79	36.29275440557355	37.0	37.0	37.0	37.0	37.0
80-84	36.267370364000634	37.0	37.0	37.0	37.0	37.0
85-89	36.239155557975764	37.0	37.0	37.0	37.0	37.0
90-94	36.225335802816396	37.0	37.0	37.0	37.0	37.0
95-99	36.20093997234782	37.0	37.0	37.0	37.0	37.0
100-104	36.1760298389051	37.0	37.0	37.0	37.0	37.0
105-109	36.15967945994879	37.0	37.0	37.0	37.0	37.0
110-114	36.121337797137706	37.0	37.0	37.0	37.0	37.0
115-119	36.08034465681773	37.0	37.0	37.0	37.0	37.0
120-124	36.04607536015072	37.0	37.0	37.0	37.0	37.0
125-129	36.03032432663254	37.0	37.0	37.0	37.0	37.0
130-134	35.98361812351237	37.0	37.0	37.0	37.0	37.0
135-139	35.955144146258235	37.0	37.0	37.0	37.0	37.0
140-144	35.91879360102143	37.0	37.0	37.0	37.0	37.0
145-149	35.8722035722536	37.0	37.0	37.0	37.0	37.0
150	35.81995467419926	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.04539491518472971
1101	2	-0.041129549170364044
1101	3	-0.06632017561317127
1101	4	-0.15237308172938668
1101	5	-0.08523742695324188
1101	6	-0.0781563088241839
1101	7	-0.0280696694626954
1101	8	-0.0845928329159733
1101	9	-0.06541652269496012
1101	10-14	-0.06627133218924541
1101	15-19	-0.053786433835441017
1101	20-24	-0.07116560007666806
1101	25-29	-0.11490904833934934
1101	30-34	-0.07679659361932067
1101	35-39	-0.0767256225644033
1101	40-44	-0.10086007562184562
1101	45-49	-0.1038985482441177
1101	50-54	-0.11529174143292664
1101	55-59	-0.12332138868621456
1101	60-64	-0.14624588608170797
1101	65-69	-0.16905028027530022
1101	70-74	-0.14810913465459663
1101	75-79	-0.1605905265249845
1101	80-84	-0.19564626377282934
1101	85-89	-0.20181073238756397
1101	90-94	-0.18242521274878953
1101	95-99	-0.18352721768337688
1101	100-104	-0.13772528798785544
1101	105-109	-0.1664957540204952
1101	110-114	-0.1556443458463761
1101	115-119	-0.2201130375071827
1101	120-124	-0.20371531051571168
1101	125-129	-0.22665161661084454
1101	130-134	-0.2561614188916792
1101	135-139	-0.17438137139999554
1101	140-144	-0.18054758232007373
1101	145-149	-0.2430794710382287
1101	150	-0.2301922202472113
1102	1	-0.07604496599985566
1102	2	-0.0859229125751142
1102	3	-0.10491461518493139
1102	4	-0.08572642787091667
1102	5	-0.06604253352579548
1102	6	-0.03456058147172314
1102	7	-0.14610573428331008
1102	8	-0.07988860481868443
1102	9	-0.05780225826137553
1102	10-14	-0.1462451241117293
1102	15-19	-0.11447146355880733
1102	20-24	-0.08900717520648982
1102	25-29	-0.10765675469750846
1102	30-34	-0.10216228853363418
1102	35-39	-0.12328366318865847
1102	40-44	-0.1503445456826924
1102	45-49	-0.2074184357547253
1102	50-54	-0.14986760911867947
1102	55-59	-0.17828150228935868
1102	60-64	-0.15890602335216641
1102	65-69	-0.1924953024808147
1102	70-74	-0.1826870558285023
1102	75-79	-0.1881486506809651
1102	80-84	-0.2208488630015566
1102	85-89	-0.2555688071206106
1102	90-94	-0.2219307745692305
1102	95-99	-0.25387404835065297
1102	100-104	-0.2164862341238134
1102	105-109	-0.26369643201963555
1102	110-114	-0.22130181010175676
1102	115-119	-0.2673904254702606
1102	120-124	-0.28405951341426317
1102	125-129	-0.2721121722360138
1102	130-134	-0.30956537133428697
1102	135-139	-0.20659082022985586
1102	140-144	-0.23742586268038224
1102	145-149	-0.2707268349163314
1102	150	-0.32456635882633833
1103	1	-0.04836087267008082
1103	2	-0.0651858396731626
1103	3	-0.04969637787340986
1103	4	-0.009013236232938482
1103	5	-0.015643825530595734
1103	6	-0.010032745666528342
1103	7	-0.04862984548769589
1103	8	-0.09065133451505147
1103	9	-0.07552746428581258
1103	10-14	-0.04118244908043778
1103	15-19	-0.06440080026748518
1103	20-24	-0.052411155561770784
1103	25-29	-0.08859409810482788
1103	30-34	-0.06909596265600726
1103	35-39	-0.08825367874217704
1103	40-44	-0.09780251105713234
1103	45-49	-0.11280262062682311
1103	50-54	-0.07968903652800918
1103	55-59	-0.12044140198327113
1103	60-64	-0.12639044272009414
1103	65-69	-0.14997148412506078
1103	70-74	-0.1313447515652726
1103	75-79	-0.18070592970497756
1103	80-84	-0.15560752860962168
1103	85-89	-0.18001121518241092
1103	90-94	-0.17356709344017673
1103	95-99	-0.1786883877383616
1103	100-104	-0.16031005638421192
1103	105-109	-0.1250304605973227
1103	110-114	-0.12876608799124512
1103	115-119	-0.1554489528971601
1103	120-124	-0.12033457908828638
1103	125-129	-0.17198970456324503
1103	130-134	-0.21103414282340793
1103	135-139	-0.15371339256888916
1103	140-144	-0.1278550269337586
1103	145-149	-0.24019712054137443
1103	150	-0.15858625951810978
1104	1	-0.06114419689271955
1104	2	-0.09663371672695575
1104	3	-0.09322747365860096
1104	4	-0.11239505984777054
1104	5	-0.05938320450196244
1104	6	-0.07641564339080986
1104	7	-0.07198077000796133
1104	8	-0.18194619913357712
1104	9	-0.10147841368559796
1104	10-14	-0.08248258048766388
1104	15-19	-0.08020370795394882
1104	20-24	-0.09959987894243483
1104	25-29	-0.12434812864021438
1104	30-34	-0.13368840007015592
1104	35-39	-0.14461763247527415
1104	40-44	-0.12955909065065896
1104	45-49	-0.1113710545078348
1104	50-54	-0.1760975733176693
1104	55-59	-0.16232336539613357
1104	60-64	-0.17949729264802272
1104	65-69	-0.19373462053818002
1104	70-74	-0.20106138796847262
1104	75-79	-0.22503335042301842
1104	80-84	-0.2262541841379644
1104	85-89	-0.25799741509195684
1104	90-94	-0.2381123314148681
1104	95-99	-0.24430430583720408
1104	100-104	-0.20471880758569228
1104	105-109	-0.18714330064965168
1104	110-114	-0.19913154769920993
1104	115-119	-0.25418951331908346
1104	120-124	-0.24033196631045683
1104	125-129	-0.24830173485722895
1104	130-134	-0.27127508392994315
1104	135-139	-0.18886418596807886
1104	140-144	-0.23858785005440097
1104	145-149	-0.2819582553719897
1104	150	-0.35758793324159655
1105	1	-0.11192983956619429
1105	2	-0.11367186767329684
1105	3	-0.03349993796616246
1105	4	-0.10966596271566686
1105	5	-0.09484135358994905
1105	6	-0.051913701460769346
1105	7	-0.03393018749932253
1105	8	-0.06496492253877761
1105	9	-0.10230602369630759
1105	10-14	-0.09094012096809934
1105	15-19	-0.10442705568683408
1105	20-24	-0.11232168136515952
1105	25-29	-0.10841051557908798
1105	30-34	-0.07911262318634726
1105	35-39	-0.10380300143086174
1105	40-44	-0.11060024701816218
1105	45-49	-0.15787522741621274
1105	50-54	-0.13830564390915612
1105	55-59	-0.15158020833773378
