column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	38181985	2	37	1392944216	36.48	37	37	37	0	37	37	5859392	14781145	11699346	5840329	1773	38181985
2	38181985	2	37	1393170027	36.49	37	37	37	0	37	37	10167436	6506755	9867809	11639935	50	38181985
3	38181985	2	37	1396690376	36.58	37	37	37	0	37	37	10519800	9103598	10235268	8323282	37	38181985
4	38181985	2	37	1397518137	36.60	37	37	37	0	37	37	12709433	8568955	10467669	6435924	4	38181985
5	38181985	2	37	1398053964	36.62	37	37	37	0	37	37	12121821	7845707	10563585	7650851	21	38181985
6	38181985	11	37	1397452303	36.60	37	37	37	0	37	37	12208183	9090948	8525954	8356900	0	38181985
7	38181985	2	37	1396823824	36.58	37	37	37	0	37	37	5542066	9901426	7907073	14831417	3	38181985
8	38181985	11	37	1399122103	36.64	37	37	37	0	37	37	7306653	12253755	8752557	9869020	0	38181985
9	38181985	11	37	1398517941	36.63	37	37	37	0	37	37	7700688	10838993	8849511	10792793	0	38181985
10	38181985	11	37	1398910591	36.64	37	37	37	0	37	37	12887545	7784493	9698840	7811107	0	38181985
11	38181985	11	37	1399856547	36.66	37	37	37	0	37	37	8429869	11430863	11454265	6866988	0	38181985
12	38181985	11	37	1398283797	36.62	37	37	37	0	37	37	7842982	10698197	9567881	10072925	0	38181985
13	38181985	11	37	1397761821	36.61	37	37	37	0	37	37	9244272	9189116	9033734	10714863	0	38181985
14	38181985	11	37	1397722845	36.61	37	37	37	0	37	37	9132775	9411334	9540542	10097334	0	38181985
15	38181985	11	37	1398142049	36.62	37	37	37	0	37	37	9153603	9561239	9771248	9695895	0	38181985
16	38181985	11	37	1398168813	36.62	37	37	37	0	37	37	9142962	9646106	9804394	9588523	0	38181985
17	38181985	11	37	1398047299	36.62	37	37	37	0	37	37	9320636	9496706	9862510	9502133	0	38181985
18	38181985	11	37	1397584455	36.60	37	37	37	0	37	37	9350850	9574234	9692049	9564852	0	38181985
19	38181985	11	37	1397807719	36.61	37	37	37	0	37	37	9258017	9581222	9873872	9468874	0	38181985
20	38181985	11	37	1397873477	36.61	37	37	37	0	37	37	9446094	9469502	9901555	9364834	0	38181985
21	38181985	11	37	1397487999	36.60	37	37	37	0	37	37	9447484	9487135	9742936	9504430	0	38181985
22	38181985	11	37	1396249371	36.57	37	37	37	0	37	37	9517188	9493165	9899278	9272354	0	38181985
23	38181985	2	37	1396812808	36.58	37	37	37	0	37	37	9600028	9448588	9863113	9270255	1	38181985
