column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	40237116	2	37	1472341198	36.59	37	37	37	0	37	37	5910401	15611912	12303700	6384881	26222	40237116
2	40237116	2	37	1469209411	36.51	37	37	37	0	37	37	10395010	7189158	10645292	12003419	4237	40237116
3	40237116	11	37	1471766204	36.58	37	37	37	0	37	37	10817193	9668108	11277679	8474136	0	40237116
4	40237116	11	37	1471432552	36.57	37	37	37	0	37	37	13061649	9197187	11484180	6494100	0	40237116
5	40237116	11	37	1472266110	36.59	37	37	37	0	37	37	12479287	8442808	11467500	7847521	0	40237116
6	40237116	11	37	1470688564	36.55	37	37	37	0	37	37	12537657	9892063	9282545	8524851	0	40237116
7	40237116	11	37	1470565030	36.55	37	37	37	0	37	37	5689772	10644314	8531325	15371705	0	40237116
8	40237116	11	37	1473141998	36.61	37	37	37	0	37	37	7457673	13182376	9369471	10227596	0	40237116
9	40237116	11	37	1472444024	36.59	37	37	37	0	37	37	7942802	11658482	9544557	11091275	0	40237116
10	40237116	11	37	1472922198	36.61	37	37	37	0	37	37	13332585	8372385	10506146	8026000	0	40237116
11	40237116	11	37	1474431532	36.64	37	37	37	0	37	37	8560296	12288262	12295248	7093310	0	40237116
12	40237116	11	37	1472645094	36.60	37	37	37	0	37	37	8047634	11471870	10306928	10410684	0	40237116
13	40237116	11	37	1471344648	36.57	37	37	37	0	37	37	9504094	9898928	9747384	11086710	0	40237116
14	40237116	11	37	1471360256	36.57	37	37	37	0	37	37	9354472	10170050	10256984	10455610	0	40237116
15	40237116	11	37	1471313932	36.57	37	37	37	0	37	37	9396196	10316351	10519372	10005197	0	40237116
16	40237116	11	37	1471471990	36.57	37	37	37	0	37	37	9406201	10370896	10532306	9927713	0	40237116
17	40237116	11	37	1471343210	36.57	37	37	37	0	37	37	9586961	10231090	10588864	9830201	0	40237116
18	40237116	11	37	1471377550	36.57	37	37	37	0	37	37	9603377	10340759	10427769	9865211	0	40237116
19	40237116	11	37	1471410436	36.57	37	37	37	0	37	37	9550078	10304291	10617385	9765362	0	40237116
20	40237116	11	37	1471167734	36.56	37	37	37	0	37	37	9696603	10206681	10639662	9694170	0	40237116
21	40237116	11	37	1470931908	36.56	37	37	37	0	37	37	9703712	10197785	10507082	9828537	0	40237116
22	40237116	11	37	1470430068	36.54	37	37	37	0	37	37	9759720	10226254	10654004	9597138	0	40237116
