##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Control_siRNA_P2_1_fastq_gz.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	39989452
Total Bases	5.9 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.536675796407515	37.0	37.0	37.0	37.0	37.0
2	36.531471148941975	37.0	37.0	37.0	37.0	37.0
3	36.61279484400036	37.0	37.0	37.0	37.0	37.0
4	36.62829853232297	37.0	37.0	37.0	37.0	37.0
5	36.63913021363734	37.0	37.0	37.0	37.0	37.0
6	36.61986135743996	37.0	37.0	37.0	37.0	37.0
7	36.603480862903545	37.0	37.0	37.0	37.0	37.0
8	36.65879712480181	37.0	37.0	37.0	37.0	37.0
9	36.64588141893017	37.0	37.0	37.0	37.0	37.0
10-14	36.64634668161994	37.0	37.0	37.0	37.0	37.0
15-19	36.628171028700265	37.0	37.0	37.0	37.0	37.0
20-24	36.603206465544964	37.0	37.0	37.0	37.0	37.0
25-29	36.56177978132833	37.0	37.0	37.0	37.0	37.0
30-34	36.51996566494584	37.0	37.0	37.0	37.0	37.0
35-39	36.49159901466017	37.0	37.0	37.0	37.0	37.0
40-44	36.46148889462151	37.0	37.0	37.0	37.0	37.0
45-49	36.436085935861286	37.0	37.0	37.0	37.0	37.0
50-54	36.41150726446564	37.0	37.0	37.0	37.0	37.0
55-59	36.38298651354362	37.0	37.0	37.0	37.0	37.0
60-64	36.35963458564024	37.0	37.0	37.0	37.0	37.0
65-69	36.32062856975384	37.0	37.0	37.0	37.0	37.0
70-74	36.30088244270014	37.0	37.0	37.0	37.0	37.0
75-79	36.269436480399875	37.0	37.0	37.0	37.0	37.0
80-84	36.242504278378206	37.0	37.0	37.0	37.0	37.0
85-89	36.210981295767695	37.0	37.0	37.0	37.0	37.0
90-94	36.19682492273213	37.0	37.0	37.0	37.0	37.0
95-99	36.16881438635368	37.0	37.0	37.0	37.0	37.0
100-104	36.14221680257084	37.0	37.0	37.0	37.0	37.0
105-109	36.12306547236506	37.0	37.0	37.0	37.0	37.0
110-114	36.08480508310041	37.0	37.0	37.0	37.0	37.0
115-119	36.04317459514074	37.0	37.0	37.0	37.0	37.0
120-124	36.00605680718005	37.0	37.0	37.0	37.0	37.0
125-129	35.98649030249277	37.0	37.0	37.0	37.0	37.0
130-134	35.93976363567073	37.0	37.0	37.0	37.0	37.0
135-139	35.90762854164643	37.0	37.0	37.0	37.0	37.0
140-144	35.87045962020185	37.0	37.0	37.0	37.0	37.0
145-149	35.82006215539038	37.0	37.0	37.0	37.0	37.0
150	35.766892829639175	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.03852042018714741
1101	2	-0.06016055576052537
1101	3	-0.038885180911627515
1101	4	-0.09903291503169953
1101	5	-0.05829561871949096
1101	6	-0.006722376690731835
1101	7	-0.02633845667153878
1101	8	-0.04730048395310149
1101	9	-0.0364808971915096
1101	10-14	-0.05220786630435015
1101	15-19	-0.047942542096947705
1101	20-24	-0.07934289917292858
1101	25-29	-0.09876293499829103
1101	30-34	-0.08711298266523926
1101	35-39	-0.0858386356520171
1101	40-44	-0.09502371998987513
1101	45-49	-0.09374143191455886
1101	50-54	-0.1262375442971262
1101	55-59	-0.12226293110046527
1101	60-64	-0.13242655158751404
1101	65-69	-0.15541269464603857
1101	70-74	-0.09034252632130091
1101	75-79	-0.12703047344560048
1101	80-84	-0.13396677828780668
1101	85-89	-0.17161348291438827
1101	90-94	-0.160332352399422
1101	95-99	-0.18127165110603727
1101	100-104	-0.1567713794612331
1101	105-109	-0.18837259592584843
1101	110-114	-0.1716581386373619
1101	115-119	-0.2521636007478065
1101	120-124	-0.22832432255408008
1101	125-129	-0.22061349068164304
1101	130-134	-0.23271295647137435
1101	135-139	-0.15430153161798188
1101	140-144	-0.15340698059869595
1101	145-149	-0.25899254603390176
1101	150	-0.2527282646849258
1102	1	-0.024473294856385053
1102	2	-0.06793891013980868
1102	3	-0.09951482976130421
1102	4	-0.03348197228822869
1102	5	-0.01168603560238779
1102	6	-0.054364076511980386
1102	7	-0.042238243328981184
1102	8	-0.0578032804704236
1102	9	-0.05859356512669933
1102	10-14	-0.0726749135280258
1102	15-19	-0.05878207389652346
1102	20-24	-0.07011323879122244
1102	25-29	-0.10034109333306418
1102	30-34	-0.05805284312766901
1102	35-39	-0.09545058283531915
1102	40-44	-0.11277266769211991
1102	45-49	-0.1023149197771005
1102	50-54	-0.08858488904716211
1102	55-59	-0.13095808188175795
1102	60-64	-0.1190937948556865
1102	65-69	-0.17686111764091095
1102	70-74	-0.1291610698258765
1102	75-79	-0.1623023410578881
1102	80-84	-0.15554781963013653
1102	85-89	-0.20539108771171755
1102	90-94	-0.23017321038246763
1102	95-99	-0.20232164245701512
1102	100-104	-0.215207636164223
1102	105-109	-0.21257890394637968
1102	110-114	-0.1555058005182346
1102	115-119	-0.24263468418204326
1102	120-124	-0.22577170766624022
1102	125-129	-0.20820358466769306
1102	130-134	-0.2986225453544975
1102	135-139	-0.12451199116938483
1102	140-144	-0.1624238750229594
1102	145-149	-0.24354798626916363
1102	150	-0.17871281176444143
1103	1	-0.09074484664556337
1103	2	-0.10408379750515451
1103	3	-0.044714670469602424
1103	4	-0.06694916328001455
1103	5	-0.03230233610697297
1103	6	-0.07132569718311288
1103	7	-0.08575906308974623
1103	8	-0.06852275723654344
1103	9	-0.09316074521818507
1103	10-14	-0.05049379780288632
1103	15-19	-0.05052398947458414
1103	20-24	-0.09656371248365048
