##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	KRAS_siRNA_P1_1.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	39963282
Total Bases	5.9 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.47666445413567	37.0	37.0	37.0	37.0	37.0
2	36.48160158617603	37.0	37.0	37.0	37.0	37.0
3	36.57458841843871	37.0	37.0	37.0	37.0	37.0
4	36.59469072134766	37.0	37.0	37.0	37.0	37.0
5	36.608970954888036	37.0	37.0	37.0	37.0	37.0
6	36.590172648983135	37.0	37.0	37.0	37.0	37.0
7	36.572068029848	37.0	37.0	37.0	37.0	37.0
8	36.63497007077647	37.0	37.0	37.0	37.0	37.0
9	36.618512513561825	37.0	37.0	37.0	37.0	37.0
10-14	36.62050873599421	37.0	37.0	37.0	37.0	37.0
15-19	36.60342494392727	37.0	37.0	37.0	37.0	37.0
20-24	36.578080373879196	37.0	37.0	37.0	37.0	37.0
25-29	36.53826529062353	37.0	37.0	37.0	37.0	37.0
30-34	36.49667789547415	37.0	37.0	37.0	37.0	37.0
35-39	36.47192993808667	37.0	37.0	37.0	37.0	37.0
40-44	36.44474464334536	37.0	37.0	37.0	37.0	37.0
45-49	36.42030047482086	37.0	37.0	37.0	37.0	37.0
50-54	36.39931957540424	37.0	37.0	37.0	37.0	37.0
55-59	36.37188252956802	37.0	37.0	37.0	37.0	37.0
60-64	36.35204776224335	37.0	37.0	37.0	37.0	37.0
65-69	36.31316996436879	37.0	37.0	37.0	37.0	37.0
70-74	36.296759540420126	37.0	37.0	37.0	37.0	37.0
75-79	36.26661685093832	37.0	37.0	37.0	37.0	37.0
80-84	36.2426316036806	37.0	37.0	37.0	37.0	37.0
85-89	36.21258511750862	37.0	37.0	37.0	37.0	37.0
90-94	36.2010511148709	37.0	37.0	37.0	37.0	37.0
95-99	36.17458952445397	37.0	37.0	37.0	37.0	37.0
100-104	36.15061734919569	37.0	37.0	37.0	37.0	37.0
105-109	36.13394268268557	37.0	37.0	37.0	37.0	37.0
110-114	36.096526296313705	37.0	37.0	37.0	37.0	37.0
115-119	36.055008455011276	37.0	37.0	37.0	37.0	37.0
120-124	36.020853802748235	37.0	37.0	37.0	37.0	37.0
125-129	36.004749970235174	37.0	37.0	37.0	37.0	37.0
130-134	35.959011769854136	37.0	37.0	37.0	37.0	37.0
135-139	35.928718637273086	37.0	37.0	37.0	37.0	37.0
140-144	35.89191745562839	37.0	37.0	37.0	37.0	37.0
145-149	35.84416706315562	37.0	37.0	37.0	37.0	37.0
150	35.79175146325569	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.0063892374370908556
1101	2	-0.04051969066423311
1101	3	0.01140756543804855
1101	4	-0.0982653568679055
1101	5	-0.03797517934112449
1101	6	-0.04210617045815468
1101	7	-0.004482578608254073
1101	8	-0.01314885206321037
1101	9	-0.022400335772921665
1101	10-14	-0.029627388683536537
1101	15-19	-0.048020301476555005
1101	20-24	-0.0559974856655856
1101	25-29	-0.07046392161407766
1101	30-34	-0.04322202494844163
1101	35-39	-0.0699179787676556
1101	40-44	-0.08393834356389362
1101	45-49	-0.07583252924379025
1101	50-54	-0.09634029875255123
1101	55-59	-0.09028254490574028
1101	60-64	-0.08469556770888431
1101	65-69	-0.11714293402831544
1101	70-74	-0.10540826218589672
1101	75-79	-0.12603723585726812
1101	80-84	-0.12859747302766777
1101	85-89	-0.15261437695326663
1101	90-94	-0.18469370031383647
1101	95-99	-0.15760571265581547
1101	100-104	-0.14921321694298229
1101	105-109	-0.1656479643008666
1101	110-114	-0.152138021131087
1101	115-119	-0.2141801181946832
1101	120-124	-0.1966381154567145
1101	125-129	-0.21799864955832504
1101	130-134	-0.25790163596747817
1101	135-139	-0.1268481534884316
1101	140-144	-0.17755146462446447
1101	145-149	-0.25563812644843864
1101	150	-0.3147112474368967
1102	1	-0.014524348643249141
1102	2	-0.08351751828847398
1102	3	-0.12827392553435857
1102	4	-0.10951656171005908
1102	5	-0.07862400235647016
1102	6	-0.05952591253547013
1102	7	-0.100965850423826
1102	8	-0.14907095969414996
1102	9	-0.10894847334101598
1102	10-14	-0.11658165591990866
1102	15-19	-0.11334607403418318
1102	20-24	-0.14780112190732098
1102	25-29	-0.1582918492558676
1102	30-34	-0.15355923647851455
1102	35-39	-0.16304727554295084
1102	40-44	-0.17959408003407162
1102	45-49	-0.19457048480035866
1102	50-54	-0.1888061499773812
1102	55-59	-0.2141272277832158
1102	60-64	-0.21219970337003247
1102	65-69	-0.22923442543991257
1102	70-74	-0.18242654650764223
1102	75-79	-0.2296936546558399
1102	80-84	-0.2746169376332688
1102	85-89	-0.26838399182598494
1102	90-94	-0.27479983250689344
1102	95-99	-0.2876889053756102
1102	100-104	-0.2613439167772498
1102	105-109	-0.27637963632579243
1102	110-114	-0.28807935107315075
1102	115-119	-0.32626626300319117
1102	120-124	-0.27706239811549693
1102	125-129	-0.2604029830225514
1102	130-134	-0.3507441256768544
1102	135-139	-0.2558222655332827
1102	140-144	-0.2979544627109263
1102	145-149	-0.34315675734463014
1102	150	-0.38305239805558244
1103	1	-0.017207449164551747
1103	2	-0.03967113858294624
1103	3	-0.008608186523844097
1103	4	-0.05343268570195647
1103	5	-0.03132959357331799
1103	6	-0.058289400489954346
1103	7	-0.07777254173909398
1103	8	-0.08809001705508734
1103	9	-0.055507424134425776
1103	10-14	-0.08613026099336452
1103	15-19	-0.054235900103421386
1103	20-24	-0.0896950697740806
1103	25-29	-0.13343099087595078
1103	30-34	-0.08022427586919889
1103	35-39	-0.1102880495276537
1103	40-44	-0.10779507201932859
1103	45-49	-0.11094569763200468
1103	50-54	-0.07667344698219125
1103	55-59	-0.09618814287288302
1103	60-64	-0.1227642892187717
1103	65-69	-0.17671237897982195
1103	70-74	-0.1381522313173491
1103	75-79	-0.1697836664195691
1103	80-84	-0.19086926119559422
1103	85-89	-0.19685176999290377
1103	90-94	-0.2075644900319702
1103	95-99	-0.1690032327786426
1103	100-104	-0.2127651028764035
1103	105-109	-0.2203912199183975
1103	110-114	-0.1890758807302575
1103	115-119	-0.21555304535883124
1103	120-124	-0.21023779315851243
1103	125-129	-0.188103057011908
1103	130-134	-0.23792785792410598
1103	135-139	-0.153215929987347
1103	140-144	-0.16255780874952563
1103	145-149	-0.24664503293007556
1103	150	-0.31507280812368776
1104	1	-0.07204360693897627
1104	2	-0.056819876052223606
1104	3	0.02786880216920906
1104	4	-0.011941836929743488
1104	5	-0.048970512431090185
1104	6	-0.03229456474046799
1104	7	-0.10101764843295769
1104	8	-0.11555692753545088
1104	9	-0.11597295561301024
1104	10-14	-0.08710357097934462
1104	15-19	-0.09008387023116882
1104	20-24	-0.11262421159914737
1104	25-29	-0.16578305379785974
1104	30-34	-0.11682392034380484
1104	35-39	-0.11650834288683853
1104	40-44	-0.14788896880099145
1104	45-49	-0.1590092848823801
1104	50-54	-0.1523256824484278
1104	55-59	-0.13928599498340333
1104	60-64	-0.1410774956008325
1104	65-69	-0.19024628604360316
1104	70-74	-0.1846117022425915
1104	75-79	-0.18746454443879657
1104	80-84	-0.18057106776522858
1104	85-89	-0.21849296571402732
1104	90-94	-0.2253029754396323
1104	95-99	-0.17616312209127472
1104	100-104	-0.20916976886950778
1104	105-109	-0.23573285625330698
1104	110-114	-0.21309237560151928
1104	115-119	-0.24488079890502945
1104	120-124	-0.24154155622919404
1104	125-129	-0.2815992565429326
1104	130-134	-0.2946972152870586
1104	135-139	-0.22464389743826274
1104	140-144	-0.20643208621106623
1104	145-149	-0.2959822036958215
1104	150	-0.308063405882784
1105	1	-0.028569770273200845
1105	2	-0.06665923232671389
1105	3	-0.10768045382041436
1105	4	-0.07860313410338193
1105	5	-0.012473900485311162
1105	6	-0.07644737859452988
1105	7	-0.03991389640381726
1105	8	-0.04166371428699733
1105	9	-0.06630298766697251
1105	10-14	-0.05848966245824272
1105	15-19	-0.04408675537483475
1105	20-24	-0.07872540353071855
1105	25-29	-0.07404675151841644
1105	30-34	-0.0643427830851735
1105	35-39	-0.08748776718130102
1105	40-44	-0.12528565639910028
1105	45-49	-0.14837028165204913
1105	50-54	-0.15566565094101037
1105	55-59	-0.14864370293859253
1105	60-64	-0.12626742703432825
1105	65-69	-0.12424605975782299
1105	70-74	-0.15266818067976118
1105	75-79	-0.1797396897267305
1105	80-84	-0.18744687139135863
1105	85-89	-0.2060308518021472
1105	90-94	-0.19435072461526204
1105	95-99	-0.15054910618032125
1105	100-104	-0.16034453723820974
1105	105-109	-0.2266990198176444
1105	110-114	-0.14029408348383754
1105	115-119	-0.17891072807566388
1105	120-124	-0.16012338202941123
1105	125-129	-0.18541576754225275
1105	130-134	-0.2553294347382362
1105	135-139	-0.16867455532580777
1105	140-144	-0.13543408442954785
1105	145-149	-0.2265291057380452
1105	150	-0.25457918020683223
1106	1	-0.08323537810087345
1106	2	-0.06999162598223307
1106	3	-0.04443882325134041
1106	4	-0.05037900936192585
1106	5	-0.006947114354197481
1106	6	-0.003019735995437145
1106	7	-0.01760401071855
1106	8	-0.09304833014920888
1106	9	-0.11305404862531532
1106	10-14	-0.09437456135810152
1106	15-19	-0.07589197198370101
1106	20-24	-0.06830885402527542
1106	25-29	-0.08682894888633541
1106	30-34	-0.07481010146079825
1106	35-39	-0.09903856870738537
1106	40-44	-0.1265330995978431
1106	45-49	-0.12365334019231256
1106	50-54	-0.14257778963220602
1106	55-59	-0.13037899295098043
1106	60-64	-0.14858036935900287
1106	65-69	-0.16009064922548788
1106	70-74	-0.15124392999521064
1106	75-79	-0.14942102671037105
1106	80-84	-0.17964183818085644
1106	85-89	-0.23421096571212274
1106	90-94	-0.1996280603146232
1106	95-99	-0.1964501825830567
1106	100-104	-0.20778410622340004
1106	105-109	-0.14449922807509807
1106	110-114	-0.18002686155951153
1106	115-119	-0.20774286137952203
1106	120-124	-0.17655771425101108
1106	125-129	-0.2040500682183719
1106	130-134	-0.30771249708734416
1106	135-139	-0.12176368943836735
1106	140-144	-0.17130083453291434
1106	145-149	-0.2361167328437972
1106	150	-0.24229065398343153
1107	1	-0.11282704817003975
1107	2	0.025413483462116915
1107	3	-0.09938216290215962
1107	4	-0.03092298708840957
1107	5	0.03466006256102361
1107	6	-0.038260757807073276
1107	7	-0.010269990066525736
1107	8	-0.02288106456759209
1107	9	-0.06092585160237718
1107	10-14	-0.058044505268235014
1107	15-19	-0.0620016985286469
1107	20-24	-0.036270483082795124
1107	25-29	-0.08583630897256
1107	30-34	-0.08765868103468222
1107	35-39	-0.029922047554407527
1107	40-44	-0.07368172762836167
1107	45-49	-0.08929242982066654
1107	50-54	-0.10172204950648478
1107	55-59	-0.12584700973408047
1107	60-64	-0.08377313968512823
1107	65-69	-0.1410604491776155
1107	70-74	-0.12433624201971583
1107	75-79	-0.12773202922562632
1107	80-84	-0.12452985666183736
1107	85-89	-0.12928180223551777
1107	90-94	-0.1345284617546767
1107	95-99	-0.12126275932038055
1107	100-104	-0.12421429515718785
1107	105-109	-0.17206772669123183
1107	110-114	-0.15714374690652022
1107	115-119	-0.19122757919823385
1107	120-124	-0.14040620736200538
1107	125-129	-0.09401343944594487
1107	130-134	-0.17888080149081276
1107	135-139	-0.09737965612463739
1107	140-144	-0.074383879400159
1107	145-149	-0.0855134263650541
1107	150	-0.10681095716712008
1108	1	0.049469555134045606
1108	2	0.020813720409556424
1108	3	-0.035231527748116775
1108	4	-0.1146158911213746
1108	5	-0.05121705651247055
1108	6	-0.08072362535233424
1108	7	-0.09977329568261695
1108	8	-0.11729157210194074
1108	9	-0.003162503121536986
1108	10-14	-0.04889644411564831
1108	15-19	-0.060892072179349555
1108	20-24	-0.07019335265372462
1108	25-29	-0.10426703377838464
1108	30-34	-0.0776840929857272
1108	35-39	-0.06554970121602821
1108	40-44	-0.10956381137518179
1108	45-49	-0.0941925277180502
1108	50-54	-0.12192217001552308
1108	55-59	-0.08833968522021252
1108	60-64	-0.08714589721847688
1108	65-69	-0.09559599411285546
1108	70-74	-0.11487875191069463
1108	75-79	-0.11862682136020908
1108	80-84	-0.1493703983802135
1108	85-89	-0.1232893495641676
1108	90-94	-0.1556035588236142
1108	95-99	-0.16503188624074028
1108	100-104	-0.10932450864358145
1108	105-109	-0.17155963843480748
1108	110-114	-0.1307175008903556
1108	115-119	-0.18287625388676076
1108	120-124	-0.12052317464343076
1108	125-129	-0.13082309845385254
1108	130-134	-0.1615929315189959
1108	135-139	-0.07246569814986259
1108	140-144	-0.09368761479745302
1108	145-149	-0.17140885427330232
1108	150	-0.17224230616790948
1109	1	-0.034629135399526945
1109	2	-0.038810999584967476
1109	3	-0.020249714682925912
1109	4	0.005428852807597195
1109	5	-0.010465070447459368
1109	6	-0.008218386501923192
1109	7	-0.06505160816475808
1109	8	-0.01727926912311517
1109	9	0.018554805271428165
1109	10-14	-0.03776411092629672
1109	15-19	-0.06167988992868345
1109	20-24	-0.07621477692105572
1109	25-29	-0.03237934039946566
1109	30-34	-0.03495052057677128
1109	35-39	-0.05066939662417269
1109	40-44	-0.042308290368943346
1109	45-49	-0.05823521537674026
1109	50-54	-0.06584427899048961
1109	55-59	-0.07583779439354288
1109	60-64	-0.0797722011770361
1109	65-69	-0.10988022709211975
1109	70-74	-0.06281988933472604
1109	75-79	-0.09534207549975804
1109	80-84	-0.1144855688547679
1109	85-89	-0.10773768434946618
1109	90-94	-0.11801496877465212
1109	95-99	-0.17210942098954263
1109	100-104	-0.07833367276116121
1109	105-109	-0.1347082305386209
1109	110-114	-0.1361285811405395
1109	115-119	-0.10483412881944787
1109	120-124	-0.13606740112359716
1109	125-129	-0.0986213504817357
1109	130-134	-0.18278967086182263
1109	135-139	-0.07140310991870535
1109	140-144	-0.12548298481991793
1109	145-149	-0.07475026976602095
1109	150	-0.17513611627470027
1110	1	0.030440368341004387
1110	2	-0.023176584595802296
1110	3	-0.02898016125266878
1110	4	-0.05078621802881145
1110	5	-0.07153107686905003
1110	6	-0.01612233683504627
1110	7	-0.057409433201712545
1110	8	-0.0996821100046219
1110	9	0.0171481196236698
1110	10-14	-0.062462379115643785
1110	15-19	-0.04231669897259849
1110	20-24	-0.03159564104631585
1110	25-29	-0.06699166059548389
1110	30-34	-0.049855724575934346
1110	35-39	-0.041210357806214404
1110	40-44	-0.06303285603600983
1110	45-49	-0.06525260392468368
1110	50-54	-0.057027160975493985
1110	55-59	-0.047770667573374226
1110	60-64	-0.08245192424724479
1110	65-69	-0.05542657132768625
1110	70-74	-0.0529590967169824
1110	75-79	-0.05493742789224143
1110	80-84	-0.017381851549323812
1110	85-89	-0.11226468481304863
1110	90-94	-0.08668464538211396
1110	95-99	-0.10403464080945923
1110	100-104	-0.07299259849216355
1110	105-109	-0.100257401948177
1110	110-114	-0.08727734665549036
1110	115-119	-0.109075080196817
1110	120-124	-0.06793560150836697
1110	125-129	-0.09539718223727789
1110	130-134	-0.10530092482295572
1110	135-139	-0.09387566872059239
1110	140-144	-0.06298363925834849
1110	145-149	-0.10870696164879234
1110	150	-0.02864995086503086
1111	1	0.057710299490373984
1111	2	-0.06317595416550859
1111	3	-0.003662414830834848
1111	4	0.008888308002227063
1111	5	-0.0159906452726446
1111	6	0.007947205357936582
1111	7	-0.044308422984919105
1111	8	-0.051392582024973876
1111	9	-0.034490808109914894
1111	10-14	-0.0482483728648333
1111	15-19	-0.06698811106004143
1111	20-24	-0.05355333726297573
1111	25-29	-0.09844554748482182
1111	30-34	-0.08010291056434227
1111	35-39	-0.10348225666227506
1111	40-44	-0.09712662203556732
1111	45-49	-0.08542895247240523
1111	50-54	-0.13139797243480444
1111	55-59	-0.12750262007331514
1111	60-64	-0.13980321911287064
1111	65-69	-0.09356215969108206
1111	70-74	-0.12477790722874005
1111	75-79	-0.15005541387758825
1111	80-84	-0.16237824090306674
1111	85-89	-0.19755913396979707
1111	90-94	-0.18940227756232986
1111	95-99	-0.13984021610575326
1111	100-104	-0.11011978493905161
1111	105-109	-0.1474766312184812
1111	110-114	-0.1601524144745028
1111	115-119	-0.14767766457895704
1111	120-124	-0.11090038146908654
1111	125-129	-0.11081445067831197
1111	130-134	-0.17499136444301655
1111	135-139	-0.1291454737839004
1111	140-144	-0.12966902779445633
1111	145-149	-0.09536065673449201
1111	150	-0.05007741699373014
1112	1	0.029633705954637435
1112	2	0.019899476698462593
1112	3	-0.03743157720542456
1112	4	-0.04840282597422885
1112	5	-0.05978706771713149
1112	6	-0.06759425715772238
1112	7	-0.07210339426065815
1112	8	-0.0526639226000043
1112	9	-0.06686832232731632
1112	10-14	-0.06986275468045022
1112	15-19	-0.036762745710944955
1112	20-24	-0.03659955660172187
1112	25-29	-0.08155477301998815
1112	30-34	-0.03909082167253075
1112	35-39	-0.05839136081643659
1112	40-44	-0.0893225134140394
1112	45-49	-0.1050106849208845
1112	50-54	-0.08874579269058103
1112	55-59	-0.08945698448263073
1112	60-64	-0.08360533430710859
1112	65-69	-0.06243152652223216
1112	70-74	-0.055418843309773536
1112	75-79	-0.1309251213088416
1112	80-84	-0.05790082085725601
1112	85-89	-0.14286466577876666
1112	90-94	-0.09869672877160696
1112	95-99	-0.11020863350203314
1112	100-104	-0.050944953840044604
1112	105-109	-0.07606426965361379
1112	110-114	-0.08897663972985725
1112	115-119	-0.1069444963031998
1112	120-124	-0.06404509502728928
1112	125-129	-0.08497071762389652
1112	130-134	-0.09516453982023165
1112	135-139	-0.02512791213334964
1112	140-144	-0.042838191230408995
1112	145-149	-0.06777752329065123
1112	150	0.06989740464953087
1113	1	-0.12112342729312076
1113	2	-0.03779537353433682
1113	3	-0.1241651946971416
1113	4	-0.029422627651236155
1113	5	-0.07472341172566388
1113	6	-0.004783299751821346
1113	7	-0.04331383081488127
1113	8	-0.10287450465398251
1113	9	-0.08770462399052548
1113	10-14	-0.0718763408181573
1113	15-19	-0.06355790555200258
1113	20-24	-0.06342213731800683
1113	25-29	-0.10471038546010192
1113	30-34	-0.06689723198461905
1113	35-39	-0.07264130112771028
1113	40-44	-0.07289211825567321
1113	45-49	-0.08258656962613031
1113	50-54	-0.11468850154327015
1113	55-59	-0.10585022254311838
1113	60-64	-0.09592722469983528
1113	65-69	-0.15121419609422304
1113	70-74	-0.10904645296624693
1113	75-79	-0.1487960787908449
1113	80-84	-0.14720592454048642
1113	85-89	-0.1288818072080815
1113	90-94	-0.08953479829609279
1113	95-99	-0.12702042041960482
1113	100-104	-0.13000797407791254
1113	105-109	-0.14835757106599345
1113	110-114	-0.14278287162506587
1113	115-119	-0.171577540668423
1113	120-124	-0.09592168127811362
1113	125-129	-0.16592941423601104
1113	130-134	-0.16477595883905138
1113	135-139	-0.10597400196184026
1113	140-144	-0.1199038845808218
1113	145-149	-0.12953745183691723
1113	150	-0.09284440262411664
1114	1	-0.07175502632180297
1114	2	-0.032501430400863285
1114	3	0.01626947299948256
1114	4	-0.08671808546654347
1114	5	-0.01095851358468991
1114	6	0.01862516101402889
1114	7	-0.051018193724907235
1114	8	-0.08810759727514039
1114	9	-0.05863066010355311
1114	10-14	-0.06288668292413746
1114	15-19	-0.06517145623583076
1114	20-24	-0.058057815639635635
1114	25-29	-0.0629303529062426
1114	30-34	-0.036281197325450876
1114	35-39	-0.041664429677929604
1114	40-44	-0.05367359544565886
1114	45-49	-0.052780221063834176
1114	50-54	-0.04471425506797999
1114	55-59	-0.08929482871298688
1114	60-64	-0.0694000806239714
1114	65-69	-0.0381122314707838
1114	70-74	-0.0715014417869142
1114	75-79	-0.053631372269535404
1114	80-84	-0.10104070954476896
1114	85-89	-0.09761560308518824
1114	90-94	-0.0941891015159726
1114	95-99	-0.07847850441363846
1114	100-104	-0.09494785201077605
1114	105-109	-0.05456469548668963
1114	110-114	-0.0803137617094194
