##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	KRAS_siRNA_M2_1.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	44032049
Total Bases	6.6 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	52
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.46395976258111	37.0	37.0	37.0	37.0	37.0
2	36.4781686630118	37.0	37.0	37.0	37.0	37.0
3	36.572361258954814	37.0	37.0	37.0	37.0	37.0
4	36.592954986037554	37.0	37.0	37.0	37.0	37.0
5	36.60833328469452	37.0	37.0	37.0	37.0	37.0
6	36.59044901589749	37.0	37.0	37.0	37.0	37.0
7	36.574994568161024	37.0	37.0	37.0	37.0	37.0
8	36.63535841813766	37.0	37.0	37.0	37.0	37.0
9	36.62253762026836	37.0	37.0	37.0	37.0	37.0
10-14	36.6228850217713	37.0	37.0	37.0	37.0	37.0
15-19	36.605332297845145	37.0	37.0	37.0	37.0	37.0
20-24	36.58050722100169	37.0	37.0	37.0	37.0	37.0
25-29	36.539228047279835	37.0	37.0	37.0	37.0	37.0
30-34	36.49750341166272	37.0	37.0	37.0	37.0	37.0
35-39	36.47061656839999	37.0	37.0	37.0	37.0	37.0
40-44	36.442880779861056	37.0	37.0	37.0	37.0	37.0
45-49	36.41708401532711	37.0	37.0	37.0	37.0	37.0
50-54	36.39373891049222	37.0	37.0	37.0	37.0	37.0
55-59	36.367055691639514	37.0	37.0	37.0	37.0	37.0
60-64	36.34518632099088	37.0	37.0	37.0	37.0	37.0
65-69	36.30594456778516	37.0	37.0	37.0	37.0	37.0
70-74	36.288095141790926	37.0	37.0	37.0	37.0	37.0
75-79	36.258588197882865	37.0	37.0	37.0	37.0	37.0
80-84	36.232321539249746	37.0	37.0	37.0	37.0	37.0
85-89	36.20288408109285	37.0	37.0	37.0	37.0	37.0
90-94	36.190529779797444	37.0	37.0	37.0	37.0	37.0
95-99	36.165317198843056	37.0	37.0	37.0	37.0	37.0
100-104	36.140631179802696	37.0	37.0	37.0	37.0	37.0
105-109	36.12438423203971	37.0	37.0	37.0	37.0	37.0
110-114	36.08571443495622	37.0	37.0	37.0	37.0	37.0
115-119	36.042742417006295	37.0	37.0	37.0	37.0	37.0
120-124	36.00902924140551	37.0	37.0	37.0	37.0	37.0
125-129	35.99067895750206	37.0	37.0	37.0	37.0	37.0
130-134	35.944399475936265	37.0	37.0	37.0	37.0	37.0
135-139	35.91346816043015	37.0	37.0	37.0	37.0	37.0
140-144	35.87700304839323	37.0	37.0	37.0	37.0	37.0
145-149	35.8247774115622	37.0	37.0	37.0	37.0	37.0
150	35.77140984286241	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.01615474340027845
1101	2	-0.04845926308998827
1101	3	-0.042853373395963956
1101	4	-0.12003171443991789
1101	5	-0.060596346213166896
1101	6	-0.030406568163293457
1101	7	-0.03539187581539238
1101	8	-0.04681764882438699
1101	9	-0.023636693191456004
1101	10-14	-0.05983464454953946
1101	15-19	-0.056154489586234035
1101	20-24	-0.06372423581517239
1101	25-29	-0.1040477547634211
1101	30-34	-0.07581426504727773
1101	35-39	-0.08102509488966803
1101	40-44	-0.11210204022697923
1101	45-49	-0.1388020053909429
1101	50-54	-0.12540817033517015
1101	55-59	-0.13827879729667103
1101	60-64	-0.14651220965920686
1101	65-69	-0.15116981632530724
1101	70-74	-0.15915924908737367
1101	75-79	-0.16213879763834882
1101	80-84	-0.16624555436030164
1101	85-89	-0.20535990513442215
1101	90-94	-0.19351102255788533
1101	95-99	-0.19280660010834083
1101	100-104	-0.18461049975016408
1101	105-109	-0.18899876166964447
1101	110-114	-0.18316496311702934
1101	115-119	-0.26044141298849155
1101	120-124	-0.23430096619478036
1101	125-129	-0.24930435779615578
1101	130-134	-0.2748012598741312
1101	135-139	-0.18891758270679304
1101	140-144	-0.23134227790681194
1101	145-149	-0.3333330895814157
1101	150	-0.3568935290641164
1102	1	-0.004725372814064599
1102	2	-0.06685368084195886
1102	3	-0.09322357285059013
1102	4	-0.057710398021654896
1102	5	0.020670464378895304
1102	6	-0.017765193933492185
1102	7	-0.10019801873967538
1102	8	-0.07231192974563783
1102	9	-0.08537467080244454
1102	10-14	-0.04784433107126773
1102	15-19	-0.04509307122215489
1102	20-24	-0.09408586850612721
1102	25-29	-0.09076826625801004
1102	30-34	-0.10271847034334058
1102	35-39	-0.09864620360793452
1102	40-44	-0.1240727928174934
1102	45-49	-0.14528947699733408
1102	50-54	-0.1515561901596314
1102	55-59	-0.11110678928829287
1102	60-64	-0.14650887546416413
1102	65-69	-0.1834519868854585
1102	70-74	-0.13079728638169996
1102	75-79	-0.1728051284218779
1102	80-84	-0.19490637388135212
1102	85-89	-0.23290197972787752
1102	90-94	-0.23741133485944488
1102	95-99	-0.2417956954220628
1102	100-104	-0.18857331305342484
1102	105-109	-0.18647007575854246
1102	110-114	-0.2141515227816413
1102	115-119	-0.2394878655918049
1102	120-124	-0.2824283713929816
1102	125-129	-0.25594127441894443
1102	130-134	-0.314700243314185
1102	135-139	-0.22305398923511177
1102	140-144	-0.23666364074636448
1102	145-149	-0.3052306314699891
1102	150	-0.21474126505432878
1103	1	-0.0998780182173391
1103	2	-0.013537960040814312
1103	3	-0.0933562289868064
1103	4	-0.04548440095243933
1103	5	-0.09210998815972005
1103	6	-0.07494816985983732
1103	7	-0.12559787936791622
1103	8	-0.09437686630458586
1103	9	-0.13353226127312467
1103	10-14	-0.07527812195701244
1103	15-19	-0.11043488638372878
1103	20-24	-0.09824591073122235
1103	25-29	-0.10723840643081672
1103	30-34	-0.09413881552836045
1103	35-39	-0.0808463299700577
1103	40-44	-0.11768653669588502
1103	45-49	-0.11925699265658807
1103	50-54	-0.1073596627288751
1103	55-59	-0.1427543473814339
1103	60-64	-0.13171682788583183
1103	65-69	-0.16018062734024596
1103	70-74	-0.13387273043092307
1103	75-79	-0.18075061362613098
1103	80-84	-0.15158883012490776
1103	85-89	-0.1453138058091099
1103	90-94	-0.18007059700823902
1103	95-99	-0.1238786447067568
1103	100-104	-0.11252404467485633
1103	105-109	-0.18827029431241726
1103	110-114	-0.14324457441082217
1103	115-119	-0.16088453243447987
1103	120-124	-0.1458241566721341
1103	125-129	-0.14664462397884392
1103	130-134	-0.19512833866919976
1103	135-139	-0.11434342494813166
1103	140-144	-0.14336923527171308
1103	145-149	-0.21424418678895307
1103	150	-0.24069498889226537
1104	1	-0.023512156958901187
1104	2	-0.027296841755251933
1104	3	-0.05768875912663418
1104	4	-0.07900032691078707
1104	5	-0.10000274797791064
1104	6	-0.10133231614480565
1104	7	-0.13581272112155318
1104	8	-0.07769604676479247
1104	9	-0.07129563960283036
1104	10-14	-0.13804233142428757
1104	15-19	-0.07809555394648982
1104	20-24	-0.09566597053250803
1104	25-29	-0.13405361459845722
1104	30-34	-0.1278909282404257
1104	35-39	-0.1338099634032588
1104	40-44	-0.180123770945535
1104	45-49	-0.18481033630445154
1104	50-54	-0.125290592447044
1104	55-59	-0.14477169043554028
1104	60-64	-0.16838926321700853
1104	65-69	-0.17307672137022223
1104	70-74	-0.16470783021028979
1104	75-79	-0.2317536542271128
1104	80-84	-0.17820667594416761
1104	85-89	-0.16009709492492874
1104	90-94	-0.20163978374842628
1104	95-99	-0.190211389778014
1104	100-104	-0.17117497784539637
1104	105-109	-0.10942623103021276
1104	110-114	-0.16975484551228703
1104	115-119	-0.2168313824379524
1104	120-124	-0.21480775246905637
1104	125-129	-0.21929752244911782
1104	130-134	-0.23833742449169648
1104	135-139	-0.12242402433432176
1104	140-144	-0.18651139408206774
1104	145-149	-0.20827346294715454
1104	150	-0.19551519290271813
1105	1	-0.0034725816720495573
1105	2	-0.07209748655821357
1105	3	-0.019760684781779503
1105	4	-0.054987774286964
1105	5	-0.12180658901781527
1105	6	-0.06011531294262795
1105	7	-0.0766176463894368
1105	8	-0.13009014959844478
1105	9	-0.06720724301098358
1105	10-14	-0.07436177032925428
1105	15-19	-0.07089389749449282
1105	20-24	-0.08667767749118127
1105	25-29	-0.05875156745896959
1105	30-34	-0.059466799169307194
1105	35-39	-0.06593515274208528
1105	40-44	-0.07784888268459156
