##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	KRAS_siRNA_P1_2.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	39963282
Total Bases	5.9 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.56600038505346	37.0	37.0	37.0	37.0	37.0
2	36.48294989885966	37.0	37.0	37.0	37.0	37.0
3	36.552994321137085	37.0	37.0	37.0	37.0	37.0
4	36.54634456699527	37.0	37.0	37.0	37.0	37.0
5	36.56917132081394	37.0	37.0	37.0	37.0	37.0
6	36.528040514790554	37.0	37.0	37.0	37.0	37.0
7	36.521575880579576	37.0	37.0	37.0	37.0	37.0
8	36.594677083829104	37.0	37.0	37.0	37.0	37.0
9	36.57603632254228	37.0	37.0	37.0	37.0	37.0
10-14	36.57905714550672	37.0	37.0	37.0	37.0	37.0
15-19	36.55249075889212	37.0	37.0	37.0	37.0	37.0
20-24	36.53268675981117	37.0	37.0	37.0	37.0	37.0
25-29	36.49917297583316	37.0	37.0	37.0	37.0	37.0
30-34	36.472698783848635	37.0	37.0	37.0	37.0	37.0
35-39	36.443487524373	37.0	37.0	37.0	37.0	37.0
40-44	36.422523040024586	37.0	37.0	37.0	37.0	37.0
45-49	36.39982899802874	37.0	37.0	37.0	37.0	37.0
50-54	36.38326132473304	37.0	37.0	37.0	37.0	37.0
55-59	36.36217262636237	37.0	37.0	37.0	37.0	37.0
60-64	36.32138740256618	37.0	37.0	37.0	37.0	37.0
65-69	36.29747616324404	37.0	37.0	37.0	37.0	37.0
70-74	36.26246025539143	37.0	37.0	37.0	37.0	37.0
75-79	36.24534772694595	37.0	37.0	37.0	37.0	37.0
80-84	36.22809060577157	37.0	37.0	37.0	37.0	37.0
85-89	36.22071979974017	37.0	37.0	37.0	37.0	37.0
90-94	36.17110622195644	37.0	37.0	37.0	37.0	37.0
95-99	36.136177058731064	37.0	37.0	37.0	37.0	37.0
100-104	36.110435689441125	37.0	37.0	37.0	37.0	37.0
105-109	36.06421815405451	37.0	37.0	37.0	37.0	37.0
110-114	36.06433385526244	37.0	37.0	37.0	37.0	37.0
115-119	36.00574892222316	37.0	37.0	37.0	37.0	37.0
120-124	35.99787908310433	37.0	37.0	37.0	37.0	37.0
125-129	35.9563522935879	37.0	37.0	37.0	37.0	37.0
130-134	35.92034917452475	37.0	37.0	37.0	37.0	37.0
135-139	35.864867259901224	37.0	37.0	37.0	37.0	37.0
140-144	35.77956389567804	37.0	37.0	37.0	37.0	37.0
145-149	35.73810223094289	37.0	37.0	37.0	37.0	37.0
150	35.674756117377946	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.062894747435422
1101	2	-0.08798737756122677
1101	3	-0.07860225347315719
1101	4	-0.08270016086884624
1101	5	-0.060594590151531236
1101	6	-0.0841985969697987
1101	7	-0.11709051498586831
1101	8	-0.06535203257511313
1101	9	-0.13401371862782696
1101	10-14	-0.08275408366071701
1101	15-19	-0.07289492100965589
1101	20-24	-0.08907378996354964
1101	25-29	-0.07639634267431461
1101	30-34	-0.07095120256457932
1101	35-39	-0.07578863933294144
1101	40-44	-0.05274663275653779
1101	45-49	-0.07609559399703159
1101	50-54	-0.09323116174016377
1101	55-59	-0.11250105556969459
1101	60-64	-0.07016690765898659
1101	65-69	-0.06515948600634403
1101	70-74	-0.08034172282010843
1101	75-79	-0.08072478540599803
1101	80-84	-0.08311682375373408
1101	85-89	-0.09728466210357567
1101	90-94	-0.09349039924242675
1101	95-99	-0.05513055177164006
1101	100-104	-0.061445427959121446
1101	105-109	-0.07035912172774061
1101	110-114	-0.04924613895403951
1101	115-119	-0.07279556248529673
1101	120-124	-0.059472577696979556
1101	125-129	-0.06191303120221647
1101	130-134	-0.07977060738774355
1101	135-139	-0.13422915512511224
1101	140-144	-0.0574884989671105
1101	145-149	-0.06661012694280544
1101	150	-0.0778463527698321
1102	1	-0.19939861640290957
1102	2	-0.21683085851384476
1102	3	-0.12618659666736676
1102	4	-0.24304690929610473
1102	5	-0.16535830742400748
1102	6	-0.09837515750427173
1102	7	-0.1717612289462096
1102	8	-0.18297114778443557
1102	9	-0.2062620267568036
1102	10-14	-0.14518178517514002
1102	15-19	-0.16851140662378583
1102	20-24	-0.19368648691532542
1102	25-29	-0.17112643787567805
1102	30-34	-0.18276085161311784
1102	35-39	-0.16252106497432095
1102	40-44	-0.19157169126683016
1102	45-49	-0.18443792850640506
1102	50-54	-0.19586714314840492
1102	55-59	-0.23720492907755641
1102	60-64	-0.17114737282618364
1102	65-69	-0.1591962625732748
1102	70-74	-0.19375348572880569
1102	75-79	-0.20672535868065722
1102	80-84	-0.2235474756595366
1102	85-89	-0.2614116710843888
1102	90-94	-0.19402079499926117
1102	95-99	-0.1607644499141756
1102	100-104	-0.24195646561809525
1102	105-109	-0.19927501520559332
1102	110-114	-0.14802968066697986
1102	115-119	-0.18328918337252276
1102	120-124	-0.14933246911425613
1102	125-129	-0.1695107027141347
1102	130-134	-0.2157997319472571
1102	135-139	-0.23135592881295963
1102	140-144	-0.19062197118481805
1102	145-149	-0.20253859957742293
1102	150	-0.0946051952981577
1103	1	-0.15644043549063724
1103	2	-0.16073174380095878
1103	3	-0.1674464783551528
1103	4	-0.16054619430151718
1103	5	-0.11048590844641382
1103	6	-0.10648704660568598
1103	7	-0.160486764362183
1103	8	-0.1084974205360254
1103	9	-0.14009502633529536
1103	10-14	-0.15703434091002322
1103	15-19	-0.14509223856454412
