column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	45946458	2	37	1676990145	36.50	37	37	37	0	37	37	6914602	17844317	13734559	7450833	2147	45946458
2	45946458	2	37	1677725519	36.51	37	37	37	0	37	37	11854904	8100792	11993196	13997511	55	45946458
3	45946458	2	37	1681566184	36.60	37	37	37	0	37	37	12386759	10958096	12604174	9997395	34	45946458
4	45946458	2	37	1682494445	36.62	37	37	37	0	37	37	15074889	10507663	12788686	7575219	1	45946458
5	45946458	2	37	1683125497	36.63	37	37	37	0	37	37	14402095	9655845	12890551	8997950	17	45946458
6	45946458	11	37	1682299922	36.61	37	37	37	0	37	37	14512785	11279713	10356002	9797958	0	45946458
7	45946458	2	37	1681500976	36.60	37	37	37	0	37	37	6453755	12105782	9515410	17871505	6	45946458
8	45946458	11	37	1684169516	36.66	37	37	37	0	37	37	8563333	15104600	10568272	11710253	0	45946458
9	45946458	11	37	1683555148	36.64	37	37	37	0	37	37	9103663	13343321	10667287	12832187	0	45946458
10	45946458	11	37	1683965318	36.65	37	37	37	0	37	37	15383141	9484951	11760381	9317985	0	45946458
11	45946458	11	37	1685079922	36.67	37	37	37	0	37	37	9903586	13998998	13847283	8196591	0	45946458
12	45946458	11	37	1683282000	36.64	37	37	37	0	37	37	9242060	13081873	11543432	12079093	0	45946458
13	45946458	11	37	1682682410	36.62	37	37	37	0	37	37	10930526	11224204	10905953	12885775	0	45946458
14	45946458	11	37	1682673944	36.62	37	37	37	0	37	37	10771705	11538949	11555863	12079941	0	45946458
15	45946458	11	37	1683057546	36.63	37	37	37	0	37	37	10837850	11711442	11839628	11557538	0	45946458
16	45946458	11	37	1683132008	36.63	37	37	37	0	37	37	10857790	11782095	11853148	11453425	0	45946458
17	45946458	11	37	1682932804	36.63	37	37	37	0	37	37	11047719	11624986	11960775	11312978	0	45946458
18	45946458	11	37	1682406432	36.62	37	37	37	0	37	37	11079962	11715615	11755383	11395498	0	45946458
19	45946458	11	37	1682652158	36.62	37	37	37	0	37	37	11008302	11683890	11972226	11282040	0	45946458
20	45946458	11	37	1682716544	36.62	37	37	37	0	37	37	11216563	11591578	11987560	11150757	0	45946458
21	45946458	11	37	1682359094	36.62	37	37	37	0	37	37	11227385	11560311	11820684	11338078	0	45946458
22	45946458	11	37	1680944464	36.58	37	37	37	0	37	37	11300156	11570596	11994443	11081263	0	45946458
23	45946458	11	37	1681607230	36.60	37	37	37	0	37	37	11389861	11529555	11962764	11064278	0	45946458
24	45946458	11	37	1681132096	36.59	37	37	37	0	37	37	11377718	11516083	11825089	11227568	0	45946458
25	45946458	11	37	1681142806	36.59	37	37	37	0	37	37	11327614	11609104	11948916	11060824	0	45946458
26	45946458	11	37	1680166512	36.57	37	37	37	0	37	37	11371242	11541420	11969387	11064409	0	45946458
27	45946458	11	37	1679835902	36.56	37	37	37	0	37	37	11308127	11573017	11826968	11238346	0	45946458
28	45946458	11	37	1679465438	36.55	37	37	37	0	37	37	11153977	11702372	11940292	11149817	0	45946458
29	45946458	11	37	1679229642	36.55	37	37	37	0	37	37	11208016	11640828	11988627	11108987	0	45946458
30	45946458	11	37	1678395612	36.53	37	37	37	0	37	37	11296724	11607640	11782844	11259250	0	45946458
31	45946458	11	37	1678416264	36.53	37	37	37	0	37	37	11206227	11690453	11829840	11219938	0	45946458
32	45946458	11	37	1678180116	36.52	37	37	37	0	37	37	11299475	11645151	11872284	11129548	0	45946458
33	45946458	11	37	1677893738	36.52	37	37	37	0	37	37	11323107	11625204	11748345	11249802	0	45946458
34	45946458	11	37	1677672832	36.51	37	37	37	0	37	37	11255257	11667580	11953358	11070263	0	45946458
35	45946458	11	37	1677536876	36.51	37	37	37	0	37	37	11355946	11604006	11930768	11055738	0	45946458
36	45946458	11	37	1677199540	36.50	37	37	37	0	37	37	11267450	11706153	11831727	11141128	0	45946458
37	45946458	11	37	1676975648	36.50	37	37	37	0	37	37	11185009	11731059	11888060	11142330	0	45946458
38	45946458	11	37	1676375974	36.49	37	37	37	0	37	37	11203892	11677051	11931451	11134064	0	45946458
39	45946458	11	37	1676380616	36.49	37	37	37	0	37	37	11269396	11716360	11732564	11228138	0	45946458
40	45946458	11	37	1676144294	36.48	37	37	37	0	37	37	11145827	11773835	11873854	11152942	0	45946458
41	45946458	11	37	1675987958	36.48	37	37	37	0	37	37	11241593	11665130	11952073	11087662	0	45946458
42	45946458	11	37	1675615178	36.47	37	37	37	0	37	37	11235361	11679261	11766888	11264948	0	45946458
43	45946458	11	37	1675455468	36.47	37	37	37	0	37	37	11145483	11759338	11857123	11184514	0	45946458
44	45946458	11	37	1675306406	36.46	37	37	37	0	37	37	11219243	11682376	11932515	11112324	0	45946458
45	45946458	11	37	1674756840	36.45	37	37	37	0	37	37	11252072	11715812	11773158	11205416	0	45946458
46	45946458	11	37	1674640294	36.45	37	37	37	0	37	37	11155318	11815135	11878093	11097912	0	45946458
47	45946458	11	37	1674405546	36.44	37	37	37	0	37	37	11240889	11703858	11908946	11092765	0	45946458
48	45946458	11	37	1674514088	36.44	37	37	37	0	37	37	11238129	11727403	11774920	11206006	0	45946458
49	45946458	11	37	1674441824	36.44	37	37	37	0	37	37	11141668	11820023	11887906	11096861	0	45946458
50	45946458	11	37	1674062864	36.44	37	37	37	0	37	37	11192978	11745985	11938056	11069439	0	45946458
51	45946458	11	37	1673868398	36.43	37	37	37	0	37	37	11203677	11772506	11770891	11199384	0	45946458
52	45946458	11	37	1673577932	36.42	37	37	37	0	37	37	11183309	11835251	11877720	11050178	0	45946458
53	45946458	11	37	1673412746	36.42	37	37	37	0	37	37	11233895	11752690	11902710	11057163	0	45946458
54	45946458	11	37	1673004202	36.41	37	37	37	0	37	37	11190490	11784071	11810696	11161201	0	45946458
55	45946458	11	37	1673186712	36.42	37	37	37	0	37	37	11071707	11896308	11866149	11112294	0	45946458
56	45946458	11	37	1671511404	36.38	37	37	37	0	37	37	11186375	11789211	11896922	11073950	0	45946458
57	45946458	11	37	1672525702	36.40	37	37	37	0	37	37	11174338	11793305	11768262	11210553	0	45946458
58	45946458	11	37	1672547482	36.40	37	37	37	0	37	37	11124206	11844199	11881054	11096999	0	45946458
59	45946458	11	37	1671911232	36.39	37	37	37	0	37	37	11232984	11742010	11929328	11042136	0	45946458
60	45946458	11	37	1672106782	36.39	37	37	37	0	37	37	11231777	11768618	11774094	11171969	0	45946458
61	45946458	11	37	1671814660	36.39	37	37	37	0	37	37	11113898	11853993	11916000	11062567	0	45946458
62	45946458	11	37	1671662902	36.38	37	37	37	0	37	37	11167862	11814676	11917195	11046725	0	45946458
63	45946458	11	37	1671105384	36.37	37	37	37	0	37	37	11226550	11742305	11758456	11219147	0	45946458
64	45946458	11	37	1670333944	36.35	37	37	37	0	37	37	11115173	11843039	11892128	11096118	0	45946458
65	45946458	11	37	1670331666	36.35	37	37	37	0	37	37	11222075	11741755	11962718	11019910	0	45946458
66	45946458	11	37	1669807980	36.34	37	37	37	0	37	37	11216404	11752764	11807378	11169912	0	45946458
67	45946458	11	37	1669773242	36.34	37	37	37	0	37	37	11167708	11869768	11895786	11013196	0	45946458
68	45946458	11	37	1669445698	36.33	37	37	37	0	37	37	11193013	11779556	11928711	11045178	0	45946458
69	45946458	11	37	1668855814	36.32	37	37	37	0	37	37	11265296	11727418	11778876	11174868	0	45946458
70	45946458	11	37	1669121850	36.33	37	37	37	0	37	37	11132218	11872792	11839452	11101996	0	45946458
71	45946458	11	37	1669456704	36.33	37	37	37	0	37	37	11208776	11754223	11885969	11097490	0	45946458
