column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	45764716	2	37	1668895901	36.47	37	37	37	0	37	37	6868995	17784361	13875144	7234115	2101	45764716
2	45764716	2	37	1669461488	36.48	37	37	37	0	37	37	11809400	7968660	11942912	14043690	54	45764716
3	45764716	2	37	1674086790	36.58	37	37	37	0	37	37	12288755	11014198	12511949	9949776	38	45764716
4	45764716	2	37	1675074233	36.60	37	37	37	0	37	37	15036915	10437081	12731726	7558993	1	45764716
5	45764716	2	37	1675758802	36.62	37	37	37	0	37	37	14354106	9572549	12840704	8997331	26	45764716
6	45764716	11	37	1674938296	36.60	37	37	37	0	37	37	14471167	11148210	10355321	9790018	0	45764716
7	45764716	2	37	1674372685	36.59	37	37	37	0	37	37	6467842	12058249	9504378	17734240	7	45764716
8	45764716	11	37	1677224566	36.65	37	37	37	0	37	37	8559414	14990475	10553594	11661233	0	45764716
9	45764716	11	37	1676515518	36.63	37	37	37	0	37	37	9069284	13237290	10688876	12769266	0	45764716
10	45764716	11	37	1676817632	36.64	37	37	37	0	37	37	15337446	9441031	11759123	9227116	0	45764716
11	45764716	11	37	1678198824	36.67	37	37	37	0	37	37	9919911	13909933	13806896	8127976	0	45764716
12	45764716	11	37	1676292238	36.63	37	37	37	0	37	37	9221729	12981721	11566685	11994581	0	45764716
13	45764716	11	37	1675616388	36.61	37	37	37	0	37	37	10909783	11170765	10913945	12770223	0	45764716
14	45764716	11	37	1675722308	36.62	37	37	37	0	37	37	10745296	11444125	11560872	12014423	0	45764716
15	45764716	11	37	1676027132	36.62	37	37	37	0	37	37	10790173	11648147	11832540	11493856	0	45764716
16	45764716	11	37	1676077254	36.62	37	37	37	0	37	37	10828534	11701466	11856112	11378604	0	45764716
17	45764716	11	37	1675895350	36.62	37	37	37	0	37	37	11030738	11550724	11938140	11245114	0	45764716
18	45764716	11	37	1675327274	36.61	37	37	37	0	37	37	11070928	11653237	11732804	11307747	0	45764716
19	45764716	11	37	1675589348	36.61	37	37	37	0	37	37	10994473	11614865	11964659	11190719	0	45764716
20	45764716	11	37	1675669414	36.61	37	37	37	0	37	37	11185435	11515842	12000482	11062957	0	45764716
21	45764716	11	37	1675293676	36.61	37	37	37	0	37	37	11170760	11497229	11830081	11266646	0	45764716
22	45764716	11	37	1673789226	36.57	37	37	37	0	37	37	11242194	11524518	11995364	11002640	0	45764716
23	45764716	11	37	1674448576	36.59	37	37	37	0	37	37	11341529	11477743	11944420	11001024	0	45764716
24	45764716	11	37	1674033128	36.58	37	37	37	0	37	37	11357504	11479824	11809891	11117497	0	45764716
25	45764716	11	37	1673937608	36.58	37	37	37	0	37	37	11274268	11566939	11939974	10983535	0	45764716
26	45764716	11	37	1672992864	36.56	37	37	37	0	37	37	11298642	11479975	11985380	11000719	0	45764716
27	45764716	11	37	1672603118	36.55	37	37	37	0	37	37	11245575	11541055	11849292	11128794	0	45764716
28	45764716	11	37	1672292658	36.54	37	37	37	0	37	37	11127105	11644455	11931033	11062123	0	45764716
29	45764716	11	37	1672083596	36.54	37	37	37	0	37	37	11184801	11600988	11965477	11013450	0	45764716
30	45764716	11	37	1671152984	36.52	37	37	37	0	37	37	11233466	11562051	11803435	11165764	0	45764716
31	45764716	11	37	1671166092	36.52	37	37	37	0	37	37	11157777	11649582	11815710	11141647	0	45764716
32	45764716	11	37	1670909272	36.51	37	37	37	0	37	37	11266838	11593122	11840214	11064542	0	45764716
33	45764716	11	37	1670531322	36.50	37	37	37	0	37	37	11241326	11583928	11753455	11186007	0	45764716
34	45764716	11	37	1670389934	36.50	37	37	37	0	37	37	11187535	11611860	11970220	10995101	0	45764716
35	45764716	11	37	1670216202	36.50	37	37	37	0	37	37	11314815	11541834	11899164	11008903	0	45764716
36	45764716	11	37	1669863656	36.49	37	37	37	0	37	37	11196393	11683877	11815007	11069439	0	45764716
37	45764716	11	37	1669651414	36.48	37	37	37	0	37	37	11130859	11686161	11881904	11065792	0	45764716
38	45764716	11	37	1668970182	36.47	37	37	37	0	37	37	11140594	11632902	11910591	11080629	0	45764716
39	45764716	11	37	1669050728	36.47	37	37	37	0	37	37	11203755	11690404	11744699	11125858	0	45764716
40	45764716	11	37	1668747076	36.46	37	37	37	0	37	37	11089627	11729326	11890265	11055498	0	45764716
41	45764716	11	37	1668595102	36.46	37	37	37	0	37	37	11180380	11593014	11967961	11023361	0	45764716
42	45764716	11	37	1668129480	36.45	37	37	37	0	37	37	11153258	11656070	11772285	11183103	0	45764716
43	45764716	11	37	1667929184	36.45	37	37	37	0	37	37	11079631	11714400	11866613	11104072	0	45764716
44	45764716	11	37	1667817452	36.44	37	37	37	0	37	37	11162897	11629486	11920848	11051485	0	45764716
45	45764716	11	37	1667282928	36.43	37	37	37	0	37	37	11196932	11667551	11783417	11116816	0	45764716
46	45764716	11	37	1667118510	36.43	37	37	37	0	37	37	11104811	11754450	11891696	11013759	0	45764716
47	45764716	11	37	1666962190	36.42	37	37	37	0	37	37	11160661	11637592	11899420	11067043	0	45764716
48	45764716	11	37	1667031538	36.43	37	37	37	0	37	37	11158011	11680502	11796108	11130095	0	45764716
49	45764716	11	37	1666925226	36.42	37	37	37	0	37	37	11072676	11798420	11871624	11021996	0	45764716
50	45764716	11	37	1666505842	36.41	37	37	37	0	37	37	11122122	11705644	11923020	11013930	0	45764716
51	45764716	11	37	1666317874	36.41	37	37	37	0	37	37	11140882	11745441	11768684	11109709	0	45764716
52	45764716	11	37	1665974898	36.40	37	37	37	0	37	37	11124270	11754916	11908969	10976561	0	45764716
53	45764716	11	37	1665800576	36.40	37	37	37	0	37	37	11177431	11703210	11888075	10996000	0	45764716
54	45764716	11	37	1665315476	36.39	37	37	37	0	37	37	11108588	11754962	11808998	11092168	0	45764716
55	45764716	11	37	1665588640	36.39	37	37	37	0	37	37	11000262	11863503	11889360	11011591	0	45764716
56	45764716	11	37	1663772238	36.35	37	37	37	0	37	37	11105070	11764308	11896828	10998510	0	45764716
57	45764716	11	37	1664948518	36.38	37	37	37	0	37	37	11077261	11748568	11783266	11155621	0	45764716
58	45764716	11	37	1664917690	36.38	37	37	37	0	37	37	11065989	11782368	11898150	11018209	0	45764716
59	45764716	11	37	1664299030	36.37	37	37	37	0	37	37	11127229	11709636	11942029	10985822	0	45764716
60	45764716	11	37	1664458928	36.37	37	37	37	0	37	37	11143186	11739822	11779222	11102486	0	45764716
61	45764716	11	37	1664174370	36.36	37	37	37	0	37	37	11045207	11799778	11911178	11008553	0	45764716
62	45764716	11	37	1664017696	36.36	37	37	37	0	37	37	11095383	11777115	11888832	11003386	0	45764716
63	45764716	11	37	1663309666	36.34	37	37	37	0	37	37	11122590	11701363	11761818	11178945	0	45764716
64	45764716	11	37	1662564212	36.33	37	37	37	0	37	37	11054514	11793748	11887778	11028676	0	45764716
65	45764716	11	37	1662503366	36.33	37	37	37	0	37	37	11157051	11665638	11983451	10958576	0	45764716
