##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Control_siRNA_M2_2_gz.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	45764716
Total Bases	6.8 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.6117780999668	37.0	37.0	37.0	37.0	37.0
2	36.54510981779063	37.0	37.0	37.0	37.0	37.0
3	36.60228264062646	37.0	37.0	37.0	37.0	37.0
4	36.59310539586873	37.0	37.0	37.0	37.0	37.0
5	36.61274257661732	37.0	37.0	37.0	37.0	37.0
6	36.57418169054081	37.0	37.0	37.0	37.0	37.0
7	36.57168845972954	37.0	37.0	37.0	37.0	37.0
8	36.62795805397328	37.0	37.0	37.0	37.0	37.0
9	36.61165663084198	37.0	37.0	37.0	37.0	37.0
10-14	36.614791989531845	37.0	37.0	37.0	37.0	37.0
15-19	36.58685127642877	37.0	37.0	37.0	37.0	37.0
20-24	36.56646534417476	37.0	37.0	37.0	37.0	37.0
25-29	36.532581074030915	37.0	37.0	37.0	37.0	37.0
30-34	36.506387191389976	37.0	37.0	37.0	37.0	37.0
35-39	36.474785400175975	37.0	37.0	37.0	37.0	37.0
40-44	36.45528783353534	37.0	37.0	37.0	37.0	37.0
45-49	36.4304436850433	37.0	37.0	37.0	37.0	37.0
50-54	36.41561790965774	37.0	37.0	37.0	37.0	37.0
55-59	36.39243786850988	37.0	37.0	37.0	37.0	37.0
60-64	36.355608827551784	37.0	37.0	37.0	37.0	37.0
65-69	36.329959753273684	37.0	37.0	37.0	37.0	37.0
70-74	36.29822448368302	37.0	37.0	37.0	37.0	37.0
75-79	36.279766001388495	37.0	37.0	37.0	37.0	37.0
80-84	36.262352096755066	37.0	37.0	37.0	37.0	37.0
85-89	36.255581221131145	37.0	37.0	37.0	37.0	37.0
90-94	36.2076702584585	37.0	37.0	37.0	37.0	37.0
95-99	36.175209333758346	37.0	37.0	37.0	37.0	37.0
100-104	36.148946874268816	37.0	37.0	37.0	37.0	37.0
105-109	36.10443575788823	37.0	37.0	37.0	37.0	37.0
110-114	36.102352240096934	37.0	37.0	37.0	37.0	37.0
115-119	36.04586532559276	37.0	37.0	37.0	37.0	37.0
120-124	36.03659673535394	37.0	37.0	37.0	37.0	37.0
125-129	35.99833986951869	37.0	37.0	37.0	37.0	37.0
130-134	35.960432312089516	37.0	37.0	37.0	37.0	37.0
135-139	35.90827262207854	37.0	37.0	37.0	37.0	37.0
140-144	35.825882765229004	37.0	37.0	37.0	37.0	37.0
145-149	35.78620444623758	37.0	37.0	37.0	37.0	37.0
150	35.72454809945723	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.06929461478782173
1101	2	-0.09821604252579874
1101	3	-0.09667575410191631
1101	4	-0.05998384829785408
1101	5	-0.06981237087605763
1101	6	-0.04422784171144656
1101	7	-0.09139555556262025
1101	8	-0.0815105915007095
1101	9	-0.07057760533842128
1101	10-14	-0.04463733038348039
1101	15-19	-0.08533273930191854
1101	20-24	-0.10793036647901744
1101	25-29	-0.08279594962210268
1101	30-34	-0.05094614488637461
1101	35-39	-0.08145927705207612
1101	40-44	-0.07595848207701295
1101	45-49	-0.061653520639623594
1101	50-54	-0.08754876105585652
1101	55-59	-0.10793184120169741
1101	60-64	-0.06243719347379084
1101	65-69	-0.06507857059520461
1101	70-74	-0.08614314591810057
1101	75-79	-0.06186895954761695
1101	80-84	-0.08887815016108647
1101	85-89	-0.07756789414644771
1101	90-94	-0.06812140329967065
1101	95-99	-0.04157784818615795
1101	100-104	-0.06136239543923949
1101	105-109	-0.07518756075143784
1101	110-114	-0.04715632860919072
1101	115-119	-0.059174448317683925
1101	120-124	-0.06978660216444155
1101	125-129	-0.060089526908832624
1101	130-134	-8.202393458347501E-4
1101	135-139	-0.09811975396549144
1101	140-144	-0.02391432025431328
1101	145-149	-0.037015287895307836
1101	150	-0.08176575337275693
1102	1	-0.13512472365228234
1102	2	-0.15250829672063304
1102	3	-0.09149417452272957
1102	4	-0.06846231442391826
1102	5	-0.09320447116625985
1102	6	-0.031788344995788975
1102	7	-0.12577864294304675
1102	8	-0.04678294965479779
1102	9	-0.12927762509578855
1102	10-14	-0.08276807657424001
1102	15-19	-0.11107550226362406
1102	20-24	-0.1033727998846885
1102	25-29	-0.08654669003583138
1102	30-34	-0.07685701126356292
1102	35-39	-0.08531008766004788
1102	40-44	-0.07944977488961058
1102	45-49	-0.09633660796152554
1102	50-54	-0.13328446753586576
1102	55-59	-0.11592251681593524
1102	60-64	-0.0746820654809568
1102	65-69	-0.10074000848305076
1102	70-74	-0.1237894094447256
1102	75-79	-0.08744998514033853
1102	80-84	-0.11707142754576694
1102	85-89	-0.10083123022396734
1102	90-94	-0.1226005469884015
1102	95-99	-0.07069484984066321
1102	100-104	-0.09918272664918959
1102	105-109	-0.0848035286060238
1102	110-114	-0.07307674795690389
1102	115-119	-0.11930952006539997
1102	120-124	-0.06436661570399593
1102	125-129	-0.06770755475677959
1102	130-134	-0.06886537352333022
1102	135-139	-0.10089312680575091
1102	140-144	-0.07801948991706098
1102	145-149	-0.06284467901924273
1102	150	-0.09468457594280721
1103	1	-0.09272586233521452
1103	2	-0.0874451492169328
1103	3	-0.0888477767887963
1103	4	-0.06679297619852775
1103	5	-0.0978363550769501
1103	6	-0.09696526724091115
1103	7	-0.15176826078006656
1103	8	-0.05327164101414894
1103	9	-0.0878120743540407
1103	10-14	-0.08150177883551635
1103	15-19	-0.07718726675532395
